seed,training_step,window_start,window_steps,mean_epsilon_bid,mean_epsilon_ask,mean_symmetric_quote_level,beta_bid,beta_ask,beta_symmetric_quote_level,beta_skew,r_squared_symmetric_quote_level,r_squared_skew
0,20480,1,20480,0.032047109656015496,0.039124841693625,0.03558597567482025,-0.007643717222340597,-0.012017905558362369,-0.009830811390351482,0.0043741883360217705,0.028226280830594308,0.0013826030349207707
0,60416,39937,20480,0.14778541201585682,0.15394806486683876,0.1508667384413478,0.01673279987582268,0.030482971701166445,0.023607885788494563,-0.013750171825343768,0.14589820211015825,0.013043382769482914
0,100352,79873,20480,0.1598500976174108,0.22904438006482336,0.1944472388411171,0.06985599317726733,0.030587838585877606,0.05022191588157246,0.03926815459138972,0.37388044712522883,0.09607109585484552
1,20480,1,20480,0.01583008874240477,-0.021961404116390783,-0.003065657686993006,0.004393028988170121,-0.030547872619611928,-0.013077421815720903,0.03494090160778205,0.04780597565727529,0.07826607669906871
1,60416,39937,20480,0.19640058698538354,0.04168617739056799,0.11904338218797576,0.02422890941567473,-0.04557734250179759,-0.010674216543061431,0.0698062519174723,0.029565948047702406,0.23603932444902087
1,100352,79873,20480,0.23999720033026933,0.10630445077040918,0.17315082555033925,0.02154576513402186,-0.03205074200684436,-0.0052524884364112505,0.05359650714086623,0.007590174267491645,0.16078857137439417
2,20480,1,20480,0.14370315530147054,0.03548395270951232,0.08959355400549143,0.004318086261525771,-0.033681663407550876,-0.014681788573012552,0.03799974966907664,0.059992427264435544,0.09526405204390032
2,60416,39937,20480,0.24701648191498862,0.03388363169182753,0.14045005680340808,1.4883250250324525e-05,-0.07619704427169559,-0.03809108051072263,0.07621192752194592,0.29999648381350374,0.30910575920344274
2,100352,79873,20480,0.22769260022017335,0.08113539211325502,0.1544139961667142,-0.006976990064803936,-0.06479945391084829,-0.03588822198782611,0.05782246384604435,0.2798729860081517,0.20337935473721247
