seed,training_step,agent,window_start,window_steps,market_share,captured_volume_per_step,spread_pnl_per_step,spread_pnl_per_captured_unit,inventory_pnl_per_step,hedge_cost_per_step,total_pnl_per_step,mean_abs_inventory,mean_symmetric_quote_level
0,20480,PPO,1,20480,0.43340820312500006,8.6681640625,0.1234266714379959,0.014239078834693653,0.001124643628408376,0.07527438876795478,0.04927692629844952,6.014527028101074,0.03558597567482025
0,20480,Adaptive,1,20480,0.5665917968749999,11.3318359375,0.1519184575913441,0.013406341075642146,0.014016843804581569,0.06601591154581496,0.09991938985011065,5.601275878724304,-0.10450683494709664
0,60416,PPO,39937,20480,0.3724267578125,7.44853515625,0.07853510014994329,0.010543697317994826,0.005498440954668921,0.04536793150193133,0.03866560960268089,5.838390286443525,0.1508667384413478
0,60416,Adaptive,39937,20480,0.6275732421875,12.55146484375,0.11969196032716131,0.009536094935306449,-0.008281130773566093,0.046401837812810307,0.06500899174078491,5.708925515055192,-0.07472167569212615
0,100352,PPO,79873,20480,0.53043701171875,10.608740234375,0.12307201840786108,0.011601002163204697,0.0200610645577274,0.03060961019127642,0.11252347277431207,5.059573025884902,0.1944472388411171
0,100352,Adaptive,79873,20480,0.46956298828125,9.391259765625,0.08928394149435957,0.009507131494878591,-0.005471475876610362,0.026076058948905988,0.05773640666884322,4.022863340815979,0.2453857464963221
0,150528,PPO,130049,20480,0.5093334960937501,10.186669921875,0.1157539970390555,0.01136328141844311,-0.00021772694045401591,0.027278067611364892,0.0882582024872366,5.5460113786389735,0.32000978211637376
0,150528,Adaptive,130049,20480,0.49066650390625,9.813330078125,0.09730004386295012,0.009915089280431185,-0.0023762493801403658,0.02997549429130485,0.06494830019150491,4.645073862062096,0.29066406729434674
0,204800,PPO,184321,20480,0.6031591796875,12.06318359375,0.1200444077178171,0.009951304047135016,0.005402515688078785,0.017770133478212137,0.10767678992768374,4.833721588518707,0.534031043320504
0,204800,Adaptive,184321,20480,0.39684082031249995,7.93681640625,0.0582191429476267,0.007335326907874662,-0.008702369155517482,0.01311046080450425,0.03640631298760497,3.3621318081624274,0.5276074250967213
1,20480,PPO,1,20480,0.4514306640625,9.02861328125,0.09952084257562355,0.011022827036163078,-0.013872906614243657,0.06107643862875245,0.02457149733262744,5.956616711361916,-0.003065657686993006
1,20480,Adaptive,1,20480,0.5485693359375,10.97138671875,0.11531087118885257,0.010510145539924078,-0.012277190214810631,0.04855372652532723,0.054479954448714715,5.455991739342863,-0.11395507720008027
1,60416,PPO,39937,20480,0.40736083984375,8.147216796875,0.047910485744797254,0.0058805954155011705,0.0016631697810071632,0.02898694507725865,0.020586710448545764,5.972903271002437,0.11904338218797576
1,60416,Adaptive,39937,20480,0.59263916015625,11.852783203125,0.07583363705428059,0.006397960357048205,-0.008731469207016954,0.02657661441748326,0.04052555342978038,5.701267281348479,-0.0893847627517971
1,100352,PPO,79873,20480,0.39558593750000004,7.91171875,0.1262082344594926,0.015952062813088825,0.016905849916204037,0.07337868178970411,0.06973540258599253,5.9346440949327635,0.17315082555033925
1,100352,Adaptive,79873,20480,0.6044140625,12.08828125,0.17254748243746074,0.01427394671491952,-0.0025295119334809058,0.05668047300359336,0.11333749750038649,5.609199106460679,-0.07132323728983465
1,150528,PPO,130049,20480,0.44932861328125,8.986572265625,0.39471133726795427,0.04392234609605098,-0.0013495021857802326,0.14073376057210507,0.25262807451006897,5.9597895117350514,0.12452239519299865
1,150528,Adaptive,130049,20480,0.55067138671875,11.013427734375,0.38015319089089183,0.0345172456804126,-0.01758646416797962,0.13750448384068173,0.22506224288223048,5.212746066438891,-0.023105466164997777
1,204800,PPO,184321,20480,0.47973388671875006,9.594677734375,0.4448006347315003,0.04635910106057092,-0.0019352175786028984,0.13369632877000287,0.30916908838289464,6.157824168613118,0.11262199821714561
1,204800,Adaptive,184321,20480,0.5202661132812499,10.405322265625,0.3852194800754075,0.03702138869336299,-0.004114364015219427,0.142351471506389,0.23875364455379913,5.1301364189161465,0.022299806889714092
2,20480,PPO,1,20480,0.416640625,8.3328125,0.11990541039397037,0.014389548594063575,-0.006233718336906402,0.07258934126036037,0.04108235079670362,5.902409161439337,0.08959355400549143
2,20480,Adaptive,1,20480,0.583359375,11.6671875,0.18080607894285775,0.01549697208027708,0.01687905621836645,0.06815772879592305,0.12952740636530113,5.698484365566765,-0.08456542824096687
2,60416,PPO,39937,20480,0.43640869140625005,8.728173828125,0.1101543468727286,0.012620549159753861,0.021589203647021833,0.0517707257406147,0.07997282477913574,5.366567070990553,0.14045005680340808
2,60416,Adaptive,39937,20480,0.56359130859375,11.271826171875,0.1534750409611113,0.013615809773934942,-0.014683706841883342,0.049958794613613376,0.08883253950561461,5.329402026698565,0.01649414500352577
2,100352,PPO,79873,20480,0.44182861328125,8.836572265625,0.26649985676416843,0.03015873675371558,-0.029477020808210463,0.08595311740216272,0.15106971855379525,5.560035861048695,0.1544139961667142
2,100352,Adaptive,79873,20480,0.55817138671875,11.163427734375,0.3294069158742879,0.02950768560627317,0.032585455220056014,0.10714611313115438,0.2548462579631895,5.245776395631999,0.030859378602326615
2,150528,PPO,130049,20480,0.44339599609375,8.867919921875,0.5032473532780594,0.056749199103238473,0.03360483682710871,0.1153907543497497,0.4214614357554183,5.541332770842152,0.340064647825848
2,150528,Adaptive,130049,20480,0.5566040039062501,11.132080078125,0.5237813940434588,0.047051529486633055,-0.018682017396509508,0.13605402779472403,0.3690453488522253,5.071902324889353,0.19679688165633707
2,204800,PPO,184321,20480,0.54197509765625,10.839501953125,1.1914725899030223,0.1099194958454271,-0.004742245725423972,0.16839527651030586,1.0183350676672922,5.463882570884412,0.4898657973673529
2,204800,Adaptive,184321,20480,0.45802490234375004,9.160498046875,0.7218781967192062,0.0788033787055352,0.06256923143497632,0.16411897246320387,0.6203284556909787,4.0795626439763115,0.4218115286083048
