approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,entropy_proxy,latent_sigma_ask,latent_sigma_bid,policy_loss,seed,training_step,value_clip_fraction,value_loss,value_loss_unclipped,vf_clip_param
0.008685276069445535,0.05791015625,0.1537018387291867,0.25092860718229243,0.28459203585315174,0.2404548460059276,4.251546692848206,0.9961798191070557,0.9966768622398376,-0.013011299236677588,0,10240,0.92060546875,9.515408658981324,1101.6153198242187,10.0
-0.0019671114219818263,0.02197265625,0.13832500854280227,0.2856640635824762,0.14847887124887144,0.25560892014719727,4.24730030298233,0.9948548674583435,0.9910825490951538,-0.00503885461948812,0,20480,0.941796875,9.63269121646881,624.4544387817383,10.0
0.007855467242188751,0.05224609375,0.5126185742039711,0.22238680899780885,0.17252631838588664,0.14162648050074728,4.2372553706169125,0.9926177263259888,0.9926266074180603,-0.009574107988737524,0,39936,0.982421875,9.868162178993225,3588.617395019531,10.0
0.007339186366880313,0.03125,0.7125624514429663,0.2702497989680785,0.46137291421063054,0.2231103211262999,4.229031825065613,0.991723895072937,0.9902494549751282,-0.005039942276198417,0,60416,0.994140625,9.959818530082703,7948.783544921875,10.0
0.0016777336189989001,0.0537109375,0.7694672879118186,0.1409933039533552,-0.10837235978046336,0.2239043052480568,4.210204255580902,0.9846516251564026,0.9833635091781616,-0.008364763506688178,0,100352,0.98828125,9.9301837682724,126006.8431640625,10.0
0.008789144526235759,0.06650390625,0.8385656917706514,0.11934908117640498,0.6089009471810781,0.2208567158922222,4.170400595664978,0.969901442527771,0.9765661954879761,-0.009419374703429639,0,149504,0.95791015625,9.704838991165161,15642.588940429687,10.0
0.013741434103576467,0.06591796875,0.8751286362990355,0.10557818685219512,0.5022133969630186,0.3524120037058605,4.139764523506164,0.9609458446502686,0.9702279567718506,-0.009335942682810128,0,199680,0.98828125,9.919018101692199,33626.28969726562,10.0
0.009789022232871503,0.0376953125,0.8275821147820889,0.16127618401355925,0.5560552722750566,0.3222167871551407,4.136151075363159,0.9611942172050476,0.9670615196228027,-0.01004643333144486,0,204800,0.9990234375,9.991571640968322,123248.1828125,10.0
0.0021877806051634253,0.034765625,0.008962300019219327,0.3267445769730614,-0.16147713022163282,0.18835625189151872,4.258551394939422,1.0016075372695923,0.9972108006477356,-0.007470814127009362,1,10240,0.83935546875,8.956434655189515,276.35558052062987,10.0
0.011314707098063082,0.03173828125,-0.04788928728577538,0.39432732531076614,-0.13402549028060792,0.1646071617981647,4.2492023229599,0.9986400604248047,0.9981376528739929,-0.005621436960063874,1,20480,0.9328125,9.598836445808411,470.4466361999512,10.0
0.009404333995189518,0.0287109375,-0.28665511418993656,0.3426406293186534,-0.01967539521238695,0.3196786270434141,4.229504120349884,0.9926866888999939,0.9904946088790894,-0.006024867831729353,1,39936,0.66875,7.648121285438537,135.42499046325685,10.0
0.0012883147457614541,0.02138671875,-0.5763461287205036,0.14877027238104193,0.1589814712597917,0.38008814843137545,4.213480138778687,0.9825632572174072,0.990236759185791,-0.004430032940581441,1,60416,0.809375,8.705881643295289,209.3152774810791,10.0
0.021990363410441204,0.077734375,-0.040744047494939505,0.44313042985169643,0.4235997712884385,0.4391313114402607,4.188758838176727,0.9720726013183594,0.9839203357696533,-0.012859650887548923,1,100352,0.95244140625,9.690462613105774,4033.6726623535155,10.0
0.013732368196360766,0.0697265625,-0.06548509653986026,0.41363795927258884,0.1726660050624886,0.5535591141971624,4.151970291137696,0.9629783630371094,0.9700106978416443,-0.010494284547166898,1,149504,0.91923828125,9.433718013763428,1711.429754638672,10.0
0.015559324668720365,0.08095703125,0.033749801682260556,0.6160269115901867,0.3065359870998714,0.49096050609496733,4.102211761474609,0.9432051777839661,0.9536449313163757,-0.014963633962906897,1,199680,0.9951171875,9.968557620048523,17525.31735839844,10.0
0.014589717704802751,0.0626953125,0.06794176123654232,0.6622842774699867,0.3570036753021085,0.36710496657484726,4.0962567806243895,0.9416191577911377,0.9519395232200623,-0.010878329095430673,1,204800,0.98046875,9.854399371147156,5691.750024414063,10.0
0.008624780416721479,0.034375,0.02860145536549867,0.1799862179751217,-0.14171242057166708,0.4022529397918341,4.246845185756683,0.9961035251617432,0.9977817535400391,-0.006638098997063935,2,10240,0.96318359375,9.767864418029784,955.2612182617188,10.0
0.011561746575171127,0.059375,-0.11053116440971514,0.07972464559972317,0.10252578922992166,0.14695751851719216,4.243598484992981,0.9929783940315247,0.9990001320838928,-0.010157546470873057,2,20480,0.8666015625,9.112651872634888,612.4074661254883,10.0
0.008879256271757185,0.0326171875,-0.050588007091666956,0.1702199418477713,0.17508678043168635,0.21085119270139344,4.2299350023269655,0.9876139163970947,0.9951388835906982,-0.0060908982763066884,2,39936,0.9529296875,9.73035957813263,1214.1078979492188,10.0
0.004467968287644908,0.04755859375,-0.4716228698529542,0.3359333885607954,0.44205341659104214,0.08667978366055125,4.2170734882354735,0.9836243391036987,0.9936755299568176,-0.008909447072073817,2,60416,0.94580078125,9.649163961410522,952.3491424560547,10.0
0.007583863253239542,0.048046875,-0.37572631280248364,0.45788604421194623,0.7553803616967529,0.12776212608605353,4.193372058868408,0.9793539047241211,0.9836915135383606,-0.009329082374460996,2,100352,0.95986328125,9.729745054244995,11827.357421875,10.0
0.012146020570071414,0.0392578125,0.010369580751807333,0.5185599008458486,0.3821549027179105,0.23685036315199604,4.1476167917251585,0.9647132158279419,0.9690432548522949,-0.008972556598018855,2,149504,0.93994140625,9.607695126533509,3407.478973388672,10.0
0.006011197721818462,0.02841796875,0.4201325500455613,0.4461551047632605,0.7287211230788857,0.1456139691999778,4.101081669330597,0.9528061151504517,0.9611569046974182,-0.005480007501319051,2,199680,0.97607421875,9.847720384597778,16852.246215820312,10.0
0.013257644942495973,0.0775390625,0.35481538684226765,0.41061600313149293,0.7234997728600716,0.17653723958594014,4.096461844444275,0.9528849720954895,0.9612984657287598,-0.013964661955833435,2,204800,0.989453125,9.915053176879884,30851.9357421875,10.0
0.010821784188738092,0.04189453125,-0.04931848605367869,0.1475673503692466,0.14666595925182963,0.4371875630163633,4.246718561649322,0.995549738407135,0.9962793588638306,-0.009395871148444711,3,10240,0.84990234375,8.966686654090882,428.3471618652344,10.0
0.013721551018534228,0.04736328125,-0.2846740684704855,0.2025185549680988,0.18370993432099333,0.5323095534761385,4.239088153839111,0.9920053482055664,0.9879755973815918,-0.008499699458479882,3,20480,0.88779296875,9.190430116653442,622.7294006347656,10.0
0.004354999837232754,0.0353515625,-0.35153781809330653,0.3435449902591094,-0.16461717683690577,0.48751307149126216,4.219572389125824,0.9809296131134033,0.9824609756469727,-0.006128229689784348,3,39936,0.96875,9.7935467004776,8222.733666992188,10.0
0.017250051378505306,0.06474609375,-0.20538601892707775,0.3718596092124693,0.14078971801716714,0.44544304045786937,4.197146546840668,0.9777579307556152,0.9764673113822937,-0.011524303490296007,3,60416,0.9267578125,9.478799414634704,2644.2039794921875,10.0
0.005794565635733306,0.02548828125,-0.33455135522780416,0.4517252154488219,-0.18197080291433032,0.6100792624393251,4.167443788051605,0.9712624549865723,0.9678172469139099,-0.008791453484445811,3,100352,0.99658203125,9.995207452774048,87981.7232421875,10.0
