buy_probability,deterministic_epsilon_ask_mean,deterministic_epsilon_bid_mean,deterministic_error_ask,deterministic_error_bid,ent_coef,gae_lambda,gae_value_target,gamma,inventory_std,kl_coef,latent_sigma_ask,latent_sigma_bid,learning_rate,market_share,market_sigma,max_grad_norm,minibatch_size,n_epochs,network_architecture,network_hidden_layers,network_hidden_size,num_investors,num_rollouts,order_size_mode,ppo_clip,rollout_length,sampled_epsilon_ask_mean,sampled_epsilon_ask_std,sampled_epsilon_bid_mean,sampled_epsilon_bid_std,seed,spread_pnl_per_step,total_pnl,total_pnl_per_step,training_steps,vf_clip_param,vf_coef
0.5,0.8148619722059139,0.6158993852611344,0.8148619722059139,0.6158993852611344,0.003,0.95,False,0.999,24.60527152593103,0.0,0.9611942172050476,0.9670615196228027,5e-05,0.22052884615384616,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,0.7062630632886431,0.45522911467496147,0.43553211447760426,0.5932491323054007,0,0.08428801212768751,-56.76386642456055,-0.10916128009557724,204800,10.0,0.5
0.5,0.09392304616465341,0.3632369133516253,0.09392304616465341,0.3632369133516253,0.003,0.95,False,0.999,7.515868080432778,0.0,0.9416191577911377,0.9519395232200623,5e-05,0.43654807692307696,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,-0.017349228782539004,0.7294343474754765,0.26204688857935254,0.6231156661543822,1,0.11054013254350313,33.37588882446289,0.06418440490961075,204800,10.0,0.5
0.5,0.31508737077623106,0.7154224106290517,0.31508737077623106,0.7154224106290517,0.003,0.95,False,0.999,8.381329507548958,0.0,0.9528849720954895,0.9612984657287598,5e-05,0.3502403846153846,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,0.07243114492979098,0.6986109859098965,0.5199966729362607,0.5174622178552716,2,0.10641014771720778,12.734797477722168,0.02448999509215355,204800,10.0,0.5
0.5,0.12064576883845103,0.32008482613710487,0.12064576883845103,0.32008482613710487,0.003,0.95,False,0.999,83.66124553040055,0.0,0.9305077195167542,0.9567300081253052,5e-05,0.42717307692307693,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,0.06250189020625839,0.6199657441492099,0.2412506992069953,0.6325501392033525,3,0.12796867846760085,-592.9596557617188,-1.140307068824768,204800,10.0,0.5
0.5,0.1517651056901545,-0.12886141055072725,0.1517651056901545,0.12886141055072725,0.003,0.95,False,0.999,22.528988527954553,0.0,0.9697275757789612,0.963240921497345,5e-05,0.4883557692307693,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,0.18771640369723452,0.666217830554459,-0.14059923645024985,0.6531232346003171,4,0.11721083158050673,-50.24031448364258,-0.0966159924864769,204800,10.0,0.5
