approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,entropy_proxy,include_fill_feedback,latent_sigma_ask,latent_sigma_bid,policy_loss,relative_price,seed,training_step,value_loss
0.0054330905724782495,0.01328125,-0.1653797393772178,0.3117932209774415,0.0890799195420606,0.2312042892460243,4.24729540348053,True,0.9938724040985107,0.9996103048324585,-0.004591227998025716,True,0,10240,2274.141653442383
0.016286959836725144,0.05361328125,-0.16218621086878462,0.37397431643280193,0.04508659417072359,0.23742507900997234,4.245559632778168,True,0.9920758605003357,1.0006147623062134,-0.008555185003206133,True,0,20480,379.7700653076172
0.012254917004611343,0.04248046875,0.04328952021837139,0.48605227096012904,-0.013107836888565753,0.23295748907633004,4.240765082836151,True,0.9890769124031067,0.9997289180755615,-0.007206541486084461,True,0,39936,398.51312561035155
0.005375785322394222,0.01181640625,-0.13491432557616811,0.37878294381459604,-0.14840168630128178,0.4189804774433799,4.219089651107788,True,0.9813820719718933,0.9936342239379883,-0.003741978411562741,True,0,60416,635.0943374633789
0.00433602427947335,0.04248046875,-0.2196859495797887,0.34441758204812695,-0.24028751317647476,0.3885219360825367,4.203847944736481,True,0.9745937585830688,0.9843392372131348,-0.008093922573607415,True,0,100352,358.9213722229004
0.006257131602615118,0.01767578125,-0.035351016914519744,0.6195537375095185,-0.15070027607755784,0.7135630004220215,4.215406811237335,True,0.9756076335906982,0.9922127723693848,-0.004215068963821978,True,0,149504,357.26984786987305
0.018983417341951282,0.05751953125,-0.3522823002628194,0.3490095260256239,-0.3427222383817515,0.7168494546959849,4.180222451686859,True,0.9632213115692139,0.9839249849319458,-0.0016312938882037998,True,0,199680,56.146982955932614
0.0023630458454135805,0.01025390625,-0.4133770287693598,0.3474628539708619,-0.36961615491965905,0.7195755006327473,4.179980850219726,True,0.9636270403862,0.9838550686836243,-0.004718086426146328,True,0,204800,116.5377550125122
0.001454349304549396,0.0,0.05664909894261748,0.3089838000937516,0.02108839492325504,0.3969293065562362,4.255230045318603,True,0.9995689392089844,0.9983639717102051,-0.0017186172539368273,True,1,10240,4126.988507080078
0.009196083340793849,0.0349609375,0.0735872516723481,0.34539003605130897,0.08028787742249477,0.38398552366695193,4.255686509609222,True,1.0004850625991821,1.0003468990325928,-0.007009289471898228,True,1,20480,46.60147838592529
0.002757266547996551,0.00078125,0.15551583868785737,0.42059849222957707,0.15611636877367394,0.679748120327176,4.25614173412323,True,1.0009957551956177,1.0001994371414185,-0.00036026365123689177,True,1,39936,664.3474960327148
0.005133083352120593,0.0388671875,0.05413763700769498,0.5414253235292864,0.14377599457302728,0.5247057394401381,4.253135561943054,True,1.0020086765289307,0.993323802947998,-0.008131798019167035,True,1,60416,45.565357780456544
-0.0007397393346764147,0.0,-0.07971483082629931,0.7320043898470222,-0.012704191679278245,0.7386067358579758,4.221891641616821,True,0.991003692150116,0.9849119186401367,-0.0014801197219640016,True,1,100352,4676.885998535156
0.0014072900521568954,0.0021484375,-0.17733698213855043,0.7571644694102322,-0.050867110409606724,0.6595050238036724,4.21855183839798,True,0.9883179068565369,0.9848013520240784,-0.004731658461969346,True,1,149504,7057.661657714843
0.006097691389732063,0.0076171875,-0.12057396081300117,0.8523467872677253,0.015867108307504214,0.8309087417460498,4.203490006923675,True,0.9885700345039368,0.9773023724555969,-0.0050666882423684,True,1,199680,1581.1044555664062
0.010021831898484379,0.06845703125,-0.14712680786376436,0.8466064630674242,-0.01981572029300225,0.773199275438996,4.203647792339325,True,0.9878824353218079,0.9776344299316406,-0.01110202530398965,True,1,204800,1619.641098022461
0.005185842339415103,0.01181640625,0.20095465270629248,0.18821007839097895,0.05979194836153721,0.4535926562363487,4.2505144596099855,True,0.99786376953125,0.9968447089195251,-0.004606201802380383,True,2,10240,945.3715728759765
0.001844409672776237,0.00400390625,0.2746683065349666,0.23618844680494655,-0.08978844281877033,0.3202904631652905,4.244462454319001,True,0.9955407381057739,0.9944310784339905,-0.0021697710501030086,True,2,20480,2178.5270874023436
-0.0016653490136377513,0.00078125,0.20066072009309815,0.21910307641314122,-0.08883098074599192,0.37696186648572977,4.236299157142639,True,0.9921159744262695,0.9900904893875122,-0.0030474852421320973,True,2,39936,3575.005090332031
0.004315437696641311,0.00751953125,0.19776680440625521,0.2627588993253606,0.0251357081861874,0.312475187614344,4.232525253295899,True,0.9894492626190186,0.9906607270240784,-0.0037827248335815964,True,2,60416,1485.0149719238282
0.0035574101028032603,0.00576171875,0.2796840094746305,0.191827828450364,0.11240177540801083,0.6733269794063884,4.229970693588257,True,0.9885386824607849,0.9925291538238525,-0.00627752467407845,True,2,100352,5482.762939453125
0.0008292994345538319,0.00048828125,0.43615246143681596,0.33590192461875545,0.18200310857747143,0.6659511246850631,4.224801313877106,True,0.9856866598129272,0.9893989562988281,-0.0022847176529467105,True,2,149504,8785.744836425782
0.00953162853838876,0.049609375,0.39001016032237273,0.529844495234797,0.1693134949470942,0.7756438474072693,4.2165664553642275,True,0.9895959496498108,0.9825986623764038,-0.009687220471096224,True,2,199680,2735.0293518066405
0.011894232576014473,0.05537109375,0.40652297453429453,0.47876586171407703,0.17538831685311518,0.7478875984747353,4.210861587524414,True,0.9891151189804077,0.9794703125953674,-0.0102737485896796,True,2,204800,5744.2408203125
0.003777557046851143,0.0125,-0.31832741167044076,0.28392875619124996,-0.015608224710031674,0.20209773642572332,4.244851148128509,True,0.9953859448432922,0.9973549842834473,-0.003951233567204326,True,3,10240,3728.92421875
0.008049816137645393,0.05341796875,-0.2767671776983218,0.3198201213434737,0.17119404691784906,0.1511832165408527,4.233595931529999,True,0.9948108792304993,0.9926328063011169,-0.005980338668450713,True,3,20480,1446.0559661865234
0.006113414227729663,0.02841796875,0.16178452433266033,0.23798752442235696,0.04010109058282792,0.2860758968807806,4.233877623081208,True,0.9955503940582275,0.9957776069641113,-0.006647895928472281,True,3,39936,815.1830291748047
0.0031709824514109643,0.00615234375,0.22368858637652383,0.1455433002858051,0.07267599059283757,0.4109791421791229,4.2280722737312315,True,0.9937787055969238,0.9925500154495239,-0.003016597917303443,True,3,60416,793.4446456909179
0.0017314187251031398,0.00107421875,0.24089504146399215,0.23345638172790775,0.02646317636200155,0.3867194018127533,4.216800892353058,True,0.9890552163124084,0.9888136982917786,-0.003907731990329922,True,3,100352,10352.665063476563
0.004034758015768603,0.01376953125,0.025780306479487664,0.421038245888958,0.1079179298710257,0.37252288967580033,4.207384824752808,True,0.9856683015823364,0.9838954210281372,-0.004778814205201343,True,3,149504,3721.6797058105467
0.005748005205532536,0.03046875,0.09292488977408563,0.460153339206928,0.263186866939232,0.45841110045264966,4.191291451454163,True,0.9744810461997986,0.9829550981521606,-0.0067744740168564025,True,3,199680,2045.1532775878907
0.0037973339611198755,0.06767578125,0.019925240513820868,0.4943038261855705,0.15073401671028339,0.44608306856470886,4.184251987934113,True,0.9769191741943359,0.9794056415557861,-0.009387862181756645,True,3,204800,1601.802508544922
0.011245198087999597,0.0533203125,-0.11676981208237032,0.16796272270868803,0.05374231043850812,0.10992332817788426,4.252422428131103,True,0.9995739459991455,0.9978920817375183,-0.008127311710268259,True,4,10240,501.07149200439454
0.006364955916069448,0.02470703125,-0.08563887373744271,0.3338898523390808,0.10057562794252776,0.10236014189791541,4.243031430244446,True,0.9999123215675354,0.9902145862579346,-0.0030315967509523035,True,4,20480,354.5657791137695
0.006197705591330305,0.02666015625,-0.038654293172443524,0.5813837563842295,-0.03067646098908228,0.1429468122194908,4.233153009414673,True,0.9967470765113831,0.9856383800506592,-0.005474503309233114,True,4,39936,258.03591537475586
0.008284812793135643,0.0345703125,-0.046662288560317115,0.5977708946787116,-0.007395740093600649,0.08312600115608694,4.229172718524933,True,0.9956665635108948,0.984718918800354,-0.0063234703615307804,True,4,60416,141.42014694213867
0.0052142367349006236,0.046484375,0.01593289919054279,0.8344652907550875,-0.004479306729402967,0.22060203913201287,4.208828699588776,True,0.9924339652061462,0.977396547794342,-0.007832001848146319,True,4,100352,292.70484733581543
0.01606308091140818,0.04423828125,0.019260579499248892,0.7073363676845933,0.2257673530428945,0.42704868699494924,4.181096720695495,True,0.97576904296875,0.9670926332473755,-0.00798527814913541,True,4,149504,100.28080101013184
0.005423703882843256,0.03330078125,-0.202141322577014,0.24095633715801665,-0.02288512582054887,0.5095368671697998,4.161367833614349,True,0.9730997085571289,0.9630078673362732,-0.009572305670008063,True,4,199680,116.67061195373535
0.0036189411126542836,0.0048828125,-0.22803221641777036,0.3035661381950536,-0.06640997249394273,0.49882596669847246,4.164048147201538,True,0.9752307534217834,0.9642975926399231,-0.0043295000796206295,True,4,204800,447.0442611694336
