buy_probability,deterministic_epsilon_ask_mean,deterministic_epsilon_bid_mean,deterministic_error_ask,deterministic_error_bid,ent_coef,gae_lambda,gamma,include_fill_feedback,inventory_std,latent_sigma_ask,latent_sigma_bid,learning_rate,market_share,market_sigma,max_grad_norm,minibatch_size,n_epochs,network_architecture,network_hidden_layers,network_hidden_size,num_investors,num_rollouts,order_size_mode,ppo_clip,relative_price,rollout_length,sampled_epsilon_ask_mean,sampled_epsilon_ask_std,sampled_epsilon_bid_mean,sampled_epsilon_bid_std,seed,spread_pnl_per_step,total_pnl,total_pnl_per_step,training_steps,vf_coef
0.5,-0.3742147418614891,-0.3989857192581425,0.3742147418614891,0.3989857192581425,0.003,0.95,0.999,True,9.325414038123752,0.9636270403862,0.9838550686836243,5e-05,0.6370769230769231,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,True,1024,-0.26489321421563194,0.6182550615857005,-0.2941159009168153,0.7705614490934339,0,0.0928517946834941,80.30693817138672,0.15443642437458038,204800,0.5
0.5,-0.15063709338553824,-0.020265944236374567,0.15063709338553824,0.020265944236374567,0.003,0.95,0.999,True,6.8534584246515875,0.9878824353218079,0.9776344299316406,5e-05,0.5412115384615385,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,True,1024,-0.12935816601939643,0.8373855264478561,-0.028594328887730416,0.7607308826121275,1,0.07808208162995396,-2.005110502243042,-0.003855981631204486,204800,0.5
0.5,0.48223970758925694,0.2640346172797637,0.48223970758925694,0.2640346172797637,0.003,0.95,0.999,True,7.236749529616772,0.9891151189804077,0.9794703125953674,5e-05,0.39413461538461536,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,True,1024,0.2890436015353939,0.6329291309825539,0.1298610868166221,0.7814972945362864,2,0.09722123405713423,2.7612016201019287,0.00531000318005681,204800,0.5
0.5,0.06758284884377365,0.08375387496075956,0.06758284884377365,0.08375387496075956,0.003,0.95,0.999,True,8.912598871515168,0.9769191741943359,0.9794056415557861,5e-05,0.4760192307692308,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,True,1024,0.0674991428904636,0.6699119272641287,0.033363320677437094,0.6659433861649887,3,0.12205511837091203,66.67720031738281,0.1282253861427307,204800,0.5
0.5,-0.20462886953970436,-0.07783254132790786,0.20462886953970436,0.07783254132790786,0.003,0.95,0.999,True,8.055609015143357,0.9752307534217834,0.9642975926399231,5e-05,0.5470961538461537,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,True,1024,-0.13797570008847218,0.629801619193456,-0.05446402979249027,0.6741073442940331,4,0.1244327708772499,9.551185607910156,0.018367664888501167,204800,0.5
