approx_kl,clip_fraction,condition,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,entropy_proxy,latent_sigma_ask,latent_sigma_bid,policy_loss,seed,training_step,value_loss
0.0011734338942915202,0.0,current_ppo,-0.29173453358503487,0.037920007641917594,0.20772080967823664,0.029787803563281437,4.256804978847503,0.9989754557609558,1.0000618696212769,0.001135101413819939,0,1024,258.83095207214353
0.023094298475189134,0.24609375,current_ppo,-0.42018801543192985,0.050603273006337345,0.27259229815159086,0.030784535961168404,4.256660282611847,0.9986062049865723,1.0002089738845825,0.01314012596849352,0,2048,4203.625775146485
0.004266807221574709,0.05869140625,current_ppo,-0.3700814697986994,0.038121613831045696,0.218444518553905,0.033757954134444844,4.256627309322357,0.9987114071846008,1.0001899003982544,0.0003323939861729741,0,3072,3217.6951110839846
0.02626456812140532,0.22529296875,current_ppo,-0.2653526809353095,0.029807924929192233,0.14275172992776602,0.024509457391451328,4.256476330757141,0.9985786080360413,1.0002168416976929,0.008778143697418273,0,4096,970.5647689819336
0.007973171037156135,0.12646484375,current_ppo,-0.34734607136402373,0.035443898779129755,0.2740681935197268,0.031344711021643545,4.256177771091461,0.9985626339912415,1.0003044605255127,0.0009953043656423688,0,5120,3363.722625732422
0.021476392913609744,0.1919921875,current_ppo,-0.40338861777996404,0.05601136376208099,0.34300161302089693,0.03250606328066078,4.256263256072998,0.9985633492469788,1.0003974437713623,0.013193017872981726,0,6144,2280.419561767578
0.0027674937853589656,0.073828125,current_ppo,-0.3964071442683538,0.05826377229420621,0.38391089485241814,0.023813033428239875,4.256364798545837,0.9985144734382629,1.00042724609375,0.0011822522152215242,0,7168,5934.345178222657
0.0006259360583499074,0.000390625,current_ppo,-0.4095364007430199,0.06140389505069221,0.37837534493360764,0.027138472786283882,4.256333887577057,0.9983245134353638,1.0005993843078613,0.00026083061238750814,0,8192,2032.276904296875
0.008962922112550587,0.08212890625,current_ppo,-0.36774498224258423,0.04921041984925875,0.3513024200231601,0.037095811324279304,4.256398320198059,0.9976223111152649,1.0007340908050537,0.003366942552383989,0,9216,2242.6054443359376
0.015491570753511041,0.185546875,current_ppo,-0.30342562099297843,0.030413893254331935,0.24933578608891901,0.027303235857018947,4.25627681016922,0.997321605682373,1.0007834434509277,0.009989011357538402,0,10240,1955.6448303222655
0.005786170274950564,0.114453125,current_ppo,-0.22012194651059616,0.02293317115185807,0.18708493197575593,0.01622729791000517,4.255669915676117,0.99681556224823,1.0002951622009277,-0.00345105507876724,0,11264,762.4464721679688
0.002194706298178062,0.0322265625,current_ppo,-0.18656333392629257,0.01843231261171927,0.10508563528076197,0.011075807739511005,4.254339754581451,0.9966550469398499,1.0002228021621704,0.0007079804316163063,0,12288,2663.345098876953
0.00677563605713658,0.0296875,current_ppo,-0.11078114221588924,0.021824083309336686,0.06872448676671737,0.013401756295023362,4.255300343036652,0.9998372793197632,1.0006821155548096,-0.00237306437920779,0,13312,395.64888153076174
0.004753948497818783,0.08359375,current_ppo,-0.011556554636440407,0.018705729791383668,0.026858036435591297,0.010441391398830482,4.256699633598328,1.0005791187286377,1.0012733936309814,-0.002383648219984025,0,14336,1121.978582763672
0.003306494688149542,0.02939453125,current_ppo,-0.05186909742068308,0.020811337133074554,0.14131476124509787,0.012614524859029952,4.25666720867157,1.00040602684021,1.0012001991271973,-0.0016082533169537784,0,15360,261.79183158874514
0.0029164799663703887,0.0181640625,current_ppo,-0.014511356070094432,0.01770942310384962,0.07298477759154944,0.010035203712024359,4.25589154958725,0.999886155128479,1.0011255741119385,-0.0009807839756831526,0,16384,466.6784049987793
0.0012895068211946636,0.035546875,current_ppo,0.002835977929703987,0.013703422509721138,0.09472736714360042,0.008095039492222445,4.256027698516846,0.9993966221809387,1.0022742748260498,-0.0027998440666124223,0,17408,750.1867233276367
0.003127158246934414,0.0263671875,current_ppo,-0.05984669687369695,0.009636019361256331,0.10844217294301742,0.005739678906221668,4.25697830915451,0.9988923072814941,1.0030808448791504,-0.0025077636004425586,0,18432,814.1259414672852
0.0005075937602669001,0.00048828125,current_ppo,-0.014160348464979622,0.006957878335819824,0.047361061999048944,0.003522572352728157,4.256797170639038,0.9987375736236572,1.0031507015228271,-0.0011380835436284541,0,19456,1310.2676727294922
0.0022479679668322206,0.012890625,current_ppo,0.059867532957249725,0.008458951981743545,0.11304530121195011,0.0041106665783628,4.256811022758484,0.9982095956802368,1.003647804260254,-0.001228594861458987,0,20480,591.6979385375977
0.004395638464484364,0.0984375,current_ppo,0.06189730919402045,0.040040444025146955,-0.2949173290760089,0.04193363778883846,4.256195831298828,1.0006941556930542,0.9991982579231262,-0.005032801837660372,1,1024,335.67107009887695
0.04242761181085371,0.31240234375,current_ppo,0.021802908479600237,0.041509019209427,-0.3707442304262748,0.03699417327164574,4.254855692386627,1.0007685422897339,0.9989696145057678,0.02178511021193117,1,2048,2407.249377441406
0.001722102495841682,0.0369140625,current_ppo,0.09431010619856608,0.037393044670207355,-0.36732505422372086,0.04087613679877978,4.25556126832962,1.0011509656906128,0.9999258518218994,-0.0013272264041006565,1,3072,474.5469261169434
0.006128193956101313,0.203515625,current_ppo,0.11249410440333378,0.02960818630824833,-0.4503337636207923,0.03342792056228863,4.256682097911835,1.001124620437622,1.0002552270889282,0.013132417760789394,1,4096,1318.2760284423828
0.018235943012405186,0.17685546875,current_ppo,0.12568362624599383,0.022450395979683707,-0.49320027790008447,0.02257387033073591,4.256808578968048,1.0012571811676025,1.0001535415649414,0.005326189147308469,1,5120,1880.048110961914
-9.479773580096662e-05,0.02314453125,current_ppo,0.06734705369632978,0.017706387768098117,-0.48514529848710086,0.016707127522250027,4.256895005702972,1.0013467073440552,1.0002795457839966,3.730657044798136e-05,1,6144,510.4619613647461
0.005317567841848359,0.01552734375,current_ppo,0.05549057477559799,0.018692085958270637,-0.4560539597884203,0.01966795942582132,4.257051730155945,1.0013108253479004,1.0003585815429688,-0.0003864648286253214,1,7168,885.7460296630859
0.0024437590211164205,0.00751953125,current_ppo,0.05550001870649748,0.017081062313344345,-0.4807317017744749,0.01608011041994673,4.256991398334503,1.001257061958313,1.0003161430358887,-0.0010549283353611827,1,8192,1295.557635498047
0.003712916630320251,0.0271484375,current_ppo,0.0533546873057882,0.012431511702027873,-0.40543843438992133,0.0135666605025933,4.256940543651581,1.0004355907440186,1.0008020401000977,-0.0033663912210613487,1,9216,495.85240936279297
0.0010881668829824775,0.0,current_ppo,0.08725810662294045,0.008971237750126,-0.40567090503680403,0.010239063539514048,4.256618452072144,1.0001689195632935,1.000856876373291,-0.00036915324162691834,1,10240,3859.567248535156
0.001038855005754158,0.003515625,current_ppo,0.03452377347992017,0.011355067664580916,-0.3397574916864053,0.013310060965804444,4.2565563201904295,1.0001529455184937,1.0007855892181396,-0.003865624766331166,1,11264,785.8845840454102
0.003201423061545938,0.02451171875,current_ppo,0.09517683042929723,0.010840582789162195,-0.311892380240636,0.014292471738215762,4.25630202293396,0.9995126128196716,0.9993324279785156,-0.00013707688776776195,1,12288,528.3121383666992
-0.0005951630941126495,0.0,current_ppo,0.10641241371631623,0.007835684372806778,-0.3384367569898948,0.010882592250731933,4.255659174919129,0.9994987845420837,0.9989446997642517,0.000861189269926399,1,13312,293.8031078338623
0.0006492214044556022,0.0,current_ppo,0.10301783512800168,0.005206434562387034,-0.35502022413107065,0.007229489009320307,4.255623698234558,0.9995668530464172,0.9989251494407654,4.3126125819981095e-05,1,14336,204.14636917114257
0.0003343438438605517,0.0,current_ppo,0.09664515302731441,0.0063802320235666595,-0.34991003083877076,0.008747923088297771,4.255664944648743,0.999579906463623,0.9989261031150818,9.071535896509885e-06,1,15360,3611.6953674316405
-0.00015806594165042044,0.0,current_ppo,0.11878393825430136,0.0051482938074127954,-0.3499501569912984,0.007242055599975728,4.255628871917724,0.9995607137680054,0.9989044666290283,-0.0016552048735320568,1,16384,1078.216667175293
-3.587580285966396e-05,0.0,current_ppo,0.12147067710757256,0.006339380401116583,-0.3438111101205532,0.008895337438731228,4.255578172206879,0.9996201395988464,0.9988774657249451,8.454406633973122e-06,1,17408,1932.1579956054688
-4.129065200686455e-06,0.0,current_ppo,0.1309927193591228,0.005112902777873129,-0.31558658503569087,0.007254484148604199,4.255590426921844,0.9996544718742371,0.998859167098999,-0.000963895523454994,1,18432,479.61314697265624
-0.0004979137622285635,0.0,current_ppo,0.12332302914598049,0.0062439427145607835,-0.29865769507029116,0.008846544438353619,4.255572140216827,0.9996738433837891,0.9988418817520142,-0.00021070654038339852,1,19456,1981.6789764404298
0.001115375867811963,0.00048828125,current_ppo,0.12483213956539448,0.009029082157505343,-0.27311665545671415,0.01266566904764508,4.2555540800094604,0.9997110962867737,0.9987518191337585,-0.00017226559575647115,1,20480,728.0472793579102
0.011932654376141726,0.2740234375,current_ppo,-0.09879569899819146,0.0357144189908828,-0.3611360754722204,0.027599596791339713,4.256377267837524,1.00027334690094,0.9989150762557983,0.010451125883264467,2,1024,255.99867095947266
0.0570654310460668,0.43193359375,current_ppo,0.002295192935017463,0.041694591710611434,-0.25612613776555426,0.029767009732138902,4.25545859336853,1.0002892017364502,0.9985697865486145,0.06436662714695558,2,2048,268.27432746887206
0.038506390317343174,0.27451171875,current_ppo,-0.071275103324278,0.03870045071554961,-0.31922493737477525,0.02765084467708775,4.255207800865174,1.0001258850097656,0.998497486114502,0.03442776853917166,2,3072,1103.3959655761719
0.008139267098158598,0.16064453125,current_ppo,-0.017573398142345608,0.043371345149790824,-0.23806624080126101,0.030460463534493727,4.2551410555839535,1.0004435777664185,0.9986891150474548,0.010020101419650018,2,4096,283.2128318786621
0.06240822834079154,0.4529296875,current_ppo,0.13123897923505864,0.06841371754784578,-0.1143876031279946,0.04015283060409939,4.25553926229477,1.000685214996338,0.9990684986114502,0.04725352022796869,2,5120,684.6086013793945
0.015832214168040083,0.1986328125,current_ppo,0.030392291748117153,0.046637488891868875,-0.20553046556619498,0.03135017608663582,4.25597779750824,1.0007317066192627,0.9991700053215027,0.015221923822537065,2,6144,12764.957836914062
0.013656169315800071,0.18046875,current_ppo,0.13691098696099988,0.06877760607764627,-0.11535695521817663,0.03846483032287448,4.25628354549408,1.0008245706558228,0.9993416666984558,0.007065028254874051,2,7168,1201.54736328125
0.02421120066428557,0.30732421875,current_ppo,0.21282478933437513,0.06902318396130992,-0.0035792998986718698,0.037089299127248274,4.256514537334442,1.0007561445236206,0.9992857575416565,0.01478339604800567,2,8192,3027.8406494140627
-0.0006105388747528195,0.01748046875,current_ppo,0.25921777288118997,0.06223734073177961,-0.010717651874382192,0.02875089451539945,4.255986440181732,0.9996411800384521,0.9987929463386536,-0.001382733427453786,2,9216,363.2085807800293
0.00020159039995633067,0.0103515625,current_ppo,0.20035052981633597,0.0753022368360086,-0.08947451683000113,0.038579821219342156,4.254495704174042,0.9992167949676514,0.9986029863357544,-0.001202770252712071,2,10240,7729.862060546875
0.007936863764189183,0.05546875,current_ppo,0.13220742317274786,0.08220016422870698,-0.18740187966479704,0.04704179371157938,4.2543144702911375,0.9992601871490479,0.9985988736152649,0.000796316540800035,2,11264,6546.854138183594
