buy_probability,condition,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,deterministic_error_ask,deterministic_error_bid,ent_coef,gae_lambda,gamma,inventory_std,latent_sigma_ask,latent_sigma_bid,learning_rate,market_share,max_grad_norm,minibatch_size,n_epochs,network_activation,network_hidden_layers,network_hidden_size,num_investors,num_rollouts,order_size_mode,ppo_clip,rollout_length,sampled_epsilon_ask_mean,sampled_epsilon_ask_std,sampled_epsilon_bid_mean,sampled_epsilon_bid_std,seed,spread_pnl_per_step,total_pnl,total_pnl_per_step,vf_coef
0.5,current_ppo,0.060153488494599096,0.00764566288497049,0.11328549839699498,0.004380398543866672,0.060153488494599096,0.11328549839699498,0.003,0.95,0.999,9.390255904654774,0.9982095956802368,1.003647804260254,5e-05,0.4751538461538461,0.5,256,10,tanh,2,256,20,20,unit,0.2,1024,0.03455334368357748,0.6289998583527314,0.0715162268270181,0.6274695231817785,0,0.13072993728554722,55.64867775177322,0.10701668798417927,0.5
0.5,current_ppo,0.12573539617113197,0.009306779071517788,-0.27445079446125487,0.012690021254614527,0.12573539617113197,0.27445079446125487,0.003,0.95,0.999,10.588661643286594,0.9997110962867737,0.9987518191337585,5e-05,0.5245096153846154,0.5,256,10,tanh,2,256,20,20,unit,0.2,1024,0.07792447864646629,0.6200029191049645,-0.17530643625780962,0.6215832676172733,1,0.13044266316176512,50.6104556537584,0.09732779933415077,0.5
0.5,current_ppo,0.028156111516610297,0.03753118198768945,0.009156040218944186,0.018598784689709626,0.028156111516610297,0.009156040218944186,0.003,0.95,0.999,8.150090362909365,0.993619978427887,0.9945533871650696,5e-05,0.4930961538461539,0.5,256,10,tanh,2,256,20,20,unit,0.2,1024,0.008773464894419214,0.6250876214975645,0.015563039940976664,0.6276597782866329,2,0.1347203426334153,11.107376598465383,0.02136033961243343,0.5
0.5,current_ppo,0.5277869658344067,0.0781130945806223,0.15740408780196538,0.033184011170561044,0.5277869658344067,0.15740408780196538,0.003,0.95,0.999,7.869234389045716,1.0008161067962646,0.9926166534423828,5e-05,0.3878846153846154,0.5,256,10,tanh,2,256,20,20,unit,0.2,1024,0.351988178404141,0.5773365664138522,0.0976494498682195,0.6270101054389987,3,0.1266777347645494,-4.383672399446016,-0.008430139229703875,0.5
0.5,current_ppo,-0.37183313778959787,0.09529354157171618,-0.24319436439527914,0.0392543973098168,0.37183313778959787,0.24319436439527914,0.003,0.95,0.999,9.056088267656332,0.9940950274467468,1.001124382019043,5e-05,0.5993365384615384,0.5,256,10,tanh,2,256,20,20,unit,0.2,1024,-0.23794762476421266,0.6053345105580202,-0.1598945803560827,0.620752628038104,4,0.1291616705082217,3.1351926616521846,0.006029216657023432,0.5
0.5,paper_aligned_ppo,0.3417280862938899,0.016880210711649857,0.0450296149829116,0.008511222715219173,0.3417280862938899,0.0450296149829116,0.003,0.95,0.999,8.869610032923093,0.9886782765388489,1.0022722482681274,5e-05,0.4450288461538462,0.5,256,10,tanh,2,256,20,20,unit,0.3,1024,0.21102041180543332,0.6093540421363596,0.030254069508949984,0.6287191961288001,0,0.1306176795722078,44.6285737551762,0.08582418029841576,0.5
0.5,paper_aligned_ppo,-0.1246690300035362,0.01328927181097105,-0.33279380545593223,0.011876049573263903,0.1246690300035362,0.33279380545593223,0.003,0.95,0.999,11.360393936677447,1.002526879310608,0.9966167211532593,5e-05,0.5717211538461539,0.5,256,10,tanh,2,256,20,20,unit,0.3,1024,-0.07639886994435353,0.6201785398737595,-0.2134173993559055,0.615000943012624,1,0.12880791852577728,38.26362794891917,0.07358389990176764,0.5
0.5,paper_aligned_ppo,-0.0013191483832018164,0.015235507765550934,-0.33446413623025784,0.012859693151666393,0.0013191483832018164,0.33446413623025784,0.003,0.95,0.999,8.464961321028612,0.9951438903808594,0.9989539980888367,5e-05,0.551875,0.5,256,10,tanh,2,256,20,20,unit,0.3,1024,-0.008757878962653474,0.6252350201714026,-0.19819559720590546,0.6108781396939137,2,0.13242861287220664,0.14210672889717274,0.0002732821709561014,0.5
0.5,paper_aligned_ppo,0.5056276282094992,0.047541473216201016,0.01973047780624676,0.032841179136794955,0.5056276282094992,0.01973047780624676,0.003,0.95,0.999,7.889108795585193,0.9945816397666931,0.9901168346405029,5e-05,0.4119134615384615,0.5,256,10,tanh,2,256,20,20,unit,0.3,1024,0.332075218234425,0.5796434338803583,0.01584406607008042,0.6295801272602901,3,0.12746621781980289,-2.6962755764286497,-0.0051851453392858645,0.5
0.5,paper_aligned_ppo,0.038763593890113184,0.04651307920430997,0.16240134542378096,0.030884222236476164,0.038763593890113184,0.16240134542378096,0.003,0.95,0.999,9.111088556195938,0.9957565069198608,1.0024844408035278,5e-05,0.474923076923077,0.5,256,10,tanh,2,256,20,20,unit,0.3,1024,0.014685357933793476,0.6274259667567956,0.08572611566274226,0.6283022254440346,4,0.1328265518229374,4.207790944606418,0.00809190566270465,0.5
