deterministic_epsilon_ask_mean,deterministic_epsilon_bid_mean,seed,training_step
0.13689853976934385,0.05692951786212432,0,20480
0.026757817237805098,-0.10257950730812855,0,60416
-0.0252008318901062,-0.051545214041685446,0,100352
-0.03239609583830222,0.02757433423629174,0,149504
-0.17016024054625095,0.020280241813415135,0,199680
-0.1445301198042356,0.01822352898426545,0,204800
-0.21113732151496103,-0.1852781422627278,1,20480
-0.19237855504720638,-0.2323620304083213,1,60416
-0.04976581579599625,-0.059009591127053285,1,100352
-0.047750081924291754,-0.005325186099761571,1,149504
-0.012102232988064105,0.04265384903320899,1,199680
0.014756922691296309,0.03398102323214213,1,204800
0.0109390472754454,0.06603806905257396,2,20480
0.038164051068134794,-0.05370304095439422,2,60416
0.01144095628689497,-0.023324646246738922,2,100352
0.1785931666692098,-0.035878548866663224,2,149504
0.16140653307621294,-0.03010362249154311,2,199680
0.15665919857147412,-0.030091525805302156,2,204800
-0.19832852666194623,-0.025960674652686484,3,20480
-0.0649633859976744,0.21134991156749236,3,60416
0.03015973491546435,0.3916403700143863,3,100352
0.24159718644924652,0.45400176797157676,3,149504
-0.0311259252902789,0.23417269511100575,3,199680
-0.02148181031911801,0.22228018198257837,3,204800
-0.13083416636173542,-0.11674798421370677,4,20480
0.09828844528931838,0.2902958617760585,4,60416
0.04877148010791876,0.129594249297411,4,100352
0.1645911210622543,0.4166695571862734,4,149504
0.22311180707735892,0.12195290724436442,4,199680
0.24435775799629017,0.14829172858825096,4,204800
