action_dimension,buy_probability,deterministic_epsilon_ask_mean,deterministic_epsilon_bid_mean,deterministic_error_ask,deterministic_error_bid,ent_coef,framework,gae_lambda,gamma,gymnasium_version,inventory_std,learning_rate,market_share,market_sigma,max_grad_norm,minibatch_size,n_epochs,network_architecture,network_hidden_layers,network_hidden_size,num_investors,observation_dimension,order_size_mode,ppo_clip,python_version,ray_version,rllib_clip_actions_default,rllib_kl_coeff_default,rllib_kl_target_default,rllib_normalize_actions_default,rllib_version,rllib_vf_clip_default,sampled_epsilon_ask_mean,sampled_epsilon_ask_std,sampled_epsilon_bid_mean,sampled_epsilon_bid_std,seed,spread_pnl_per_step,torch_version,total_pnl,total_pnl_per_step,train_batch_size,training_steps,vf_coef
3,0.5,-0.1741530472613298,0.045472577042304556,0.1741530472613298,0.045472577042304556,0.003,torch,0.95,0.999,1.2.2,12.300566006901132,5e-05,0.4907980769230769,0.2,0.5,256,10,separate_actor_critic,2,256,20,5,unit,0.3,3.11.15,2.57.0,False,0.2,0.01,True,bundled_with_ray_2.57.0,10.0,-0.1717140509073551,0.6011903767750626,0.21519328507093283,0.7189848009792864,0,0.1144077546583755,2.12.0,97.10459899902344,0.18673960864543915,1024,204800,0.5
3,0.5,0.021564542318765933,0.10574634893582417,0.021564542318765933,0.10574634893582417,0.003,torch,0.95,0.999,1.2.2,15.671348632519564,5e-05,0.5014038461538461,0.2,0.5,256,10,separate_actor_critic,2,256,20,5,unit,0.3,3.11.15,2.57.0,False,0.2,0.01,True,bundled_with_ray_2.57.0,10.0,0.017141684591770172,0.8434062265233867,-0.01686573307101543,0.8563443340816314,1,0.0617712686383101,2.12.0,29.725387573242188,0.057164207100868225,1024,204800,0.5
3,0.5,0.14254685646066298,-0.016773833884642673,0.14254685646066298,0.016773833884642673,0.003,torch,0.95,0.999,1.2.2,7.538585162715473,5e-05,0.4837884615384615,0.2,0.5,256,10,separate_actor_critic,2,256,20,5,unit,0.3,3.11.15,2.57.0,False,0.2,0.01,True,bundled_with_ray_2.57.0,10.0,0.0742261677980423,0.766418673829702,-0.020720887241455224,0.680698125870577,2,0.10217714367990154,2.12.0,36.60034942626953,0.07038528472185135,1024,204800,0.5
3,0.5,0.021390580374460955,0.23938003450632095,0.021390580374460955,0.23938003450632095,0.003,torch,0.95,0.999,1.2.2,9.408046447397917,5e-05,0.47675000000000006,0.2,0.5,256,10,separate_actor_critic,2,256,20,5,unit,0.3,3.11.15,2.57.0,False,0.2,0.01,True,bundled_with_ray_2.57.0,10.0,-0.017139646399479645,0.7625783493905655,0.11571133218132533,0.7449028525810594,3,0.09382989113286246,2.12.0,11.752079963684082,0.02260015346109867,1024,204800,0.5
3,0.5,0.30729470920104246,0.14843330783339648,0.30729470920104246,0.14843330783339648,0.003,torch,0.95,0.999,1.2.2,7.66582090475464,5e-05,0.39989423076923075,0.2,0.5,256,10,separate_actor_critic,2,256,20,5,unit,0.3,3.11.15,2.57.0,False,0.2,0.01,True,bundled_with_ray_2.57.0,10.0,0.25156634681499923,0.6686954708996314,0.15575244835936106,0.7053747011016026,4,0.1058011827771186,2.12.0,33.0037956237793,0.06346883624792099,1024,204800,0.5
