seed,training_steps,adaptive_cold_start_steps,environment_reset_calls,adaptive_table_complete,adaptive_probe_interval,adaptive_probe_steps_total,adaptive_probe_fraction_total,training_step,window_start,window_steps,ppo_market_share,ppo_spread_pnl_per_step,ppo_total_pnl_per_step,ppo_mean_abs_inventory,ppo_inventory_std,ppo_mean_hedge_fraction,ppo_mean_epsilon_bid,ppo_mean_epsilon_ask,adaptive_market_share,adaptive_mean_abs_inventory,adaptive_inventory_std,adaptive_mean_hedge_fraction,adaptive_mean_base_epsilon,adaptive_mean_epsilon_bid,adaptive_mean_epsilon_ask,adaptive_probe_steps,adaptive_probe_fraction,adaptive_base_epsilon_one_frequency,approx_kl,clip_fraction,value_loss,learning_rate,ppo_clip,gamma,gae_lambda,minibatch_size,n_epochs,ent_coef,vf_coef,max_grad_norm,state_dependent_std,market_sigma,order_size_mode
0,204800,121,3,True,100,2046,0.009990234375,204800,184321,20480,0.9717993164062501,0.24000294856761925,0.24429580749324611,13.20873899084243,12.315968457429658,0.14496310401300433,0.7807126464011503,0.6281909954148176,0.028200683593749998,0.13472475782618454,0.9881719046796841,0.01734960937383221,0.9771484375,0.9689355468777648,0.9667382812134747,205,0.010009765625,0.9797780517879161,0.011482513335067779,0.06474609375,615.4215240478516,5e-05,0.3,0.999,0.95,256,10,0.003,0.5,0.5,True,0.2,unit
1,204800,121,3,True,100,2046,0.009990234375,204800,184321,20480,0.73387939453125,0.991336124165706,0.879382536061882,5.578654370635169,6.844328112961846,0.3097575561958365,0.19670928123084225,0.2969634126193824,0.26612060546875005,2.2853948226093883,4.455257428457946,0.13554443358316348,0.783779296875,0.575068362255115,0.6117187533032847,205,0.010009765625,0.6017262638717632,-0.00010467664105817676,0.0,336492.771875,5e-05,0.3,0.999,0.95,256,10,0.003,0.5,0.5,True,0.2,unit
2,204800,121,3,True,100,2046,0.009990234375,204800,184321,20480,0.5002490234375,0.5346217913497443,0.4426884987833608,7.042776426628905,7.967939608902443,0.23795891275658504,0.018569683628760457,0.05346450508988454,0.4997509765625,5.281954121046642,6.973013403077719,0.2782373046326029,0.302607421875,0.03361328366736416,0.028867188045114744,205,0.010009765625,0.13519112207151665,-0.0008337019389728084,0.0,12837.171630859375,5e-05,0.3,0.999,0.95,256,10,0.003,0.5,0.5,True,0.2,unit
3,204800,121,3,True,100,2046,0.009990234375,204800,184321,20480,0.5476611328125,0.22185559410762234,0.20973768429711712,10.688347681600414,11.109812495801368,0.2192380386273726,0.05099488835225543,0.05038222188036343,0.4523388671875,4.697048282167058,6.5723004034944825,0.2730683592381865,0.426904296875,0.1638281288469443,0.1634082059710636,205,0.010009765625,0.22071516646115907,0.00845886797469575,0.023828125,1602.9528564453126,5e-05,0.3,0.999,0.95,256,10,0.003,0.5,0.5,True,0.2,unit
4,204800,121,3,True,100,2046,0.009990234375,204800,184321,20480,0.91010986328125,0.39730763026680876,0.3628126230450618,4.887286396633066,6.061590235594152,0.44032488193333846,0.6809268501858327,0.508524599496279,0.08989013671875001,0.7065137302415538,2.464931126751759,0.04999707031820435,0.9564550781250001,0.9060156260442455,0.8858300786843756,205,0.010009765625,0.8804438964241676,0.004398790188133717,0.02470703125,9256.65810546875,5e-05,0.3,0.999,0.95,256,10,0.003,0.5,0.5,True,0.2,unit
