seed,training_step,window_start,window_steps,ppo_market_share,ppo_spread_pnl_per_step,ppo_total_pnl_per_step,ppo_mean_abs_inventory,ppo_inventory_std,ppo_mean_hedge_fraction,ppo_mean_epsilon_bid,ppo_mean_epsilon_ask,adaptive_market_share,adaptive_mean_abs_inventory,adaptive_inventory_std,adaptive_mean_hedge_fraction,adaptive_mean_base_epsilon,adaptive_mean_epsilon_bid,adaptive_mean_epsilon_ask,adaptive_probe_steps,adaptive_probe_fraction,adaptive_base_epsilon_one_frequency,approx_kl,clip_fraction,value_loss
0,20480,1,20480,0.577744140625,0.21290584452655467,0.1553701905666953,5.785150300379965,7.253015032821071,0.4416379197500646,0.09648670951809919,0.013505313289812193,0.422255859375,4.622759233557882,8.983863635999088,0.23512451161213904,0.4462498158062774,0.2241503913377528,0.1686230477404024,203,0.009912109375,0.30110140900972415,0.00013692229404114187,0.0,11993.469555664062
0,60416,39937,20480,0.7150805664062501,0.20641528068011,0.17008605820548534,6.004206388984459,6.962014476544867,0.3751815586074372,0.1720785937508708,0.08080103828606866,0.28491943359375005,2.654518314176085,4.858421077404018,0.15453320314709346,0.6549121093749999,0.514853517080337,0.46204101747352977,204,0.0099609375,0.5437956204379562,0.003744085115613416,0.00419921875,2595.6085571289063
0,100352,79873,20480,0.75615478515625,0.265077396812197,0.25434369104056576,7.899305656869903,8.0607744083294,0.2724586266616825,0.46392479370899337,0.348827103781926,0.24384521484375,2.09584417765963,4.281837100018484,0.13315917967629504,0.8603320312499999,0.6990136743355834,0.6758691432129126,205,0.010009765625,0.6405425400739827,0.004956728057004511,0.038671875,4075.6054931640624
0,150528,130049,20480,0.899462890625,0.30869899525890443,0.29086448684729216,12.097653438750278,11.894962397023434,0.17674358499934897,0.6903971805520811,0.43629654452395383,0.100537109375,0.75252684241754,2.5613869357656744,0.05856640626825538,0.950791015625,0.9049609383990174,0.9070703133584175,205,0.010009765625,0.8773859432799014,0.002558559668250382,0.00673828125,10856.8017578125
0,204800,184321,20480,0.9717993164062501,0.24000294856761925,0.24429580749324611,13.20873899084243,12.315968457429658,0.14496310401300433,0.7807126464011503,0.6281909954148176,0.028200683593749998,0.13472475782618454,0.9881719046796841,0.01734960937383221,0.9771484375,0.9689355468777648,0.9667382812134747,205,0.010009765625,0.9797780517879161,0.011482513335067779,0.06474609375,615.4215240478516
1,20480,1,20480,0.59671142578125,0.180550291230013,0.10487906134909256,5.670803957353636,7.2230686604372885,0.49579562151484424,0.06670456488806309,-0.06814096858383181,0.40328857421875003,4.208818533302249,7.3900791497392415,0.23003808583907812,0.42810550616434995,0.22485351598006673,0.18443359392840647,203,0.009912109375,0.3523020440563604,0.009444225544575602,0.05498046875,144.563969039917
1,60416,39937,20480,0.738271484375,0.15753944008108436,0.12522685138472128,5.313781856165194,6.557082203873356,0.43872005964367417,0.2696374091249538,0.02266513872439333,0.261728515625,2.2752397457146953,4.4516358498631545,0.1469472655762729,0.7332617187499999,0.6014355497558427,0.5357031272207677,204,0.0099609375,0.6066778457289406,0.0017742150812409818,0.0001953125,4435.26162109375
1,100352,79873,20480,0.7411181640625001,0.3621694674625349,0.3171448526735111,5.544913554311133,6.671302978992729,0.4034571008523926,0.18596161680160322,0.1410454873272812,0.25888183593749997,2.410074721585352,4.616704034528045,0.14354833977304224,0.739384765625,0.5560546901491762,0.6265820342305233,205,0.010009765625,0.5845129469790382,0.019565002733725124,0.103125,207.1943786621094
1,150528,130049,20480,0.7164111328125001,0.7314811412902243,0.5953659715474883,5.222796575152233,6.60824712699966,0.4477642723708414,-0.07507449404151031,0.12701339967770905,0.28358886718750004,2.7032224831699025,4.816315783927332,0.13143994131960426,0.6517382812499999,0.4318652360096166,0.49020508002940916,205,0.010009765625,0.5261159062885327,0.0020372004306409507,0.000390625,40906.4408203125
1,204800,184321,20480,0.73387939453125,0.991336124165706,0.879382536061882,5.578654370635169,6.844328112961846,0.3097575561958365,0.19670928123084225,0.2969634126193824,0.26612060546875005,2.2853948226093883,4.455257428457946,0.13554443358316348,0.783779296875,0.575068362255115,0.6117187533032847,205,0.010009765625,0.6017262638717632,-0.00010467664105817676,0.0,336492.771875
2,20480,1,20480,0.58344482421875,0.2402816204065256,0.17373294571122852,5.720634201357901,7.287362661373862,0.5015407217855682,0.10360949109268916,0.06495555357601432,0.41655517578124995,4.843018485589869,10.634517747673124,0.24088037101819282,0.48117294562601304,0.22420898585551186,0.23504882920533418,203,0.009912109375,0.28061123238737845,0.002492751274257898,0.0142578125,2623.0256896972655
2,60416,39937,20480,0.67806396484375,0.23148097099820825,0.17567944584334247,5.243169640595279,6.56014977809956,0.45170185268943897,0.11256728589987261,0.02726312189468132,0.32193603515625,3.0226630080468393,5.074786033645889,0.14472705078396758,0.5964550781250001,0.41510742403916084,0.38044922027402206,204,0.0099609375,0.4659696192542908,0.0013851481140591203,0.00126953125,13191.862915039062
2,100352,79873,20480,0.55243896484375,0.3950512814310122,0.2798392897133251,5.526621217660987,6.855019962524235,0.4248135474539595,0.10079168208603448,0.16662197276872776,0.44756103515625006,4.306540490014404,6.114641448949638,0.2160517577626706,0.48787109375000004,0.20774414364350377,0.20147461271408246,205,0.010009765625,0.25223181257706534,0.010814169398508966,0.0404296875,1065.7921783447266
2,150528,130049,20480,0.6024169921875,0.5927500441743885,0.4833333651897398,6.056827459031659,7.046283931740978,0.3080326957060606,0.06913109914828226,0.11839041467356566,0.3975830078125,3.9675064882626465,5.910161604391672,0.20066308589721302,0.48927734375,0.2513769545657851,0.26711914268889814,205,0.010009765625,0.3286313193588163,0.008884528238559142,0.02392578125,79680.1015625
2,204800,184321,20480,0.5002490234375,0.5346217913497443,0.4426884987833608,7.042776426628905,7.967939608902443,0.23795891275658504,0.018569683628760457,0.05346450508988454,0.4997509765625,5.281954121046642,6.973013403077719,0.2782373046326029,0.302607421875,0.03361328366736416,0.028867188045114744,205,0.010009765625,0.13519112207151665,-0.0008337019389728084,0.0,12837.171630859375
3,20480,1,20480,0.48393310546875,0.10858728663732058,0.06349452972481484,5.834482071345688,7.381967945418169,0.497303689205728,-0.08252253972110993,0.02080515788059927,0.51606689453125,5.468211451872904,8.519509245361391,0.2546401366546888,0.20614961442114052,-0.0941894529358251,-0.06358398486481746,203,0.009912109375,0.11817820996229411,0.002520594227826223,0.0111328125,439.3768737792969
3,60416,39937,20480,0.545556640625,0.14764391627471135,0.10061680589355512,6.131672342067301,7.420284739781083,0.4318596787808929,-0.039924889764007786,-0.008820977264468866,0.454443359375,4.458801843500099,6.266607667235831,0.21621874992897575,0.35799804687500003,0.08081054781359853,0.06384765678303665,204,0.0099609375,0.23495758532254882,0.005021796605433337,0.015625,20376.36591796875
3,100352,79873,20480,0.49317138671875,0.24636459557568183,0.12788937743766357,6.505973864347236,7.4618823098964,0.43051433981017906,0.1596466588939151,0.01534816616243262,0.5068286132812501,4.893382363120483,6.498484243254684,0.2129335937115684,0.46092773437500006,0.16069336488289993,0.014951176490285434,205,0.010009765625,0.1574845869297164,0.008114184823352844,0.0412109375,2024.9858978271484
3,150528,130049,20480,0.59185302734375,0.3475408729705419,0.2957289773194068,8.395320255515083,9.456265884436275,0.32074098136945395,-0.00019702734944644363,0.09700836945688707,0.40814697265625,4.185135394664334,6.1181274641435675,0.20943701168371262,0.49993164062499995,0.2217871124819794,0.251298829697771,205,0.010009765625,0.2978051787916153,0.007210298033896834,0.04033203125,17763.51315917969
3,204800,184321,20480,0.5476611328125,0.22185559410762234,0.20973768429711712,10.688347681600414,11.109812495801368,0.2192380386273726,0.05099488835225543,0.05038222188036343,0.4523388671875,4.697048282167058,6.5723004034944825,0.2730683592381865,0.426904296875,0.1638281288469443,0.1634082059710636,205,0.010009765625,0.22071516646115907,0.00845886797469575,0.023828125,1602.9528564453126
4,20480,1,20480,0.6036987304687501,0.16782860371026018,0.1095436635201876,6.086644010771522,7.83464536381954,0.4901667777827242,0.013737281071595931,-0.0833214494879698,0.39630126953125,4.808049269173387,12.50384062264675,0.26228173821982637,0.40234785598506806,0.22777343763664248,0.18023437508090864,203,0.009912109375,0.3358801349474102,-0.000936107593588531,0.001953125,2238.4275085449217
4,60416,39937,20480,0.5563256835937499,0.1337082525795942,0.09982099256391368,6.8024038600347705,7.974764502981964,0.4297090403008042,0.2244820108777617,-0.1774340628965021,0.44367431640625005,4.072897085123391,6.040682992945641,0.2288730468639187,0.44507812500000005,0.22631836040091002,0.11738281377474777,204,0.0099609375,0.3226474649832314,0.012572602101136,0.03935546875,238.8606689453125
4,100352,79873,20480,0.5779418945312499,0.23775802095579274,0.18026891847813137,6.650368989349339,7.755619924826079,0.4035373232793063,0.24499986364540263,-0.09229920098002253,0.42205810546875,3.9027025462432645,5.896280032665774,0.22851123038599325,0.49983398437499993,0.2921093770608422,0.18680664220883045,205,0.010009765625,0.340517879161529,0.0006392294424585998,0.0,29426.69853515625
4,150528,130049,20480,0.7848046875,0.25316845097889473,0.2326881049424391,6.272831676324943,7.330005373173216,0.395186787059356,0.4107808097850679,0.08121303135530127,0.21519531250000004,1.9467632113875677,4.136942016455012,0.11614892573934413,0.802099609375,0.6825195334298769,0.6187988297482662,205,0.010009765625,0.6589889025893958,0.0019265789014752954,0.0232421875,4963.82294921875
4,204800,184321,20480,0.91010986328125,0.39730763026680876,0.3628126230450618,4.887286396633066,6.061590235594152,0.44032488193333846,0.6809268501858327,0.508524599496279,0.08989013671875001,0.7065137302415538,2.464931126751759,0.04999707031820435,0.9564550781250001,0.9060156260442455,0.8858300786843756,205,0.010009765625,0.8804438964241676,0.004398790188133717,0.02470703125,9256.65810546875
