seed,training_step,agent,window_start,window_steps,market_share,captured_volume_per_step,spread_pnl_per_step,spread_pnl_per_captured_unit,inventory_pnl_per_step,hedge_cost_per_step,total_pnl_per_step,mean_abs_inventory
0,20480,PPO,1,20480,0.43340820312500006,8.6681640625,0.1234266714379959,0.014239078834693653,0.001124643628408376,0.07527438876795478,0.04927692629844952,6.014527028101074
0,20480,Adaptive,1,20480,0.5665917968749999,11.3318359375,0.1519184575913441,0.013406341075642146,0.014016843804581569,0.06601591154581496,0.09991938985011065,5.601275878724304
0,60416,PPO,39937,20480,0.3724267578125,7.44853515625,0.07853510014994329,0.010543697317994826,0.005498440954668921,0.04536793150193133,0.03866560960268089,5.838390286443525
0,60416,Adaptive,39937,20480,0.6275732421875,12.55146484375,0.11969196032716131,0.009536094935306449,-0.008281130773566093,0.046401837812810307,0.06500899174078491,5.708925515055192
0,100352,PPO,79873,20480,0.53043701171875,10.608740234375,0.12307201840786108,0.011601002163204697,0.0200610645577274,0.03060961019127642,0.11252347277431207,5.059573025884902
0,100352,Adaptive,79873,20480,0.46956298828125,9.391259765625,0.08928394149435957,0.009507131494878591,-0.005471475876610362,0.026076058948905988,0.05773640666884322,4.022863340815979
1,20480,PPO,1,20480,0.4514306640625,9.02861328125,0.09952084257562355,0.011022827036163078,-0.013872906614243657,0.06107643862875245,0.02457149733262744,5.956616711361916
1,20480,Adaptive,1,20480,0.5485693359375,10.97138671875,0.11531087118885257,0.010510145539924078,-0.012277190214810631,0.04855372652532723,0.054479954448714715,5.455991739342863
1,60416,PPO,39937,20480,0.40736083984375,8.147216796875,0.047910485744797254,0.0058805954155011705,0.0016631697810071632,0.02898694507725865,0.020586710448545764,5.972903271002437
1,60416,Adaptive,39937,20480,0.59263916015625,11.852783203125,0.07583363705428059,0.006397960357048205,-0.008731469207016954,0.02657661441748326,0.04052555342978038,5.701267281348479
1,100352,PPO,79873,20480,0.39558593750000004,7.91171875,0.1262082344594926,0.015952062813088825,0.016905849916204037,0.07337868178970411,0.06973540258599253,5.9346440949327635
1,100352,Adaptive,79873,20480,0.6044140625,12.08828125,0.17254748243746074,0.01427394671491952,-0.0025295119334809058,0.05668047300359336,0.11333749750038649,5.609199106460679
2,20480,PPO,1,20480,0.416640625,8.3328125,0.11990541039397037,0.014389548594063575,-0.006233718336906402,0.07258934126036037,0.04108235079670362,5.902409161439337
2,20480,Adaptive,1,20480,0.583359375,11.6671875,0.18080607894285775,0.01549697208027708,0.01687905621836645,0.06815772879592305,0.12952740636530113,5.698484365566765
2,60416,PPO,39937,20480,0.43640869140625005,8.728173828125,0.1101543468727286,0.012620549159753861,0.021589203647021833,0.0517707257406147,0.07997282477913574,5.366567070990553
2,60416,Adaptive,39937,20480,0.56359130859375,11.271826171875,0.1534750409611113,0.013615809773934942,-0.014683706841883342,0.049958794613613376,0.08883253950561461,5.329402026698565
2,100352,PPO,79873,20480,0.44182861328125,8.836572265625,0.26649985676416843,0.03015873675371558,-0.029477020808210463,0.08595311740216272,0.15106971855379525,5.560035861048695
2,100352,Adaptive,79873,20480,0.55817138671875,11.163427734375,0.3294069158742879,0.02950768560627317,0.032585455220056014,0.10714611313115438,0.2548462579631895,5.245776395631999
