approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,entropy_proxy,latent_sigma_ask,latent_sigma_bid,network_architecture,policy_loss,seed,training_step,value_loss
0.00352697754278779,0.0013671875,0.10786856916152503,0.025353494015150607,0.4671228197904734,0.04341755783172712,4.25551985502243,0.9969097375869751,0.9980586767196655,separate_actor_critic,-0.0015643550548702478,0,10240,4454.807037353516
0.010795150022022425,0.0220703125,0.23407543880793338,0.07439277385877814,0.36686311482619016,0.0638158019501091,4.252000463008881,0.9956508874893188,0.9957038760185242,separate_actor_critic,-0.004226416232995689,0,20480,614.1268630981446
0.00014430448063649238,0.0,0.21442025016085842,0.10935985641991618,0.24382210257104955,0.0987651523736933,4.246171319484711,0.9966874718666077,0.9921078681945801,separate_actor_critic,1.932234736159444e-05,0,39936,2840.02646484375
0.005798587435856461,0.01328125,-0.018998194079941664,0.10898385030898793,0.09079447896727241,0.15244984370401995,4.239977872371673,0.9961223602294922,0.9886456727981567,separate_actor_critic,-0.004632058518473059,0,60416,443.48615341186525
0.02611709826742299,0.071484375,-0.5593239126583704,0.08893063854346248,0.2799545302348307,0.18559769499924358,4.230815005302429,0.9918782711029053,0.9812526702880859,separate_actor_critic,-0.006319397175684571,0,100352,210.2364616394043
0.0008256882021669299,0.0,-0.36982752424963294,0.08606607052996619,0.10904357347679206,0.18047003322985591,4.212345933914184,0.9915575385093689,0.9685189723968506,separate_actor_critic,-0.0009985331969801336,0,149504,1050.3803878784179
0.0036773499334231017,0.0060546875,-0.41580996554440414,0.09950865816740416,-0.3744787362571328,0.1293085118896072,4.197629165649414,0.9880015254020691,0.9619986414909363,separate_actor_critic,-0.0028835357632488014,0,199680,65.28534460067749
0.007561294123297558,0.0201171875,-0.31302485183024636,0.15390840516937537,-0.12652199770150802,0.2063162917075752,4.1955991864204405,0.9862151145935059,0.9614626169204712,separate_actor_critic,-0.0051068249624222515,0,204800,23.732070112228392
0.0009864504740107805,0.00146484375,-0.33428899267545115,0.05787891655046365,-0.26602012385160495,0.038066956533273306,4.2546775341033936,1.0014737844467163,0.9976546168327332,separate_actor_critic,-0.0008885890711098909,1,10240,1589.0248046875
0.0015829157433472573,9.765625e-05,-0.4673506266604631,0.14064619146530163,-0.013181329308113512,0.04743069743955934,4.253990483283997,0.9992699027061462,0.9984374046325684,separate_actor_critic,-0.0015566531103104353,1,20480,400.42261428833007
