seed,training_step,window_start,window_steps,mean_reference_spread_s_ref_1,ppo_market_share,adaptive_market_share,ppo_raw_spread_per_unit,adaptive_raw_spread_per_unit,ppo_normalized_spread_monetization,adaptive_normalized_spread_monetization,ppo_adaptive_normalized_ratio
0,20480,1,20480,0.023003615310494385,0.43340820312500006,0.5665917968749999,0.014239078834693653,0.013406341075642146,0.6189930861953556,0.5827927869027654,1.0621152150577835
0,60416,39937,20480,0.015140692081355937,0.3724267578125,0.6275732421875,0.010543697317994826,0.009536094935306449,0.6963814640268794,0.6298321691020372,1.1056619496265532
0,100352,79873,20480,0.013307867999125889,0.53043701171875,0.46956298828125,0.011601002163204697,0.009507131494878591,0.8717400987120322,0.7143992933731426,1.2202421066179694
0,150528,130049,20480,0.011203957849980632,0.5093334960937501,0.49066650390625,0.01136328141844311,0.009915089280431185,1.0142202934530633,0.8849631008249755,1.1460594148022583
0,204800,184321,20480,0.007292910632455196,0.6031591796875,0.39684082031249995,0.009951304047135016,0.007335326907874662,1.364517481243954,1.0058160969682945,1.3566272058648177
1,20480,1,20480,0.01883083746968812,0.4514306640625,0.5485693359375,0.011022827036163078,0.010510145539924078,0.585360425626659,0.5581347912349726,1.0487796761987278
1,60416,39937,20480,0.010417034494427097,0.40736083984375,0.59263916015625,0.0058805954155011705,0.006397960357048205,0.5645172259578454,0.6141825065925417,0.9191359569808701
1,100352,79873,20480,0.023892943625712613,0.39558593750000004,0.6044140625,0.015952062813088825,0.01427394671491952,0.667647447002799,0.5974126477893866,1.1175649686582683
1,150528,130049,20480,0.05804381517469811,0.44932861328125,0.55067138671875,0.04392234609605098,0.0345172456804126,0.7567101846054596,0.5946756872635591,1.272475402664456
1,204800,184321,20480,0.058816918134119454,0.47973388671875006,0.5202661132812499,0.04635910106057092,0.03702138869336299,0.7881933044308589,0.629434350996487,1.252224800224254
2,20480,1,20480,0.02452345556750462,0.416640625,0.583359375,0.014389548594063575,0.01549697208027708,0.5867667610893623,0.6319244870535988,0.9285393636591166
2,60416,39937,20480,0.020155184230640964,0.43640869140625005,0.56359130859375,0.012620549159753861,0.013615809773934942,0.626168881183802,0.6755487629448446,0.9269040453189695
2,100352,79873,20480,0.04334689829353085,0.44182861328125,0.55817138671875,0.03015873675371558,0.02950768560627317,0.6957530513369284,0.6807334957730283,1.0220637821660945
2,150528,130049,20480,0.05885038674936033,0.44339599609375,0.5566040039062501,0.056749199103238473,0.047051529486633055,0.9642961115095018,0.7995109647625974,1.2061074256759379
2,204800,184321,20480,0.08551540847891989,0.54197509765625,0.45802490234375004,0.1099194958454271,0.0788033787055352,1.2853764929687843,0.9215108728032416,1.394857652692324
