approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,entropy_proxy,include_fill_feedback,latent_sigma_ask,latent_sigma_bid,market_sigma,observation_mode,paper_pnl_observation,policy_loss,relative_price,seed,training_step,value_loss
0.0013392250752076507,0.00078125,-0.13571698936396456,0.15172066406087767,-0.13044920665411971,0.1448671418354353,4.248013746738434,False,0.9934221506118774,1.0024490356445312,0.1,paper,False,-0.0019611008698120712,True,0,10240,596.0626815795898
0.004735450953012333,0.01220703125,-0.18704171191978577,0.13331692857792984,-0.1430232849628784,0.46438227564742035,4.248071670532227,False,0.9939988255500793,1.0014960765838623,0.1,paper,False,-0.004346793820150197,True,0,20480,185.36000022888183
0.0009678934293333441,0.0060546875,-0.30789858067455966,0.18868592043773,-0.3292265402481485,0.4695180964926412,4.246768844127655,False,0.992904782295227,1.0017584562301636,0.1,paper,False,-0.005213905544951558,True,0,39936,633.5626968383789
0.004363951779669151,0.00595703125,-0.4714992066510977,0.11055023422107677,-0.278544817919819,0.12054523477218575,4.244160199165345,False,0.9923753142356873,1.000261902809143,0.1,paper,False,-0.00423688730224967,True,0,60416,581.8832611083984
0.0017232026730198413,0.0,-0.4925014540654583,0.1260277860271141,0.47261404311045624,0.1486999769097645,4.2418742895126345,False,0.9887755513191223,1.0006425380706787,0.1,paper,False,-0.0014185162726789713,True,0,100352,9239.391430664062
-0.0005559366429224611,0.0,-0.6414834164035244,0.16395175569540896,0.1138063330334635,0.08602232729511027,4.235048711299896,False,0.9877615571022034,1.0007755756378174,0.1,paper,False,-0.0016336790518835186,True,0,149504,83230.939453125
0.026690278830938042,0.1515625,-0.7756698458240583,0.20562425754614913,0.25829991437255956,0.10235079460610812,4.237896692752838,False,0.9902316331863403,0.9998667240142822,0.1,paper,False,0.004346972401253879,True,0,199680,17123.39052734375
4.5981595758348706e-05,0.0,-0.7549123487793482,0.20342018485354046,0.4795659701889142,0.15947414084878941,4.238779127597809,False,0.9904624819755554,0.9994978904724121,0.1,paper,False,-0.0015626681735739112,True,0,204800,61650.32060546875
0.0038093935407232495,0.008984375,0.06264787096648107,0.10172697947161491,-0.17973555558934234,0.2702827210345225,4.249790942668914,False,0.9965900182723999,0.9982692003250122,0.1,paper,False,-0.00435525260400027,True,1,10240,932.9290771484375
0.007114898005966097,0.05009765625,-0.021302401328620574,0.369580701332649,0.08907770266732536,0.22597981210512402,4.23908029794693,False,0.9894968271255493,0.9966847896575928,0.1,paper,False,-0.014560302125755698,True,1,20480,116.42356033325196
0.001344591152155772,0.000390625,-0.18207718028137698,0.429398607257846,-0.19692469393977752,0.3204218688411566,4.222794389724731,False,0.9868907332420349,0.990607738494873,0.1,paper,False,-0.0021080929785966874,True,1,39936,910.0480377197266
0.0015731648192740977,0.00087890625,-0.39593687189790683,0.28472071832704204,-0.734586417230849,0.3502292337255624,4.210203731060028,False,0.9857480525970459,0.9855605363845825,0.1,paper,False,-0.0033258571987971664,True,1,60416,7143.871398925781
0.0007888996973633766,0.0,-0.6249739694050871,0.3532046380773285,-0.7823251452559653,0.34817603889040755,4.211375367641449,False,0.9876009225845337,0.9844440221786499,0.1,paper,False,-0.0016154019162058831,True,1,100352,26257.26083984375
0.0018279762822203337,0.0,0.03367711148263576,0.16953179635486776,-0.815996633317226,0.32323850368322954,4.2074915766716,False,0.9862022995948792,0.9829137325286865,0.1,paper,False,-0.0026387366116978226,True,1,149504,107556.053515625
0.030686593666905536,0.15146484375,-0.3322340973378278,0.3088414895912948,-0.6514014385592861,0.28498357478243785,4.20110330581665,False,0.9816536903381348,0.9807875752449036,0.1,paper,False,0.0036631941329687834,True,1,199680,42180.3533203125
0.003397150378441438,0.00458984375,-0.33308136963572066,0.27959452739761675,-0.7564601175439282,0.2817528307135047,4.200176799297333,False,0.9809644818305969,0.9807199239730835,0.1,paper,False,-0.003643550118431449,True,1,204800,58859.52099609375
0.009209305635886266,0.0341796875,0.13632897199310648,0.4246006092733193,0.026970098362952017,0.14425871710602978,4.248946583271026,False,0.996386706829071,0.9965968132019043,0.1,paper,False,-0.0125660803867504,True,2,10240,205.02082481384278
0.00021568122901953756,9.765625e-05,0.12367300281139951,0.30460506434716206,-0.05581292221203255,0.32906372942035417,4.247453117370606,False,0.9956273436546326,0.9960917234420776,0.1,paper,False,-0.0015160890878178179,True,2,20480,1268.20458984375
0.00046850793878547845,0.01796875,-0.026820962027891374,0.14979190809200768,-0.10077403663920287,0.27365280170862966,4.247277414798736,False,0.9984198212623596,0.9943311810493469,0.1,paper,False,-0.002879014681093395,True,2,39936,4190.707366943359
0.008930947264889254,0.0701171875,-0.47352647598450764,0.16083268937337655,-0.2995431175765892,0.19508852307452207,4.245609641075134,False,0.998669445514679,0.9935038685798645,0.1,paper,False,-0.00925164893269539,True,2,60416,1145.7938446044923
0.0008049731375649571,0.0,-0.34982940384115163,0.19085501893558762,-0.3359311984798226,0.2617117875013573,4.248670554161071,False,0.9996036887168884,0.9951294660568237,0.1,paper,False,-0.0012840033508837224,True,2,100352,25819.59794921875
0.0014173788367770612,0.0,-0.11234375323073413,0.2265901186395477,-0.16362411479513422,0.2942276967093467,4.242571902275086,False,0.9973662495613098,0.994621753692627,0.1,paper,False,-0.000859818048775196,True,2,149504,6592.366442871094
0.007150522293522954,0.0171875,0.1777640164777553,0.2473403428624833,0.009463714730018415,0.27521497252980187,4.229469561576844,False,0.9943814277648926,0.9875819087028503,0.1,paper,False,-0.006656494608614593,True,2,199680,2951.261328125
-0.0004401054058689624,0.0,0.1596246617076059,0.23425301699074597,0.01517204646131573,0.270912462218576,4.228707242012024,False,0.9942333698272705,0.9871093034744263,0.1,paper,False,-0.002532569598406553,True,2,204800,4442.502337646484
0.00400243847980164,0.04345703125,0.013318285242749903,0.2675422269787197,0.04319150005661262,0.1467667805695367,4.248476910591125,False,1.0003715753555298,0.9970543384552002,0.1,paper,False,-0.012752433633431792,True,3,10240,139.68903923034668
0.0022100449190475048,0.03154296875,0.024938081244890314,0.4354934047948894,0.1802161083474624,0.27188337437343746,4.244994962215424,False,0.9973568320274353,0.9953702092170715,0.1,paper,False,-0.011135424114763736,True,3,20480,74.16685047149659
0.0011008873814716935,0.0,-0.05986757229488247,0.621552237659925,0.019303836348729255,0.3617367262527842,4.232566785812378,False,0.9958542585372925,0.9866209030151367,0.1,paper,False,-0.003043697774410248,True,3,39936,711.9479125976562
0.003740786120761186,0.00361328125,-0.13047075538704983,0.43050653981742687,-0.07579206691469806,0.340359727766228,4.230750370025635,False,0.99506676197052,0.9878185391426086,0.1,paper,False,-0.004236874682828784,True,3,60416,827.6411499023437
-0.0002518732042517513,0.0001953125,-0.09117129222394373,0.6624105800580934,-0.09648924823372793,0.2791332689870632,4.214834046363831,False,0.9940628409385681,0.9768679141998291,0.1,paper,False,-0.00273982600774616,True,3,100352,1699.6358123779296
0.008110122644575312,0.0421875,0.11737133553251625,0.6090233866454001,0.042770254956289694,0.41663417025422284,4.199483072757721,False,0.988584578037262,0.9723947644233704,0.1,paper,False,-0.007926602440420538,True,3,149504,230.58187713623047
0.011628201382700354,0.03935546875,-0.017127600722970107,0.6137042627308927,-0.10864617200172805,0.3549177122742877,4.179326677322388,False,0.9828711152076721,0.9661909341812134,0.1,paper,False,-0.006881569931283593,True,3,199680,1322.825018310547
-0.0009340556513052434,0.0,-0.15840997032057016,0.5717786199788059,-0.19221467392948957,0.3163229428597554,4.1718015432357785,False,0.9796083569526672,0.9634702801704407,0.1,paper,False,-0.0008399178273975849,True,3,204800,1966.7120178222656
0.005389167880639434,0.0091796875,-0.060116032289359,0.1512584269742465,-0.039828326388408476,0.11583966092438991,4.2523841381073,False,0.9973106980323792,0.9968516826629639,0.1,paper,False,-0.004325697408057749,True,4,10240,349.2614204406738
0.007919087551999836,0.05634765625,-0.25751712603661686,0.4012497080115907,-0.23612375071403593,0.15069180716993982,4.250708198547363,False,0.9982215166091919,0.9941521286964417,0.1,paper,False,-0.010158817446790636,True,4,20480,233.93939819335938
0.009137178113451227,0.05693359375,-0.29558866157984504,0.37145185265875336,-0.33026394557613786,0.14296873095232415,4.240637087821961,False,0.9920464754104614,0.9901010990142822,0.1,paper,False,-0.008640366746112705,True,4,39936,633.6950485229493
0.007163673039758578,0.0341796875,-0.2014612396990952,0.38500185258248404,-0.4039928269214355,0.12368215086005324,4.231759262084961,False,0.9910260438919067,0.9863250851631165,0.1,paper,False,-0.00613453306723386,True,4,60416,2134.389517211914
0.0017334018310066312,0.03974609375,-0.3812041211634492,0.5499184163382648,-0.2852410861482032,0.16333748439765666,4.224315595626831,False,0.9851680397987366,0.9901071786880493,0.1,paper,False,-0.008146001934073865,True,4,100352,370.05504302978517
0.0011993572174105794,0.0009765625,-0.30476292871082056,0.5110146307078947,-0.24243415814349786,0.17056201752408512,4.224245917797089,False,0.9888831973075867,0.991389811038971,0.1,paper,False,-0.002297266130335629,True,4,149504,1780.467007446289
0.004436416301177815,0.0408203125,-0.31768425185806476,0.32249854005691614,-0.3859678275310076,0.128022196289424,4.218393862247467,False,0.9854135513305664,0.9876853227615356,0.1,paper,False,-0.007749646948650479,True,4,199680,3198.9675415039064
0.005974671215517447,0.0068359375,-0.37458591183934076,0.34523855907557793,-0.4216069909624564,0.1335350116527857,4.2182862043380736,False,0.9854685068130493,0.9877431988716125,0.1,paper,False,-0.004677580343559385,True,4,204800,1377.5623748779296
