buy_probability,deterministic_epsilon_ask_mean,deterministic_epsilon_bid_mean,deterministic_error_ask,deterministic_error_bid,ent_coef,gae_lambda,gamma,include_fill_feedback,inventory_std,latent_sigma_ask,latent_sigma_bid,learning_rate,market_share,market_sigma,max_grad_norm,minibatch_size,n_epochs,network_architecture,network_hidden_layers,network_hidden_size,num_investors,num_rollouts,order_size_mode,paper_pnl_observation,ppo_clip,relative_price,rollout_length,sampled_epsilon_ask_mean,sampled_epsilon_ask_std,sampled_epsilon_bid_mean,sampled_epsilon_bid_std,seed,spread_pnl_per_step,total_pnl,total_pnl_per_step,training_steps,vf_coef
0.5,-0.15405979928457572,0.07955766589976869,0.15405979928457572,0.07955766589976869,0.003,0.95,0.999,False,8.250666479068649,0.9794765710830688,0.9947358965873718,5e-05,0.5107884615384615,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,True,0.3,True,1024,-0.11726628224549551,0.6775582252013315,0.07330944387728568,0.6754798396858624,0,0.11445052391079606,47.76809310913086,0.09186171740293503,204800,0.5
0.5,0.01985926487103615,-0.13529304892733657,0.01985926487103615,0.13529304892733657,0.003,0.95,0.999,False,7.547965793954132,0.9942713379859924,0.9825400114059448,5e-05,0.5342403846153847,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,True,0.3,True,1024,-0.0012475192909075234,0.6936611574803869,-0.1133807402234267,0.7137033352078415,1,0.11131232050851535,43.054298400878906,0.08279673010110855,204800,0.5
0.5,0.6767601456306874,0.5909486644728951,0.6767601456306874,0.5909486644728951,0.003,0.95,0.999,False,5.97615408005874,0.9827184677124023,0.9696012735366821,5e-05,0.3039807692307692,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,True,0.3,True,1024,0.44555385910027745,0.8206554540599146,0.3413415155370603,0.7019440401089001,2,0.05807181428104081,10.452614784240723,0.020101182162761688,204800,0.5
0.5,0.05416726364496684,0.001114551044665859,0.05416726364496684,0.001114551044665859,0.003,0.95,0.999,False,7.451109848288392,0.9723341464996338,0.986010730266571,5e-05,0.4896346153846154,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,True,0.3,True,1024,0.07627195323026031,0.6961529389719117,-0.015448528493176966,0.695223344841958,3,0.11456416669437343,39.322689056396484,0.07562055438756943,204800,0.5
0.5,-0.03926156650881659,-0.1373241708228754,0.03926156650881659,0.1373241708228754,0.003,0.95,0.999,False,8.209232568453846,0.9763730764389038,0.9824237823486328,5e-05,0.5447307692307692,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,True,0.3,True,1024,-0.04513606139754232,0.6419728908117515,-0.10673237963546013,0.6993628042601553,4,0.12223388966210012,40.86000061035156,0.07857692241668701,204800,0.5
