approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,entropy_proxy,include_fill_feedback,latent_sigma_ask,latent_sigma_bid,paper_pnl_observation,policy_loss,relative_price,seed,training_step,value_loss
0.002661597076803446,0.00048828125,-0.05800822253267352,0.4167563502583899,0.0403624513774561,0.14328768060654673,4.254860007762909,False,1.0004947185516357,0.998691737651825,True,-0.0028003383660688995,True,0,10240,4149.75185546875
0.00972715694224462,0.04833984375,-0.017386795193828547,0.07496818213494187,0.19785671363142915,0.17755434886955346,4.254145061969757,False,0.9997773170471191,0.999125599861145,True,-0.009862850420176983,True,0,20480,728.1139343261718
0.004625595919787884,0.01162109375,-0.13501178313595935,0.6191375955276688,0.14219813632766884,0.4547378285331249,4.25374790430069,False,0.9991258978843689,0.999825656414032,True,-0.004844543198123575,True,0,39936,1289.3491302490233
0.003212116670329124,0.023046875,-0.11409665236297326,0.7181707369902421,0.09112295160392443,0.36545933419147675,4.243438458442688,False,0.9957150220870972,0.9959240555763245,True,-0.004078441485762596,True,0,60416,753.9406387329102
-0.0014701944019179791,0.02998046875,-0.07768513829662249,0.7063169883459919,-0.05328654531831256,0.18670635860705898,4.230073952674866,False,0.9965336918830872,0.9920528531074524,True,-0.008055740979034453,True,0,100352,214.75240516662598
0.013383449544198811,0.0412109375,-0.21458300299321612,0.4765653269356867,-0.11294098428617685,0.16700537234680962,4.220787239074707,False,0.9886325001716614,0.9936929941177368,True,-0.007648138410877437,True,0,149504,414.4263008117676
0.0026522473955992608,0.03681640625,-0.10476780917453699,0.3700534925229245,0.10856264126367676,0.4149862989530477,4.2155485391616825,False,0.9815407395362854,0.9956028461456299,True,-0.00589511648286134,True,0,199680,49.340445804595944
0.009463192662224174,0.02548828125,-0.15279250675573564,0.556459677623556,0.06957618263311302,0.48833356734877414,4.21472020149231,False,0.9794765710830688,0.9947358965873718,True,-0.0052082926034927365,True,0,204800,86.10484046936035
0.011867070716107264,0.078515625,0.07881824878829484,0.31581274506844337,0.0651940374558296,0.1140916316246292,4.250493288040161,False,0.9969746470451355,0.9991587400436401,True,-0.011637767823413015,True,1,10240,424.2762809753418
0.0052384765149326995,0.0345703125,0.13642975562087928,0.43540073017596065,0.17674523778020954,0.25197519091024506,4.2412224650383,False,0.9934465885162354,0.9975082278251648,True,-0.00685547236353159,True,1,20480,97.71905040740967
0.011352109990548342,0.03134765625,-0.0018213657327951528,0.7178418128886481,-0.029101737579092003,0.40863488470606474,4.231001901626587,False,0.9979434013366699,0.9885149002075195,True,-0.005155349255073815,True,1,39936,148.62423419952393
0.006581534631550312,0.01259765625,0.16150740536813363,0.7243996185016389,-0.05605618529415761,0.6997730813520512,4.229163432121277,False,0.9985179305076599,0.9905667304992676,True,-0.004428095510229468,True,1,60416,185.68229217529296
0.0003761349944397807,0.00087890625,0.2698319089718354,0.6764668128647023,0.055999405514926485,0.47090666595035685,4.223826956748963,False,0.9968674778938293,0.990283191204071,True,-0.0029904609080404045,True,1,100352,952.7687149047852
0.0010492279368918389,0.0,0.1381093210188481,0.5220165976913034,-0.05421100915767826,0.6139230887799444,4.22402583360672,False,0.9963312745094299,0.9895500540733337,True,-0.0008345165988430381,True,1,149504,23087.6818359375
