approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,entropy_proxy,gae_value_target,latent_sigma_ask,latent_sigma_bid,policy_loss,seed,training_step,value_loss
0.008787958580069245,0.04580078125,0.13194201454902307,0.2863665571769454,0.39403461850224397,0.28600092769843655,4.251950311660766,True,0.9970408082008362,0.9953469038009644,-0.010155058628879488,0,10240,49.722990322113034
0.003243913274491206,0.04091796875,0.12100354015098837,0.3810667546028093,0.2802980456975862,0.3050350786819563,4.2485541820526125,True,0.9941495060920715,0.9924463033676147,-0.006100449478253722,0,20480,33.843184328079225
0.010632915093447081,0.060546875,0.36246848580105084,0.32339840496007394,0.3631963598392665,0.5143660096796255,4.2265981316566466,True,0.9835374355316162,0.9876601099967957,-0.009156001289375127,0,39936,15.614893221855164
0.014582170330686494,0.09169921875,0.2872616044603861,0.3382616917526471,0.4416669440121414,0.5416976497643026,4.218355143070221,True,0.980446457862854,0.9821838140487671,-0.014518888120073825,0,60416,9.48457670211792
0.007470448681851849,0.034765625,0.3784998141682874,0.36168256477999144,0.40477450218780014,0.5364108438412855,4.192109525203705,True,0.9708597660064697,0.9777907729148865,-0.006118720828089863,0,100352,8.794382190704345
0.002610532217659056,0.0189453125,0.12212281802143805,0.19742336966202206,0.4285378630153644,0.577123774299437,4.155341339111328,True,0.9634788036346436,0.9659742116928101,-0.004241849598474801,0,149504,8.60229696035385
0.011454098916146904,0.05546875,-0.19908291671831066,0.2374106118314402,0.08131079560097976,0.7768753098434921,4.107896983623505,True,0.9377695918083191,0.9543037414550781,-0.010031452006660401,0,199680,2.5788421034812927
0.008031570399180055,0.031640625,-0.022682561757019125,0.2968467147327848,0.07034284274977369,0.7847927964304181,4.099783277511596,True,0.9354482293128967,0.9535768628120422,-0.0059912587865255775,0,204800,2.6318689048290254
0.00444754718337208,0.05,-0.042141926849786286,0.2968210485505842,-0.04332509139875093,0.23477326076149138,4.256061947345733,True,1.0028290748596191,0.9968352317810059,-0.008419478894211352,1,10240,48.64326992034912
0.017108079604804517,0.06328125,0.05709246567171365,0.28809452590911766,0.06850812710367907,0.18776335041185385,4.245863223075867,True,1.0023843050003052,0.9928497672080994,-0.011840007081627846,1,20480,15.47564172744751
0.007974962273146957,0.04052734375,-0.14663958674631059,0.4436015886897601,0.12068403398421092,0.11918620235621266,4.2272034883499146,True,0.9982562065124512,0.9852040410041809,-0.008937405818141998,1,39936,20.87930898666382
0.0014793885231483728,0.03671875,-0.08725642892770852,0.4197209682003971,0.05043709612278363,0.24726602914761,4.215968525409698,True,0.9938186407089233,0.9815052151679993,-0.00612368636066094,1,60416,17.66687650680542
0.0028522981854621323,0.00400390625,-0.011870679101691796,0.7282837678694104,-0.006721978210724699,0.4120883360028648,4.206534016132355,True,0.9931561946868896,0.9766709804534912,-0.002695106284227222,1,100352,77.79636974334717
0.02467200717655942,0.0638671875,0.10433825149368017,0.6613841611503948,-0.10520683871477675,0.5374970138775464,4.198243308067322,True,0.9891293048858643,0.9757040143013,-0.010676903440617025,1,149504,311.5350738525391
0.00650082525680773,0.02099609375,0.029721090362484878,0.5978650906475528,-0.19781645267533185,0.7252598359836252,4.1763678908348085,True,0.982948899269104,0.9718582034111023,-0.004829829593654722,1,199680,346.0618064880371
0.013368633360369132,0.0669921875,0.009778896618921023,0.5638690062815233,-0.20022587933792518,0.6930413983203456,4.171929585933685,True,0.979974627494812,0.9695843458175659,-0.012956578005105256,1,204800,310.03065490722656
0.007444333547027782,0.0359375,0.03551503565462413,0.11835754615471256,-0.22556814008678955,0.4064122352941963,4.248536825180054,True,0.9956541657447815,0.9988621473312378,-0.0068351506954059,2,10240,83.90596866607666
-0.0004905595909804106,0.03583984375,0.07067769246193795,0.12290214413146194,-0.07928330465996017,0.2553178756327964,4.242912817001343,True,0.9923261404037476,0.9998881816864014,-0.009675386105664074,2,20480,77.13701629638672
0.008614954748190939,0.0490234375,0.06297620865852178,0.15509610733032922,-0.032552800408806294,0.3697299393283782,4.235884213447571,True,0.9906833171844482,1.000165343284607,-0.00763828179333359,2,39936,48.03210744857788
0.011074085667496547,0.0111328125,-0.039538897817151454,0.19538296706023248,-0.09296703251580206,0.5054582840618803,4.213703811168671,True,0.9857472777366638,0.991534948348999,-0.004780964099336415,2,60416,52.30025806427002
0.008615589479450136,0.030859375,-0.29910376717885717,0.7513920622070115,0.1708522387380258,0.13866335730474263,4.210811793804169,True,0.9851176142692566,0.9900553822517395,-0.007697976240888238,2,100352,237.72466888427735
0.007188466467778198,0.04287109375,0.057866872120529225,0.305123260514009,0.05213100277603819,0.39704492804074637,4.199236106872559,True,0.9798514246940613,0.9848591089248657,-0.0076181423151865605,2,149504,281.8269561767578
0.01038768955040723,0.0373046875,-0.06281918106266321,0.5556317737347921,0.1859519658049043,0.7793881558709826,4.163389563560486,True,0.9643194675445557,0.9818437695503235,-0.006525813695043325,2,199680,393.8143165588379
0.011132947052828968,0.04033203125,-0.007735461899294303,0.5031745325701008,0.13360292251484515,0.6930435342242433,4.164506459236145,True,0.9648823142051697,0.9795299768447876,-0.009598467638716102,2,204800,521.6502212524414
0.006973773258505389,0.01748046875,0.06083128860956118,0.12699236152873092,0.11423790437193253,0.5293209646578635,4.244173431396485,True,0.9931917190551758,0.9959967732429504,-0.0048575743567198515,3,10240,35.898540353775026
0.007730453833937645,0.0251953125,0.016001563128203344,0.0755444746193244,0.14257521512082372,0.5322001515347274,4.237062442302704,True,0.9918137192726135,0.9905787110328674,-0.0052487477893009785,3,20480,20.120846796035767
0.006850848812609911,0.03154296875,-0.009698590444317326,0.09186905103862976,0.055212577960143484,0.7712766087108643,4.226099061965942,True,0.9812077283859253,0.9873027801513672,-0.003926153643988073,3,39936,50.864671325683595
0.01175440099905245,0.03955078125,-0.0528990645851128,0.3906665787269302,0.016836688444257165,0.7693867362965381,4.219040215015411,True,0.9777573347091675,0.9856213927268982,-0.006558715889696032,3,60416,25.15570397377014
0.010949375003110617,0.08271484375,-0.15187113419509468,0.14887161901627705,0.021278417635804566,0.8546601515073436,4.2159038305282595,True,0.9739638566970825,0.9854171872138977,-0.011417533527128399,3,100352,151.01346435546876
0.010050544689875096,0.06630859375,-0.07854540343523228,0.3329096072073645,0.20114722397679893,0.743797175812463,4.212037646770478,True,0.9729348421096802,0.9870429039001465,-0.007554176729172468,3,149504,49.96503829956055
0.008001079666428268,0.04638671875,0.5439636047816095,0.31221888521246177,0.4925883277773093,0.5773951147267353,4.198248362541198,True,0.9657780528068542,0.9810989499092102,-0.005754046986112371,3,199680,56.913552570343015
0.0031830158462980763,0.02763671875,0.5845815918360574,0.24142478155023575,0.4385013006102198,0.5654556587369064,4.188129830360412,True,0.9599088430404663,0.9798738956451416,-0.00443998365662992,3,204800,54.563554763793945
0.004534899658756331,0.02431640625,0.023411436438059003,0.23133021767302445,0.08969498639127825,0.1235198053952943,4.257214975357056,True,1.0035805702209473,1.0009090900421143,-0.005989094893448055,4,10240,56.41344404220581
-0.0028644967067521067,0.0380859375,0.09608659556416126,0.2959467387679086,0.1653856619388068,0.3192302964634204,4.250667941570282,True,0.9954410195350647,1.003677487373352,-0.00629112720489502,4,20480,33.744258069992064
0.0027495617454405875,0.0142578125,0.08165533490156611,0.2841920967729524,0.10279204801160795,0.32459781316065695,4.239494967460632,True,0.9923450350761414,0.9992428421974182,-0.005517642386257649,4,39936,22.17830948829651
0.008476517425151542,0.028125,0.20778179330122956,0.23365063143919657,0.018900831430577313,0.3386991974362019,4.231347751617432,True,0.989470899105072,0.9977477192878723,-0.008020444586873055,4,60416,13.300100326538086
