buy_probability,deterministic_epsilon_ask_mean,deterministic_epsilon_bid_mean,deterministic_error_ask,deterministic_error_bid,ent_coef,gae_lambda,gae_value_target,gamma,inventory_std,kl_coef,latent_sigma_ask,latent_sigma_bid,learning_rate,market_share,market_sigma,max_grad_norm,minibatch_size,n_epochs,network_architecture,network_hidden_layers,network_hidden_size,num_investors,num_rollouts,order_size_mode,ppo_clip,rollout_length,sampled_epsilon_ask_mean,sampled_epsilon_ask_std,sampled_epsilon_bid_mean,sampled_epsilon_bid_std,seed,spread_pnl_per_step,total_pnl,total_pnl_per_step,training_steps,vf_coef
0.5,-0.020382731340902793,0.06754610098639274,0.020382731340902793,0.06754610098639274,0.003,0.95,True,0.999,7.853334414275349,0.0,0.9354482293128967,0.9535768628120422,5e-05,0.48638461538461536,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,-0.03234243636574739,0.6267048460142198,0.1052605795130456,0.7786121570878838,0,0.10893451729761182,68.94645690917969,0.13258934020996094,204800,0.5
0.5,-0.018427757679013525,-0.21089344445129077,0.018427757679013525,0.21089344445129077,0.003,0.95,True,0.999,7.653526053852298,0.0,0.979974627494812,0.9695843458175659,5e-05,0.5466346153846153,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,-0.0054530659154541075,0.6931521541429676,-0.16574343005911663,0.738487138143301,1,0.10547613844892602,50.613868713378906,0.0973343625664711,204800,0.5
0.5,-0.05590410760756081,0.19829441513683727,0.05590410760756081,0.19829441513683727,0.003,0.95,True,0.999,7.593027423341248,0.0,0.9648823142051697,0.9795299768447876,5e-05,0.4678846153846154,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,-0.03360151797858774,0.6691745100238591,0.16214964705554638,0.7419164248536668,2,0.10733917342498583,24.0942325592041,0.04633506387472153,204800,0.5
0.5,0.5784757145835409,0.3758789794428874,0.5784757145835409,0.3758789794428874,0.003,0.95,True,0.999,7.159913622504166,0.0,0.9599088430404663,0.9798738956451416,5e-05,0.353125,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,0.38329444231956306,0.5729210406818445,0.20566789367981703,0.7243706281588093,3,0.10632612881761117,25.788415908813477,0.04959310591220856,204800,0.5
0.5,-0.23553286019599629,-0.3017330372732921,0.23553286019599629,0.3017330372732921,0.003,0.95,True,0.999,8.085072776486351,0.0,0.9733647704124451,0.9813276529312134,5e-05,0.5812211538461539,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,-0.13780726611566094,0.6383556664329022,-0.199080248667966,0.8593841731383249,4,0.08606541837362067,22.53200340270996,0.04333077743649483,204800,0.5
