approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_bid_mean,ent_coef,latent_sigma_ask_mean,latent_sigma_ask_state_std,latent_sigma_bid_mean,latent_sigma_bid_state_std,n_epochs,policy_loss,seed,training_step,two_side_mae,value_loss
0.008285792505679032,0.025390625,0.002654924557860702,0.023604740312872217,0.003,0.9934450349746606,0.03605444317409737,0.9885754091617388,0.01604188409926937,3,-0.004771357635036111,0,20480,0.01312983243536646,323.5211995442708
0.006370056245941669,0.009765625,0.10999697424465409,-0.017580067249349296,0.003,1.0084438929191002,0.0768878828846501,0.9892918270367842,0.1014973938430642,3,-0.0022461545498420796,0,60416,0.0637885207470017,113.63571866353352
0.002061681298073381,0.0,0.11798950083485135,0.018188538127698196,0.003,0.9958973387877147,0.032165864601066435,0.9791591343207237,0.026887765713064782,3,-0.001257300532112519,0,100352,0.06808901948127477,517.5202102661133
0.00018013057221348086,0.0,0.07720153295742467,-0.02892404867706295,0.003,1.0234376687269944,0.07727016069971834,0.9466982839963375,0.047459286372761006,3,-0.0008753536579509577,0,149504,0.05306279081724381,1229.7909342447917
0.007303803557685266,0.041666666666666664,0.05225348163960287,-0.043178407231775615,0.003,1.0293843153195503,0.09854074089122813,0.904411868712841,0.13090630825593233,3,-0.0029344409704208374,0,199680,0.047715944435689245,20.063371817270916
0.0009807459622000654,0.0,0.09270832010317975,0.028903584640759688,0.003,1.0442727668163103,0.1359992882793373,0.9301642558513543,0.0932574954832126,3,0.0009263218380510807,0,204800,0.06080595237196972,113.86470286051433
0.010846524169513335,0.030598958333333332,-0.09130394976415958,0.1523905893907142,0.003,1.042196203653629,0.12359221333973482,1.0244224840249772,0.0791656058592282,3,-0.00461037162070473,1,20480,0.12184726957743688,65.87564659118652
0.011696023924741894,0.0517578125,0.06799185154496883,-0.05262133930690396,0.003,0.9761318235825269,0.1641938788184389,1.003593243085421,0.02951891590340085,3,-0.002523779597443839,1,60416,0.06030659542593639,221.71546936035156
0.0002950407797470689,0.0,-0.051673532627487126,0.010271976001408452,0.003,1.0081567227840424,0.026188602369314088,1.024659425020218,0.067724004791271,3,-0.0016452712782969077,1,100352,0.03097275431444779,2691.4423014322915
-0.001258972508367151,0.0,0.11242702525371734,0.1051367413204832,0.003,0.9842516116606883,0.043960046334580796,0.9740050862997006,0.10708995932880244,3,-0.001253602948660652,1,149504,0.10878188328710027,1902.8712870279949
-5.3267014057685934e-05,0.0,0.10307962080248846,0.05836501344560813,0.003,0.9914941504979745,0.033697379381541916,0.9748790313036014,0.08337387804987628,3,0.0002180752344429493,1,199680,0.08072231712404829,14702.946207682291
0.0001346420031040907,0.0,0.10046173071791717,0.060712769166387334,0.003,0.9922071949029581,0.033216694576297605,0.9747592900043879,0.08093400077137411,3,-0.0004143295033524434,1,204800,0.08058724994215224,8391.935750325521
0.00012466678163036704,0.0,0.007617660616643918,0.1319563158059445,0.003,0.991537537635901,0.026434278197598627,1.0067026702257302,0.035661907259819665,3,0.00015619509698202214,2,20480,0.06978698821129421,2150.1351928710938
-7.781413539002338e-06,0.0026041666666666665,0.08721249994630806,0.10560304964295565,0.003,0.9856231875908681,0.026235151967422703,0.9803623868868901,0.05182431053341665,3,-0.0030052924218277135,2,60416,0.09640777479463186,1747.7465413411458
-0.00029012591888507205,0.0,0.0037271031202414096,0.20023299822798715,0.003,0.9875512590775123,0.0074703998267393506,0.9961025030185015,0.05886987392239635,3,0.0006029816965262095,2,100352,0.10198005067411428,10328.232503255209
2.5170350757737953e-05,0.0,-0.002768843645791117,0.22729700426929272,0.003,0.9805536355727759,0.011452096091486038,1.0155506716324734,0.09060099502447022,3,-0.0002461029216647148,2,149504,0.11503292395754192,22928.791015625
0.004653355261931817,0.0048828125,-0.06772183798349056,0.1790941112412092,0.003,0.9823424151310554,0.029989659586098408,0.9993665395638882,0.04575110672201705,3,-0.0023014432129760585,2,199680,0.12340797461234987,23367.379720052082
