buy_probability,deterministic_epsilon_ask_mean,deterministic_epsilon_bid_mean,deterministic_error_ask,deterministic_error_bid,ent_coef,epsilon_near_bound_frequency,gae_lambda,gae_value_target,gamma,hedge_near_bound_frequency,initial_beta_concentration,inventory_std,kl_coef,learning_rate,market_share,market_sigma,max_grad_norm,minibatch_size,n_epochs,network_architecture,network_hidden_layers,network_hidden_size,num_investors,num_rollouts,order_size_mode,policy_distribution,ppo_clip,rollout_length,sampled_epsilon_ask_mean,sampled_epsilon_ask_std,sampled_epsilon_bid_mean,sampled_epsilon_bid_std,seed,spread_pnl_per_step,state_dependent_std,total_pnl_per_step,training_steps,two_side_mae,vf_clip_param,vf_coef
0.5,0.2477212041906303,0.03964032433599641,0.2477212041906303,0.03964032433599641,0.003,0.05346153846153846,0.95,False,0.999,0.07346153846153847,1.54,8.568898561344724,0.0,5e-05,0.4279326923076923,0.2,0.5,256,10,separate_actor_critic,2,256,20,98,unit,beta,0.3,1024,0.2547314153153163,0.5719276938691634,0.03557413644515551,0.5850545745853651,0,0.13612126393004148,True,0.038629110902547836,100352,0.14368076426331336,,0.5
0.5,0.22760475300657654,0.18906029621267897,0.22760475300657654,0.18906029621267897,0.003,0.06403846153846154,0.95,False,0.999,0.055,1.54,7.724767714896251,0.0,5e-05,0.3914134615384615,0.2,0.5,256,10,separate_actor_critic,2,256,20,98,unit,beta,0.3,1024,0.23493308076491723,0.6238666005309457,0.196920832911363,0.6283894446823896,1,0.12281188860332551,True,0.08479131758213043,100352,0.20833252460962776,,0.5
0.5,0.11402680076360971,0.006181340727718914,0.11402680076360971,0.006181340727718914,0.003,0.02923076923076923,0.95,False,0.999,0.12634615384615386,1.54,9.788341567749985,0.0,5e-05,0.4751730769230769,0.2,0.5,256,10,separate_actor_critic,2,256,20,98,unit,beta,0.3,1024,0.11264996573328973,0.6236230555591943,-0.01154789407665913,0.6152614723788308,2,0.13430448153723032,True,0.044949524104595184,100352,0.06010407074566432,,0.5
