approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,entropy_proxy,latent_sigma_ask_mean,latent_sigma_ask_state_std,latent_sigma_bid_mean,latent_sigma_bid_state_std,policy_loss,seed,state_dependent_std,training_step,value_loss
0.01274501801817678,0.0404296875,-0.08106213177700575,0.11761120757275592,-0.057858150641326433,0.13938264249156235,4.24879515171051,0.9916528463363647,0.0,0.994706928730011,0.0,-0.006821491895243526,0,False,10240,2926.76630859375
0.002418717509135604,0.00146484375,-0.1858898431211949,0.1880631847691868,-0.10176240051380143,0.251140851518555,4.238547742366791,0.9851937890052795,0.0,0.9945276975631714,0.0,-0.0012131028110161425,0,False,20480,530.5233978271484
-0.000835685437778011,0.00146484375,-0.2548348875573048,0.1867215820046365,-0.2191262452863157,0.4100645333146044,4.232646441459655,0.9807206988334656,0.0,0.9932082891464233,0.0,-0.003756443178281188,0,False,39936,2175.110302734375
0.008762407710310071,0.0255859375,-0.2426775799017961,0.19442620854892126,-0.21111493629078046,0.32165777171661203,4.226496374607086,0.9782674312591553,0.0,0.991663932800293,0.0,-0.00702814789256081,0,False,60416,374.31098556518555
0.02049655422451906,0.08779296875,-0.3344476062959681,0.36090202461456844,-0.12382666020272061,0.14498695221398358,4.194563734531402,0.971843957901001,0.0,0.9782045483589172,0.0,-0.007318104617297649,0,False,100352,119.39656276702881
0.00034665127750486133,0.0,-0.30092063180099315,0.3993171059383248,-0.04386527192456505,0.247696755554431,4.179951441287995,0.9715886116027832,0.0,0.9670168161392212,0.0,-0.001105721527710557,0,False,149504,2741.3871337890623
0.012329920614138245,0.0427734375,-0.28699587435321283,0.43872254006998795,-0.022968589445764128,0.23598235104389606,4.18281899690628,0.9737839698791504,0.0,0.9657931923866272,0.0,-0.005033080046996474,0,False,199680,345.9727493286133
0.0036795337568037213,0.01904296875,-0.2891137854040911,0.4429336363620043,-0.05278050432769725,0.22444390265665898,4.181727457046509,0.9741873741149902,0.0,0.9659830927848816,0.0,-0.006191390100866556,0,False,204800,2573.413739013672
0.004920672363368794,0.02080078125,0.02405538026277776,0.22586095325429023,-0.07605654841993387,0.1459738206891203,4.247335696220398,0.9947784543037415,0.0,0.9976605176925659,0.0,-0.003926480701193213,1,False,10240,3166.1267333984374
0.010059365589404479,0.06826171875,-0.2565789245045893,0.378428696920283,-0.17626605131693232,0.15745216401631382,4.231640553474426,0.9882373213768005,0.0,0.9929532408714294,0.0,-0.005917251849314198,1,False,20480,390.774649810791
0.0007849722285754978,0.0060546875,-0.3507271626670934,0.39292620721500704,-0.3218743424790983,0.22899088266778606,4.224862349033356,0.982896089553833,0.0,0.9931392669677734,0.0,-0.0029910736717283725,1,False,39936,639.6445922851562
0.009623175801243633,0.04599609375,-0.12175444167999862,0.38135049420374584,-0.16514413360422717,0.2862955525965642,4.214535868167877,0.9808581471443176,0.0,0.9917601346969604,0.0,-0.006427465938031673,1,False,60416,230.2285343170166
0.0010645381698850542,0.0,0.09627290558381878,0.3604030534219952,0.11364132310010087,0.2745328589039494,4.194646787643433,0.9755025506019592,0.0,0.9836219549179077,0.0,-0.0028137173620052637,1,False,100352,20146.697119140626
0.000275997631251812,0.00322265625,0.16888827394846326,0.23275152872913235,0.08631024181078642,0.3487901093858802,4.1923414945602415,0.9757880568504333,0.0,0.982806921005249,0.0,-0.005524529237300157,1,False,149504,21532.663232421874
0.00033732145093381407,0.0,-0.03263153907431003,0.17079000084789242,-0.5004499673341902,0.3165786563923432,4.175606739521027,0.9696436524391174,0.0,0.9785144925117493,0.0,-0.002900585881434381,1,False,199680,164272.227734375
0.0047182532958686355,0.037890625,-0.14586112105693572,0.3029702255283396,-0.47835376422064235,0.2695429866342964,4.175654351711273,0.969831109046936,0.0,0.9789376258850098,0.0,-0.00771725601516664,1,False,204800,13431.259594726562
0.0016391153971198947,0.00234375,-0.0480202786773682,0.283861157902113,0.03876686671551747,0.18259830142451505,4.244943714141845,0.9956196546554565,0.0,0.9965360164642334,0.0,-0.002167301159352064,2,False,10240,5128.953723144531
0.007036177942063659,0.01689453125,0.09757014358123668,0.17354316144042628,-0.025349963864741417,0.39981397748702946,4.243935227394104,0.9934490919113159,0.0,0.9979605674743652,0.0,-0.0035979102598503233,2,False,20480,2152.385562133789
0.0016471066803205759,9.765625e-05,-0.03068159463791511,0.4035110005108573,0.010256225978716825,0.42977216162626,4.224129068851471,0.9924870729446411,0.0,0.9875097274780273,0.0,-0.0017278329469263554,2,False,39936,7089.415344238281
0.005066311033442616,0.0044921875,-0.13757298883716337,0.1429003834226072,-0.09701681183054088,0.395533638292737,4.2158456444740295,0.9834561944007874,0.0,0.9832303524017334,0.0,-0.003997026954311878,2,False,60416,2720.8261291503904
0.015250612195814028,0.122265625,-0.3595263267238923,0.15168139204484848,-0.0714189388950427,0.3389787349246411,4.206598806381225,0.978329598903656,0.0,0.9813073873519897,0.0,-0.010809749539475888,2,False,100352,2783.0145263671875
0.002001113322330639,0.0,-0.29286683393188584,0.1363753714778176,-0.04590986457784684,0.2869019478459102,4.203509736061096,0.9769161939620972,0.0,0.979529619216919,0.0,-0.0028744695475324987,2,False,149504,11776.81708984375
-0.0002926171466242522,0.0,-0.26596748750322524,0.632461695066043,-0.012216950728235624,0.39510052932208173,4.202128624916076,0.9748349785804749,0.0,0.976734459400177,0.0,-0.001212597219273448,2,False,199680,51660.870703125
-0.00047552664182148874,0.0,-0.3533532252535224,0.7107917925285052,0.054834633726531114,0.35210251364769724,4.20564466714859,0.9748383164405823,0.0,0.9774054288864136,0.0,-0.002760731242597103,2,False,204800,47690.29716796875
0.018818366108462214,0.100390625,-0.15584423687101567,0.14603314123727884,-0.16825793521263852,0.462562139067865,4.241763460636139,0.9902512431144714,0.0,0.9976444244384766,0.0,-0.011697734287008644,3,False,10240,215.70941925048828
0.0033078168577048927,0.0193359375,-0.2906019330108299,0.14514699298053912,-0.27029324448846564,0.4992571253294091,4.22543478012085,0.9845687747001648,0.0,0.9930623769760132,0.0,-0.004482651664875448,3,False,20480,414.6237487792969
0.0008489765925332904,0.0,-0.5809281555410379,0.2906042404332604,-0.44267920814932155,0.44019667624822145,4.222202074527741,0.9830107092857361,0.0,0.9918897747993469,0.0,-0.001326128118671477,3,False,39936,6731.205139160156
0.0002688712382223457,0.0,-0.4779886624160915,0.2319164271337,-0.13739265417889096,0.20678972341187316,4.215708363056183,0.9819613695144653,0.0,0.9887168407440186,0.0,-0.0012890421319752931,3,False,60416,3268.6945617675783
0.0001274837937671691,0.0001953125,-0.15764222547011927,0.38222701722062735,-0.15439057667659095,0.1574592650369174,4.203896486759186,0.9814175367355347,0.0,0.9838241934776306,0.0,-0.0027070136507973074,3,False,100352,8631.15926513672
0.007126671227160842,0.01728515625,-0.1505355006042056,0.23268277447436567,0.22574218356062492,0.2673836366709103,4.2032998442649845,0.9790865182876587,0.0,0.9834791421890259,0.0,-0.005458462494425475,3,False,149504,14444.573120117188
0.003422965598292649,0.06171875,0.20018618840661545,0.47011653637171386,0.4659080050121515,0.3255510966360517,4.205090916156768,0.9745732545852661,0.0,0.9889214634895325,0.0,-0.008496308280155063,3,False,199680,25492.266357421875
0.006134652713080868,0.02490234375,0.3357181815048441,0.424861456500717,0.6260540404380897,0.2548132603734755,4.203049898147583,0.9748780131340027,0.0,0.9886195659637451,0.0,-0.004525505285710096,3,False,204800,20225.68486328125
0.012334890244528652,0.0724609375,-0.04487395660700993,0.10273731461101936,0.10010734047749653,0.06348382529524405,4.24899822473526,0.9971093535423279,0.0,0.9997056126594543,0.0,-0.009995537064969539,4,False,10240,3138.071392822266
0.0079227349255234,0.04189453125,-0.09052147886399418,0.09009643382599809,0.5649724484588473,0.26388724069649316,4.243564784526825,0.9939026236534119,0.0,1.0013203620910645,0.0,-0.00794741183053702,4,False,20480,509.4930145263672
0.005036122066667303,0.0310546875,-0.016871244156470476,0.384306980841904,-0.15232657717051318,0.31957609377609353,4.229013109207154,0.9919940233230591,0.0,0.9960483312606812,0.0,-0.009940055524930358,4,False,39936,1463.6770050048829
0.00951096490607597,0.0173828125,-0.28975561104046227,0.5986065479117795,-0.35444632171517393,0.35458699142271655,4.221320986747742,0.9872450232505798,0.0,0.9923453330993652,0.0,-0.0038355778437107802,4,False,60416,65.40217485427857
0.007017447159159929,0.03505859375,-0.2946550818279577,0.4571295695825475,-0.41929825001279825,0.22051238289250338,4.196437609195709,0.9818300008773804,0.0,0.9801306128501892,0.0,-0.00697857856284827,4,False,100352,390.6298469543457
0.005454701813869178,0.01806640625,-0.2840167887467079,0.5714513725663645,-0.42059192184406596,0.1840866078463765,4.182982397079468,0.9755907654762268,0.0,0.9760821461677551,0.0,-0.004496951820328832,4,False,149504,74.77898635864258
0.0031947358744218945,0.00166015625,-0.24164218863961884,0.2582629161004165,-0.2202550979411731,0.17730235274693687,4.175344550609589,0.9751929044723511,0.0,0.9657188653945923,0.0,-0.0035416921600699425,4,False,199680,411.80073699951174
0.0001168933929875493,0.0,-0.2503262207264272,0.25264383764751974,-0.2807243183992493,0.21580698795730227,4.167070102691651,0.9704673290252686,0.0,0.9655645489692688,0.0,-0.001394048985093832,4,False,204800,178.0905647277832
0.0030023851024452595,0.0201171875,-0.11077480464158819,0.30517139016826067,0.006616063227351659,0.25967346587374696,4.259866952896118,0.9986157868153009,0.04760941727826868,0.9795088823025043,0.029525689287850983,-0.004318998730741441,0,True,10240,6034.531579589844
0.0040582639398053285,0.04091796875,-0.006905150015313083,0.24378753729209182,-0.07386781680218589,0.2629229509135488,4.267629718780517,0.9902421711347043,0.06332745541607364,0.9688237937597128,0.053589758959941086,-0.0085679812123999,0,True,20480,769.6105438232422
0.0033034482708899303,0.02294921875,-0.3105965805320571,0.22380788012411945,-0.33000339228444947,0.11138188158239158,4.014907568693161,0.9212087696943527,0.209714578236923,0.9000623249090635,0.088211131870513,-0.006646866397932172,0,True,39936,4990.071044921875
0.013552320323651657,0.09404296875,-0.25674237699295654,0.21382899668248903,-0.5875562356355098,0.23463863139313343,3.604564201831818,0.8096234096166415,0.3315209489494278,0.8639210624572559,0.11803182453835367,-0.01683353734551929,0,True,60416,464.50595626831057
0.007006008559255861,0.0404296875,-0.43336970343445547,0.14684908141782246,-0.31314615881524216,0.2718018221462376,3.5582286596298216,0.9673273363938698,0.48488021249865687,0.7694602837929359,0.16279969856373597,-0.007336634304374456,0,True,100352,490.76879501342773
0.0068168624013196675,0.0138671875,-0.2796423305446157,0.1500677161546311,-0.06052546408176661,0.1933082436976567,3.13935809135437,1.1146110598093424,0.6668092512482457,0.5706622210832742,0.14932620291529203,-0.005530123016797006,0,True,149504,1122.9267654418945
0.012226298631867394,0.0517578125,-0.4558415151093728,0.18188526673371042,0.11828297411497586,0.2501049633692972,2.3445103466510773,1.0800883473494114,0.795132338193168,0.44608457153424236,0.41606425218928517,-0.007769496476976201,0,True,199680,56.526056575775144
0.0038495775050250815,0.0169921875,-0.48088471304911834,0.21110469450531805,0.10773916647468025,0.2827677755161544,2.396642690896988,1.148972092798123,0.8362021323554275,0.4813964313039413,0.4221190008044071,-0.004090135358273983,0,True,204800,199.0069923400879
0.009293866023654118,0.02578125,-0.11119761965909185,0.371718860019913,-0.0947897059819064,0.19096980893967205,4.312825798988342,1.019971661689954,0.04487590946919164,1.0649624165816185,0.21862271914222176,-0.007018178841099143,1,True,10240,1830.5315063476562
0.001368819604977034,0.01513671875,-0.09248810987561368,0.41383692878508815,-0.2537886603565242,0.20307843237188006,4.311245393753052,0.9905642208380577,0.1228020599205994,1.0373194153492267,0.3186492360203389,-0.006408296769950539,1,True,20480,354.2189598083496
0.018474464895552954,0.08369140625,-0.3352205153471098,0.4299734108669857,-0.1254020491674638,0.17370594806015308,4.073177355527878,0.8986031510891058,0.04645064151648114,1.2470157794463328,0.4784915865380891,-0.01299475107807666,1,True,39936,49.10084981918335
0.005175653268815949,0.0134765625,-0.24017880517386425,0.1752412018081862,-0.15726688702602704,0.33784872617239453,4.100260829925537,0.891629303418673,0.043921770098798246,1.2646075500127596,0.5524121783160324,-0.0053494141669943925,1,True,60416,1496.9477233886719
0.00033389281306881455,0.0,-0.5051864226348698,0.4380083318861772,0.0733160842795116,0.29869144809078035,4.140479803085327,0.9496718854476244,0.12594292329958037,1.5221307736940872,0.5234161643301115,-0.0007661508861929178,1,True,100352,5726.494201660156
0.0029552565509220587,0.00869140625,-0.19805069254078447,0.26914192415320626,-0.11364067029207944,0.4194503725605161,4.280610597133636,0.8440635071350978,0.04321200536590113,1.189079484802026,0.602234849758179,-0.005508341710083187,1,True,149504,4331.5189208984375
0.008774872159119696,0.01083984375,-0.08391429188762768,0.373641731391297,-0.20404651465300375,0.4272290615004918,3.863822853565216,0.7832674665328784,0.08788195494337347,0.9153455996360534,0.5651903153045906,-0.006318917428143322,1,True,199680,12809.567138671875
0.0020926140598021446,0.0025390625,-0.1273928509368442,0.23102887221656618,-0.20431796202021174,0.33999305473160935,3.8473987221717834,0.767910436177865,0.07156015307531015,0.8938735546209873,0.5332891643322192,-0.0032779401633888485,1,True,204800,61753.804296875
0.0016227407031692564,0.00224609375,0.03797459975944665,0.1324113950264858,-0.06365945143789316,0.44348473152846707,4.235008347034454,0.9804013793285077,0.013624337674663084,0.9701500131533696,0.055738002109633464,-0.004673040308989585,2,True,10240,5407.612414550781
0.0005781519634183496,0.00205078125,0.0869828546924206,0.10890590713842156,-0.11204999459867115,0.49150162130787783,4.234065270423889,0.9892782506270287,0.019933301355158157,0.9473243944155865,0.07740966951759383,-0.0031689231749624015,2,True,20480,3584.9465576171874
0.0005718805128708482,0.0,0.100328036746643,0.3456501980158299,0.0021452315271091767,0.5056077519471145,4.178875589370728,0.9477075633330223,0.05576334807234154,0.9628119968450987,0.09403401627983544,-0.0006464496022090316,2,True,39936,2940.1563354492187
0.00015735013294033707,0.0005859375,-0.19268772176717622,0.4362956680349872,0.055718564740919435,0.28594505771286194,4.220246887207031,0.9825727919737498,0.066618599114237,1.039920659095813,0.16270299152979914,-0.002101670193951577,2,True,60416,8632.969860839843
0.0005451154516777024,9.765625e-05,-0.34233269015303214,0.4791506263176194,0.16903897322302397,0.24252880916062944,4.1122506022453305,0.8619346390932034,0.08414443901945093,1.1420599601207635,0.22684731462472837,-0.0023835771018639205,2,True,100352,8132.462780761719
0.005108154498157091,0.00419921875,-0.3140121783488072,0.2767774046430245,-0.24426973687219194,0.2100666738874141,3.9127508997917175,0.6343078958682525,0.13072668382760397,1.2737794471092714,0.2156400157865809,-0.0065639985841698945,2,True,149504,26511.17177734375
0.01316289926180616,0.100390625,-0.49770943049628,0.33843791279269536,0.09316426114662765,0.17675269534752755,3.6696112632751463,0.4824728657037784,0.2601292796679001,1.0294865949031635,0.1600790812843303,-0.0186540876631625,2,True,199680,6958.484094238282
0.00041193994402419774,0.00341796875,-0.5880025029946596,0.33659222359327656,0.09369143391750419,0.1618124815542749,3.6456122040748595,0.455201055147709,0.275531460508842,1.0730545157041305,0.18373284052286382,-0.002878619427792728,2,True,204800,36905.8720703125
0.002630625979509205,0.0033203125,0.035760489616017695,0.2282311645926846,-0.24017911330581856,0.46742886665821215,4.179713129997253,0.9571054336352226,0.02858637352960668,0.9867553915732946,0.03776508517608814,-0.0010964691522531212,3,True,10240,2620.927862548828
0.00030386724974960087,0.0041015625,-0.03619869970328485,0.3043417791772228,-0.18978907231014605,0.4711725734969786,4.120168256759643,0.9387191338416857,0.03555945673836041,0.9729049769731668,0.04240518085709556,-0.004131850076373666,3,True,20480,2919.499475097656
0.0029947514354716986,0.0142578125,-0.3032842981032072,0.3815734777600753,-0.24957277472086178,0.1894178550114639,4.0372716069221495,0.8977257753029848,0.05860042090464288,0.9480580884676714,0.031683182252696944,-0.005549401103053242,3,True,39936,1733.2055969238281
0.008823725214460865,0.025390625,-0.06234337979873929,0.11156141256994279,-0.2648607413496416,0.31704547292214197,4.054873263835907,0.9053923719968551,0.10672651840859629,0.9322739417736347,0.051691819691193824,-0.0014983937027864159,3,True,60416,10229.0111328125
0.027660911140264942,0.12373046875,-0.2990996042612749,0.12946052121212231,-0.2270604148390703,0.1839515684110031,4.041768586635589,0.805527494656734,0.12565411705909157,0.9782081791987786,0.07948542985014988,-0.016248755413107573,3,True,100352,1213.232260131836
0.0007959324459079653,0.0015625,0.28050242772994516,0.3898252035747354,-0.06407417191120868,0.1711446099735205,3.781671631336212,0.5855263451735179,0.17675941020367253,0.9235991016412393,0.062148586903970626,-0.00358144526835531,3,True,149504,22461.06591796875
0.005945794083527289,0.003125,-0.05150936904552882,0.3326676893389837,-0.13539484118899472,0.34838395828410434,3.5406596064567566,0.6401597496790764,0.2751598706482305,0.8979999118890518,0.0899849353982482,-0.0049733069958165285,3,True,199680,3782.8229919433593
0.0049575440207263455,0.01142578125,-0.1498727514157788,0.3244945152242347,-0.12064040919335989,0.3622957539734662,3.4796841382980346,0.6537553630578212,0.38610694786558303,0.8298740093524639,0.05974234074093195,-0.004987244785297662,3,True,204800,1627.1121917724608
0.0037786933884490282,0.006640625,-0.18067964588393434,0.15452364859803364,0.026734042031248698,0.12265833567825443,4.2189443707466125,0.9724810435221746,0.08080737249367705,0.9787182997434567,0.013467992872168502,-0.0038830505218356848,4,True,10240,471.20616683959963
0.011212688667001203,0.03974609375,-0.10534141965013427,0.30314320768341513,0.0755208956131425,0.17723537462158964,4.317488276958466,0.9730514648633125,0.07461179696235001,1.0495155357397519,0.12549064951343367,-0.00761962931137532,4,True,20480,2591.011590576172
0.004303053417243063,0.030859375,0.1709799457941419,0.2354921638920072,0.20885260083088772,0.2256409031556525,4.369405806064606,1.2457961487464415,0.1961976986825978,1.074229298493801,0.05974463448589346,-0.005922944564372301,4,True,39936,773.9069473266602
0.005562170912162401,0.00517578125,-0.13277731399583176,0.4467069963086367,0.03619783811438351,0.331370462153136,4.381561756134033,0.9486739565164615,0.2903047637338739,1.0234505703816048,0.05532113530947456,-0.003881684795487672,4,True,60416,660.9355361938476
0.001861078746151179,0.00146484375,-0.04409986735285761,0.31142452434351314,-0.3406364255035535,0.17528710329633013,4.051903176307678,0.8209564068378546,0.12022606465749065,0.9480297707594358,0.11179241676819726,-0.002811959804967046,4,True,100352,7102.316442871093
0.01275369226350449,0.0626953125,-0.08459398460407287,0.3192761053992565,-0.37257873754446896,0.13939287095471875,3.874575614929199,0.8750934241673886,0.2200523066231841,0.963278435743772,0.2098170035380659,-0.01391361738787964,4,True,149504,751.8497039794922
-0.0014064464485272765,0.01826171875,-0.0539251308541936,0.2592315884753356,-0.3519962233037521,0.05704140172121794,3.3644639790058135,0.6594627577524919,0.0771223967403499,0.7463266634024106,0.11882061457520839,0.003221742413006723,4,True,199680,2322.2797912597657
0.005435443524038419,0.02265625,0.05208245836592351,0.23586849651025515,-0.3572219909550861,0.10093924990212451,3.1852440536022186,0.5965257423046307,0.06283769795565115,0.6786771389154288,0.10192410689621931,-0.006564907892607152,4,True,204800,601.5887603759766
