buy_probability,competitor_epsilon_ask,competitor_epsilon_bid,competitor_hedge_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_bid_mean,ent_coef,gae_lambda,gae_value_target,gamma,inventory_std,kl_coef,latent_sigma_ask_mean,latent_sigma_ask_state_std,latent_sigma_bid_mean,latent_sigma_bid_state_std,learning_rate,market_share,market_sigma,max_grad_norm,minibatch_size,n_epochs,network_architecture,network_hidden_layers,network_hidden_size,num_investors,num_rollouts,order_size_mode,ppo_clip,rollout_length,sampled_epsilon_ask_mean,sampled_epsilon_ask_std,sampled_epsilon_bid_mean,sampled_epsilon_bid_std,seed,spread_pnl_per_step,state_dependent_std,total_pnl,total_pnl_per_step,training_steps,vf_clip_param,vf_coef
0.5,0.5,0.5,0.0,-0.3030107679683323,-0.03001170539145488,0.003,0.95,False,0.999,13.683202302662256,0.0,0.9741873741149902,0.0,0.9659830927848816,0.0,5e-05,0.7286250000000001,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,-0.1501759543292652,0.6799484800041995,0.00023296430337583072,0.6264402489727833,0,0.19206477831358895,False,129.64215087890625,0.24931183457374573,204800,,0.5
0.5,0.5,0.5,0.0,-0.20011052848677185,-0.5038036921902788,0.003,0.95,False,0.999,10.096794623524556,0.0,0.969831109046936,0.0,0.9789376258850098,0.0,5e-05,0.8166346153846153,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,-0.12022363429995424,0.6232722152745181,-0.33463971916038227,0.5960922238879864,1,0.19845386875056087,False,65.29219055175781,0.1255619078874588,204800,,0.5
0.5,0.5,0.5,0.0,-0.3430075833336965,0.040255870451499226,0.003,0.95,False,0.999,6.930823031349052,0.0,0.9748383164405823,0.0,0.9774054288864136,0.0,5e-05,0.6920480769230769,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,-0.14834895464687947,0.775249484218801,-0.007974313159496748,0.6492615516536038,2,0.16003194835804466,False,37.069740295410156,0.07128795981407166,204800,,0.5
0.5,0.5,0.5,0.0,0.365982247828741,0.6480717069283127,0.003,0.95,False,0.999,15.235312214329962,0.0,0.9748780131340027,0.0,0.9886195659637451,0.0,5e-05,0.5352788461538462,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,0.13581177754672424,0.6490823374445956,0.345327988338003,0.634893601674833,3,0.17332133648569792,False,-12.656859397888184,-0.024340113624930382,204800,,0.5
0.5,0.5,0.5,0.0,-0.24714353013669516,-0.2831588235614338,0.003,0.95,False,0.999,7.869336281472181,0.0,0.9704673290252686,0.0,0.9655645489692688,0.0,5e-05,0.7916442307692308,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,-0.1452119498054526,0.6265627011544441,-0.199335682974835,0.6157886264815959,4,0.20359657123408398,False,61.04732131958008,0.1173986941576004,204800,,0.5
0.5,0.5,0.5,0.0,-0.4671709941134591,0.12391993897162208,0.003,0.95,False,0.999,10.37958554464211,0.0,1.060437493438904,0.8292201890741624,0.5629065225875148,0.5423330430279298,5e-05,0.8432692307692308,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,-0.2854770092289926,0.5828124699826545,0.12119024993480147,0.46001064998340047,0,0.2810843581013106,True,144.00294494628906,0.27692875266075134,204800,,0.5
0.5,0.5,0.5,0.0,-0.14401310734811257,-0.16958068821152175,0.003,0.95,False,0.999,7.1653750466169495,0.0,0.8036389058025983,0.08931684772737712,1.071519849523902,0.6167865463393771,5e-05,0.7822692307692307,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,-0.09822506559303013,0.5719923542003504,-0.13714001206709678,0.6525569084651615,1,0.2163848573953496,True,93.3537826538086,0.17952650785446167,204800,,0.5
0.5,0.5,0.5,0.0,-0.6201964366989425,0.09677580464167897,0.003,0.95,False,0.999,7.879285169189161,0.0,0.7556252265950808,0.6025234635784544,0.9652572268820726,0.1709297313041329,5e-05,0.7695000000000001,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,-0.25134755619436105,0.6105027980452964,7.942249852371437e-05,0.6195041579721836,2,0.2032119823224135,True,81.22476196289062,0.15620146691799164,204800,,0.5
0.5,0.5,0.5,0.0,-0.10183425684927967,-0.08913140779624183,0.003,0.95,False,0.999,10.243907372651014,0.0,0.6762893362916433,0.4497626877479372,0.8459668660737001,0.06460847412989311,5e-05,0.7864807692307692,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,-0.05547376916771799,0.5212336974263939,-0.03873714822473211,0.6176561088637422,3,0.2575572183308455,True,101.2223129272461,0.1946582943201065,204800,,0.5
0.5,0.5,0.5,0.0,0.04077602813794958,-0.3497497493414826,0.003,0.95,False,0.999,6.915520992376694,0.0,0.6138065967193017,0.08492680642194989,0.6853643768567306,0.10818798739578285,5e-05,0.8526346153846155,0.2,0.5,256,10,separate_actor_critic,2,256,20,200,unit,0.3,1024,-0.013413567194186796,0.5006270593767407,-0.24651191244576834,0.503424479480023,4,0.2717548772461193,True,116.5733642578125,0.22417955100536346,204800,,0.5
