seed,training_step,window_start,window_steps,adaptive_market_share,adaptive_mean_base_epsilon,adaptive_base_epsilon_one_frequency,ppo_market_share,ppo_total_pnl_per_step,ppo_mean_abs_inventory
0,20480,1,20480,0.3687353515625,0.48713867187500004,0.4052081278358651,0.6312646484375,0.1898339041032839,5.404366471288567
0,60416,39937,20480,0.48175537109375,0.32559570312499997,0.24118372379778052,0.51824462890625,0.08026634515824482,5.620317623672312
0,100352,79873,20480,0.34577392578125005,0.5449609375,0.4415782983970407,0.65422607421875,0.1368452808935512,5.350925786221628
1,20480,1,20480,0.29643798828124995,0.5881640625,0.5046853422765831,0.70356201171875,0.16161496698426023,5.291795648694782
1,60416,39937,20480,0.45837158203125006,0.38062500000000005,0.2788162762022195,0.54162841796875,0.06102518440965734,5.5000535681268445
1,100352,79873,20480,0.4574853515625,0.34963867187500003,0.2684093711467324,0.5425146484375001,0.11381634561902099,5.654128827467095
2,20480,1,20480,0.43770019531250004,0.37728515625,0.29261195502071413,0.5622998046875,0.12951609513764015,5.647927055764545
2,60416,39937,20480,0.44809326171875,0.371513671875,0.26199753390875463,0.55190673828125,0.10829388506154522,5.781467979540237
2,100352,79873,20480,0.39791015625000004,0.43145507812500006,0.33933415536374845,0.6020898437500001,0.22355242532355257,5.639549089217793
