baseline,baseline_value,metric,paired_difference,seed,treatment,treatment_value
gamma_current_ppo,0.07029489038163984,mean_epsilon_bid,0.011034773740807746,0,unit_current_ppo,0.08132966412244759
gamma_current_ppo,-0.12406252263045574,mean_epsilon_ask,0.20712243900566624,0,unit_current_ppo,0.08305991637521051
gamma_current_ppo,0.6284494253934402,epsilon_bid_std,-0.0012749274576557834,0,unit_current_ppo,0.6271744979357844
gamma_current_ppo,0.6224463317960098,epsilon_ask_std,0.0035764272167080335,0,unit_current_ppo,0.6260227590127179
gamma_current_ppo,1.0039024353027344,latent_std_bid,-0.0018543004989624023,0,unit_current_ppo,1.002048134803772
gamma_current_ppo,0.9999676942825317,latent_std_ask,-0.00046443939208984375,0,unit_current_ppo,0.9995032548904419
gamma_current_ppo,0.07029489038163984,analytical_error_bid,0.011034773740807746,0,unit_current_ppo,0.08132966412244759
gamma_current_ppo,0.12406252263045574,analytical_error_ask,-0.041002606255245225,0,unit_current_ppo,0.08305991637521051
gamma_current_ppo,0.12509189559433323,deterministic_mean_epsilon_bid,0.018041439089350964,0,unit_current_ppo,0.1431333346836842
gamma_current_ppo,-0.21357889179713452,deterministic_mean_epsilon_ask,0.3386550647220933,0,unit_current_ppo,0.12507617292495873
gamma_current_ppo,0.5136475802269279,mean_market_share,-0.05108988791923558,0,unit_current_ppo,0.46255769230769234
gamma_current_ppo,0.27532197879476655,mean_spread_pnl,-0.14267497112288205,0,unit_current_ppo,0.1326470076718845
gamma_current_ppo,0.3131575609636458,spread_pnl_std,-0.1646159172429115,0,unit_current_ppo,0.14854164372073428
gamma_current_ppo,18.61970951816605,inventory_std,-9.737721534361894,0,unit_current_ppo,8.881987983804157
gamma_current_ppo,28.61045555725974,mean_total_pnl,-3.006892100404741,0,unit_current_ppo,25.603563456855
gamma_current_ppo,0.05502010684088412,mean_total_pnl_per_step,-0.005782484808470656,0,unit_current_ppo,0.04923762203241346
gamma_current_ppo,39.948041141396075,gross_investor_volume_mean,-19.948041141396075,0,unit_current_ppo,20.0
gamma_current_ppo,6.316488822202194,gross_investor_volume_std,-6.316488822202194,0,unit_current_ppo,0.0
gamma_current_ppo,0.48048962166284964,net_investor_flow_mean,-0.32472039089361887,0,unit_current_ppo,0.15576923076923077
gamma_current_ppo,10.703718991393057,net_investor_flow_std,-6.325850109534492,0,unit_current_ppo,4.377868881858565
gamma_current_ppo,10.077884615384615,n_buy_mean,0.0,0,unit_current_ppo,10.077884615384615
gamma_current_ppo,2.1889344409292826,n_buy_std,0.0,0,unit_current_ppo,2.1889344409292826
gamma_current_ppo,9.922115384615385,n_sell_mean,0.0,0,unit_current_ppo,9.922115384615385
gamma_current_ppo,2.1889344409292826,n_sell_std,0.0,0,unit_current_ppo,2.1889344409292826
gamma_current_ppo,10.289615384615384,n_rl_won_mean,-1.0384615384615383,0,unit_current_ppo,9.251153846153846
gamma_current_ppo,7.262811481878197,n_rl_won_std,-0.018609648197650763,0,unit_current_ppo,7.244201833680546
gamma_current_ppo,9.710384615384616,n_competitor_won_mean,1.0384615384615383,0,unit_current_ppo,10.748846153846154
