condition,entropy_grad_log_std,entropy_proxy,grad_ratio_log_std_to_actor_mean,latent_std_ask,latent_std_bid,latent_std_hedge,log_std_ask,log_std_bid,log_std_hedge,mean_abs_grad_actor_mean,mean_abs_grad_log_std,mean_grad_log_std_ask,mean_grad_log_std_bid,mean_grad_log_std_hedge,seed,step
gamma_current_ppo,-0.003,4.258150017261505,3.070852545102858,1.001389980316162,1.0000118017196655,1.0007903575897217,0.001389072509482503,1.1793031262641307e-05,0.0007900847704149783,0.019133291617229136,0.05875551726203412,-0.06622868031263351,0.006036815233528614,-0.016348030418157578,0,1024
gamma_current_ppo,-0.003,4.25916211605072,1.7586388873391088,1.0015960931777954,0.9998452067375183,1.0009338855743408,0.0015948633663356304,-0.00015482415619771928,0.0009334320202469826,0.03247025611311506,0.057103455084143204,0.036198802292346954,0.02171097882091999,-0.03553050383925438,0,2048
gamma_current_ppo,-0.003,4.259149372577667,2.2038838884297993,1.0007004737854004,0.9998885989189148,1.001299500465393,0.0007002823986113071,-0.00011142317089252174,0.001298599992878735,0.028751701398374546,0.06336541147902608,0.05224044993519783,-0.004310327116400003,-0.005985789000988007,0,3072
gamma_current_ppo,-0.003,4.2575806975364685,2.5046176749263043,0.9984285235404968,1.0005983114242554,1.0002834796905518,-0.0015727209392935038,0.0005981365102343261,0.00028343123267404735,0.028587185978966773,0.07159997128183022,0.09794994443655014,-0.014947159215807915,0.03460734337568283,0,4096
gamma_current_ppo,-0.003,4.255605304241181,2.221653436844917,0.9978620409965515,1.000793695449829,0.9999041557312012,-0.002140240278095007,0.0007933617453090847,-9.583587234374136e-05,0.03310604048868697,0.07355014863424003,0.029509231448173523,-0.013594691641628742,0.022354155778884888,0,5120
gamma_current_ppo,-0.003,4.255226528644561,2.0555733866860906,0.9979068636894226,1.0006910562515259,0.9996451735496521,-0.0020953360944986343,0.0006908115465193987,-0.00035488759749569,0.041074558500872126,0.08443176932632923,-0.0576627179980278,0.05223984271287918,0.0838097482919693,0,6144
gamma_current_ppo,-0.003,4.255108165740967,1.9552491039605344,0.9979462027549744,1.000539779663086,0.999975323677063,-0.0020559043623507023,0.0005396648775786161,-2.466262594680302e-05,0.02936300196480755,0.05741198328323662,-0.0028988553676754236,0.00703318789601326,-0.03610401973128319,0,7168
gamma_current_ppo,-0.003,4.255314826965332,2.884988020667177,1.0007596015930176,1.0000776052474976,0.997830867767334,0.0007592557230964303,7.760377047816291e-05,-0.0021715122275054455,0.02451201056283639,0.07071685683913528,-0.07046903669834137,-0.00346949091181159,0.06355968117713928,0,8192
gamma_current_ppo,-0.003,4.255727553367615,2.4161394972566272,1.000529408454895,1.0023167133331299,0.9962694048881531,0.000529253447894007,0.0023140667472034693,-0.003737585386261344,0.03200925040214616,0.07733881417661906,0.038919415324926376,-0.0661645382642746,0.0636281967163086,0,9216
gamma_current_ppo,-0.003,4.256127905845642,1.8999062733007834,1.0001575946807861,1.0032378435134888,0.9960310459136963,0.00015761330723762512,0.0032326001673936844,-0.003976843785494566,0.034335456462154204,0.0652341491309926,-0.05627675727009773,-0.03051082231104374,-0.02751929499208927,0,10240
gamma_current_ppo,-0.003,4.256190133094788,4.071071633281548,1.0000814199447632,1.0032684803009033,0.9959427118301392,8.140947466017678e-05,0.003263121237978339,-0.004065567161887884,0.01718442852846824,0.06995903952047229,0.04331023991107941,-0.0008585707983002067,0.06029149889945984,0,11264
gamma_current_ppo,-0.003,4.25599330663681,1.557435663695211,0.9999920725822449,1.0032044649124146,0.9958903193473816,-7.9191822806024e-06,0.0031993656884878874,-0.0041181365959346294,0.03303050388824848,0.05144288474693894,0.03538259118795395,0.024015579372644424,0.01962405815720558,0,12288
gamma_current_ppo,-0.003,4.255876314640045,2.2305483528507737,0.9998887181282043,1.0033345222473145,0.9958645701408386,-0.00011131678911624476,0.0033289401326328516,-0.004143998492509127,0.027984427408727152,0.06242061846423894,0.03151111304759979,-0.046299196779727936,0.008510847575962543,0,13312
gamma_current_ppo,-0.003,4.2559166073799135,1.9738794175881924,0.9998730421066284,1.0033740997314453,0.9958916306495667,-0.00012697458441834897,0.0033684324007481337,-0.004116815514862537,0.033880573333193935,0.06687616636045277,-0.001406152150593698,-0.00124957668595016,-0.03069920279085636,0,14336
gamma_current_ppo,-0.003,4.255943751335144,1.7746274665064565,0.9998650550842285,1.0034228563308716,0.9958540201187134,-0.00013495449093170464,0.0034169666469097137,-0.0041546267457306385,0.03519560364310553,0.06245908492710441,0.0025959941558539867,-0.036385297775268555,0.0512816421687603,0,15360
gamma_current_ppo,-0.003,4.256027805805206,2.5078870086320832,0.9999622106552124,1.0035566091537476,0.9958164095878601,-3.779970938921906e-05,0.003550261724740267,-0.004192371387034655,0.031583331468673335,0.0792074266821146,-0.05929533392190933,-0.06323687732219696,0.020634224638342857,0,16384
gamma_current_ppo,-0.003,4.256212258338929,2.113826185720666,1.0000102519989014,1.0037178993225098,0.9957531094551086,1.0252214451611508e-05,0.003711029188707471,-0.00425591180101037,0.032804216931051004,0.06934241275303066,-0.01173924095928669,-0.057511698454618454,0.03345954045653343,0,17408
gamma_current_ppo,-0.003,4.25629575252533,1.2119430007043273,1.0000450611114502,1.0037286281585693,0.9957094192504883,4.508000711211935e-05,0.0037217135541141033,-0.0042998334392905235,0.046290077357015416,0.05610093525610864,-0.012455744668841362,0.009148119017481804,0.012461676262319088,0,18432
gamma_current_ppo,-0.003,4.256288743019104,1.779886343115399,1.0000190734863281,1.003788709640503,0.9957075715065002,1.9053108189837076e-05,0.003781580599024892,-0.004301683511584997,0.0445270344976157,0.07925306060351431,0.044981952756643295,-0.0872601792216301,-0.01050580944865942,0,19456
gamma_current_ppo,-0.003,4.256358397006989,1.430645131839824,0.9999676942825317,1.0039024353027344,0.9957400560379028,-3.231496884836815e-05,0.0038948566652834415,-0.004269026219844818,0.043008954468728,0.061530551337637004,0.027129599824547768,-0.05200934410095215,-0.025725457817316055,0,20480
gamma_current_ppo,-0.003,4.256021177768707,2.808914993905179,0.9996440410614014,0.9991495013237,0.9994133114814758,-0.00035603257128968835,-0.0008508446044288576,-0.0005868774023838341,0.02171365459227328,0.06099180995952338,0.02448757365345955,0.0314885750412941,0.01691148430109024,1,1024
gamma_current_ppo,-0.003,4.254204213619232,2.5423543001098117,0.997694730758667,0.9988320469856262,0.9999268651008606,-0.0023079172242432833,-0.0011686518555507064,-7.311481022043154e-05,0.024162172353868742,0.061428802786394954,0.05812182277441025,0.006320729851722717,-0.014787107706069946,1,2048
gamma_current_ppo,-0.003,4.252780914306641,1.8607070401836294,0.9972083568572998,0.9986685514450073,0.9999300241470337,-0.00279556168243289,-0.0013323485618457198,-6.998801836743951e-05,0.0334096128313081,0.062165501806885,-0.016103947535157204,0.04907640442252159,-0.0289378073066473,1,3072
gamma_current_ppo,-0.003,4.252178072929382,2.672007010971618,0.9968761205673218,0.9982412457466125,0.9996025562286377,-0.0031287665478885174,-0.0017603004816919565,-0.000397545809391886,0.027662665099171313,0.07391483508981764,0.0653657466173172,0.04510987922549248,0.04946853220462799,1,4096
gamma_current_ppo,-0.003,4.251279079914093,1.8974889456427255,0.9967807531356812,0.9981178641319275,0.9994935989379883,-0.003224430838599801,-0.0018839080585166812,-0.0005065420409664512,0.033781643652619285,0.06410029539838433,-0.012443636544048786,-0.020246991887688637,0.03929811716079712,1,5120
gamma_current_ppo,-0.003,4.250967347621918,1.462874470397808,0.9966773986816406,0.9977341890335083,0.9993830919265747,-0.003328135469928384,-0.002268367912620306,-0.0006170825799927115,0.04106353954659671,0.06007080366834998,0.030334508046507835,0.04791075736284256,0.021911736577749252,1,6144
gamma_current_ppo,-0.003,4.250450158119202,1.9819680902391301,0.9966065287590027,0.9975818395614624,0.9993889927864075,-0.003399268724024296,-0.002421064069494605,-0.0006111884722486138,0.03951905443883911,0.07832550485618413,0.051681894809007645,0.06285709887742996,-0.06154885143041611,1,7168
gamma_current_ppo,-0.003,4.250315725803375,2.1017028850021067,0.9965210556983948,0.9975888133049011,0.9993098974227905,-0.003485029796138406,-0.0024140910245478153,-0.0006903295288793743,0.037942335563295085,0.07974351611919701,0.06531567871570587,-0.011247478425502777,0.05888459086418152,1,8192
gamma_current_ppo,-0.003,4.250177419185638,1.808963295289079,0.9964672327041626,0.9975751638412476,0.9992917776107788,-0.003539036028087139,-0.0024277798365801573,-0.0007084632525220513,0.03367964138389214,0.06092523506376892,0.04352863132953644,0.020420551300048828,-0.012276360765099525,1,9216
gamma_current_ppo,-0.003,4.25012240409851,2.1204000064891355,0.9964514970779419,0.9975492358207703,0.9993016123771667,-0.003554843133315444,-0.002453761175274849,-0.0006986403022892773,0.03125828831286282,0.06628007474355399,0.019970398396253586,0.040048032999038696,-0.020266970619559288,1,10240
gamma_current_ppo,-0.003,4.250086736679077,2.3986586820617752,0.9964239597320557,0.9975783824920654,0.9992530941963196,-0.0035824624355882406,-0.002424581442028284,-0.0007471794378943741,0.029568194867330384,0.0709240073338151,0.04946497082710266,-0.03503410518169403,0.07367971539497375,1,11264
gamma_current_ppo,-0.003,4.250021374225616,1.9652465008156492,0.9937168955802917,0.9971621632575989,1.001522421836853,-0.006302936002612114,-0.0028418591246008873,0.0015213142614811659,0.037702460319344946,0.07409462821669877,0.08364357799291611,0.0022373695392161608,-0.05328024551272392,1,12288
gamma_current_ppo,-0.003,4.248822546005249,1.7125172794816004,0.9931291341781616,0.9968039989471436,1.0019307136535645,-0.006894590333104134,-0.003201110754162073,0.0019288251642137766,0.04921990428349406,0.08428993658162653,-0.037903424352407455,0.0904894769191742,0.06818677484989166,1,13312
gamma_current_ppo,-0.003,4.248599088191986,1.453711251473525,0.9930713772773743,0.996863842010498,1.0018455982208252,-0.0069527095183730125,-0.003141057677567005,0.0018439508276060224,0.04281340728401558,0.06223833188414574,0.03755367174744606,-0.04788098856806755,0.03549984470009804,1,14336
gamma_current_ppo,-0.003,4.248598718643189,1.654302020057006,0.993087112903595,0.9969057440757751,1.0018761157989502,-0.006936900783330202,-0.003099074587225914,0.001874348847195506,0.043704793798156207,0.07230092866811902,-0.06232091784477234,-0.0195862278342247,-0.0720481425523758,1,15360
gamma_current_ppo,-0.003,4.248670518398285,1.3202498483175948,0.9930810928344727,0.9969143867492676,1.0018893480300903,-0.006942926440387964,-0.003090391866862774,0.0018875895766541362,0.04845030395285107,0.06396650644601323,0.027083029970526695,-0.004649570677429438,0.004058525897562504,1,16384
gamma_current_ppo,-0.003,4.248665428161621,1.9360682601698183,0.9931533336639404,0.9968306422233582,1.0018903017044067,-0.006870218086987734,-0.0031743720173835754,0.001888574450276792,0.04284304087968294,0.08294705161824822,-0.07622995227575302,0.0646618977189064,-0.0018737800419330597,1,17408
