across_seed_mean,across_seed_std,condition,maximum,metric,minimum,n_seeds
0.14650682538339438,0.16244861300337046,gamma_current_ppo,0.3822805502146142,mean_epsilon_bid,-0.10758247336483552,5
0.10875018391316496,0.15502705861122282,gamma_current_ppo,0.3425226253837732,mean_epsilon_ask,-0.12406252263045574,5
0.6080405174039509,0.025233285886950577,gamma_current_ppo,0.6284494253934402,epsilon_bid_std,0.5600672961005014,5
0.6104606901782222,0.018666114467009866,gamma_current_ppo,0.6255269838794763,epsilon_ask_std,0.5741311409625763,5
0.9979071378707886,0.00441121705914421,gamma_current_ppo,1.0039024353027344,latent_std_bid,0.9927306771278381,5
0.997833526134491,0.0025222965088391052,gamma_current_ppo,0.9999676942825317,latent_std_ask,0.993374764919281,5
0.1895398147293286,0.10921749119537137,gamma_current_ppo,0.3822805502146142,analytical_error_bid,0.07029489038163984,5
0.15837519296534724,0.10381372575909094,gamma_current_ppo,0.3425226253837732,analytical_error_ask,0.02180782118282178,5
0.23217656785794177,0.26200373126449295,gamma_current_ppo,0.5993919739127159,deterministic_mean_epsilon_bid,-0.19338039767856782,5
0.16564427520604041,0.24310413681717843,gamma_current_ppo,0.5093843993200705,deterministic_mean_epsilon_ask,-0.21357889179713452,5
0.4377591261332866,0.056511374478379436,gamma_current_ppo,0.5136475802269279,mean_market_share,0.35859428382448816,5
0.27316959683383113,0.008082036295840419,gamma_current_ppo,0.28527943042063236,mean_spread_pnl,0.26371037110349926,5
0.3316256727426219,0.011029236804806164,gamma_current_ppo,0.3435346674039595,spread_pnl_std,0.3131575609636458,5
18.32482449142292,0.7331364798570995,gamma_current_ppo,19.350615459461302,inventory_std,17.082262896874585,5
39.470055085381176,13.860036223993802,gamma_current_ppo,60.55083406309302,mean_total_pnl,28.07331247024292,5
0.07590395208727149,0.026653915815372697,gamma_current_ppo,0.11644391165979427,mean_total_pnl_per_step,0.05398713936585177,5
39.97016575069756,0.10887806585207749,gamma_current_ppo,40.133928533232165,gross_investor_volume_mean,39.85331850483702,5
6.381886201867223,0.05323003262752019,gamma_current_ppo,6.449974597325085,gross_investor_volume_std,6.316488822202194,5
0.12628228080467124,0.20646292089119836,gamma_current_ppo,0.48048962166284964,net_investor_flow_mean,-0.11004600001481503,5
10.907620847673865,0.1367172787362622,gamma_current_ppo,11.0568715125272,net_investor_flow_std,10.703718991393057,5
10.011500000000002,0.03502860200721517,gamma_current_ppo,10.077884615384615,n_buy_mean,9.979038461538462,5
2.2244800862624166,0.024460654786864103,gamma_current_ppo,2.249616658665815,n_buy_std,2.1889344409292826,5
9.988499999999998,0.03502860200721517,gamma_current_ppo,10.020961538461538,n_sell_mean,9.922115384615385,5
2.2244800862624166,0.024460654786864103,gamma_current_ppo,2.249616658665815,n_sell_std,2.1889344409292826,5
8.751846153846154,1.1280024405634763,gamma_current_ppo,10.289615384615384,n_rl_won_mean,7.202692307692308,5
7.1041067991211495,0.1252866688940052,gamma_current_ppo,7.262811481878197,n_rl_won_std,6.885776341735358,5
11.248153846153846,1.1280024405634765,gamma_current_ppo,12.797307692307692,n_competitor_won_mean,9.710384615384616,5
7.1041067991211495,0.12528666889400514,gamma_current_ppo,7.262811481878197,n_competitor_won_std,6.885776341735358,5
0.3591813689203791,0.006497470197429385,gamma_current_ppo,0.36706228880249003,market_share_std,0.3476675852367538,5
0.10998004381570745,0.1622587993159985,unit_current_ppo,0.39670999434921006,mean_epsilon_bid,-0.09674264588756509,5
0.25428879243926966,0.23937340339618138,unit_current_ppo,0.7246672766458058,mean_epsilon_ask,0.08305991637521051,5
0.6113513681108179,0.02875601968075949,unit_current_ppo,0.6313644072200651,epsilon_bid_std,0.5543131659268815,5
0.5716823723081544,0.09325524576024424,unit_current_ppo,0.6260227590127179,epsilon_ask_std,0.38584907521692835,5
0.9967821955680847,0.00337865250002481,unit_current_ppo,1.002048134803772,latent_std_bid,0.9930359125137329,5
1.000697946548462,0.0014899109268054712,unit_current_ppo,1.003502368927002,latent_std_ask,0.9995032548904419,5
0.1486771021707335,0.12774446087125527,unit_current_ppo,0.39670999434921006,analytical_error_bid,0.036596016941106285,5
0.25428879243926966,0.23937340339618138,unit_current_ppo,0.7246672766458058,analytical_error_ask,0.08305991637521051,5
0.17374577761412813,0.25620589269637595,unit_current_ppo,0.6149982069432736,deterministic_mean_epsilon_bid,-0.16256035324472648,5
0.3529641508139097,0.2782197827266902,unit_current_ppo,0.8883858822515378,deterministic_mean_epsilon_ask,0.12507617292495873,5
0.41075000000000006,0.04601532980348048,unit_current_ppo,0.46255769230769234,mean_market_share,0.34304807692307693,5
0.12433393006766047,0.012074465483575504,unit_current_ppo,0.13513684440232174,mean_spread_pnl,0.10144126206622588,5
0.15078031917511975,0.003919772373698295,unit_current_ppo,0.15528189709940282,spread_pnl_std,0.14426505456288058,5
9.064020971974305,0.5716588544634164,unit_current_ppo,9.84991846072978,inventory_std,8.30601884433402,5
15.694015479973988,15.164981230933035,unit_current_ppo,29.024501008767363,mean_total_pnl,-11.449939902022532,5
0.030180798999949975,0.02916342544410199,unit_current_ppo,0.05581634809378339,mean_total_pnl_per_step,-0.022019115196197175,5
20.0,0.0,unit_current_ppo,20.0,gross_investor_volume_mean,20.0,5
0.0,0.0,unit_current_ppo,0.0,gross_investor_volume_std,0.0,5
0.023000000000000003,0.07005720401443044,unit_current_ppo,0.15576923076923077,net_investor_flow_mean,-0.041923076923076924,5
4.448960172524833,0.04892130957372821,unit_current_ppo,4.49923331733163,net_investor_flow_std,4.377868881858565,5
10.011500000000002,0.03502860200721517,unit_current_ppo,10.077884615384615,n_buy_mean,9.979038461538462,5
2.2244800862624166,0.024460654786864103,unit_current_ppo,2.249616658665815,n_buy_std,2.1889344409292826,5
9.988499999999998,0.03502860200721517,unit_current_ppo,10.020961538461538,n_sell_mean,9.922115384615385,5
2.2244800862624166,0.024460654786864103,unit_current_ppo,2.249616658665815,n_sell_std,2.1889344409292826,5
8.215,0.9203065960696092,unit_current_ppo,9.251153846153846,n_rl_won_mean,6.860961538461538,5
6.970882057132885,0.35830621756091735,unit_current_ppo,7.244201833680546,n_rl_won_std,6.268088826507028,5
11.785,0.9203065960696092,unit_current_ppo,13.139038461538462,n_competitor_won_mean,10.748846153846154,5
6.970882057132885,0.35830621756091735,unit_current_ppo,7.244201833680546,n_competitor_won_std,6.268088826507028,5
0.34854410285664417,0.01791531087804586,unit_current_ppo,0.3622100916840273,market_share_std,0.3134044413253514,5
