analytical_error_ask,analytical_error_bid,buy_probability,competitor_pnl_std,condition,deterministic_analytical_error_ask,deterministic_analytical_error_bid,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_state_std,deterministic_evaluation,deterministic_mean_epsilon_ask,deterministic_mean_epsilon_bid,epsilon_ask_std,epsilon_bid_std,epsilon_near_bound_frequency,gross_investor_volume_mean,gross_investor_volume_std,hedge_fraction_std,hedge_near_bound_frequency,inventory_pnl_std,inventory_std,latent_std_ask,latent_std_bid,latent_std_hedge,market_share_mean,market_share_std,max_abs_inventory,mean_competitor_pnl,mean_epsilon_ask,mean_epsilon_bid,mean_hedge_cost,mean_hedge_fraction,mean_inventory,mean_inventory_pnl,mean_market_share,mean_policy_entropy_proxy,mean_spread_pnl,mean_total_pnl,mean_total_pnl_per_step,n_buy_mean,n_buy_std,n_competitor_won_mean,n_competitor_won_std,n_rl_won_mean,n_rl_won_std,n_sell_mean,n_sell_std,net_investor_flow_mean,net_investor_flow_std,num_investors,order_size_mode,pnl_std,ppo_clip_eps,ppo_hidden_layers,ppo_hidden_size,ppo_horizon,ppo_lr,ppo_minibatch_size,ppo_rollouts,ppo_sigma,seed,spread_pnl_std
0.12406252263045574,0.07029489038163984,0.5,127.87240231909826,gamma_current_ppo,0.21357889179713452,0.12509189559433323,0.008090595608193002,0.00770338386776028,False,-0.21357889179713452,0.12509189559433323,0.6224463317960098,0.6284494253934402,0.011153846153846153,39.948041141396075,6.316488822202194,0.31514148092344174,0.02423076923076923,4.7567544702708195,18.61970951816605,0.9999676942825317,1.0039024353027344,0.9957400560379028,0.5136475802269279,0.36706228880249003,72.6027047232129,128.41428934850114,-0.12406252263045574,0.07029489038163984,0.21362967254170823,0.5045929590039528,-3.922095677165167,-0.00667219941217421,0.5136475802269279,4.256409168243408,0.27532197879476655,28.61045555725974,0.05502010684088412,10.077884615384615,2.1889344409292826,9.710384615384616,7.262811481878197,10.289615384615384,7.262811481878197,9.922115384615385,2.1889344409292826,0.48048962166284964,10.703718991393057,20,gamma,91.77247008206253,0.2,3,256,1024,5e-05,256,20,0.2,0,0.3131575609636458
0.02180782118282178,0.3822805502146142,0.5,142.14133697962936,gamma_current_ppo,0.02900705774156869,0.5993919739127159,0.008429594109152776,0.004395394535820159,False,0.02900705774156869,0.5993919739127159,0.6255269838794763,0.5600672961005014,0.01673076923076923,40.05264874856351,6.4342547792188105,0.3117167141652074,0.018076923076923077,4.829326720955054,18.310576114046246,0.993374764919281,0.9963412880897522,1.0015902519226074,0.39927852238302647,0.3575917148324391,100.84998115790054,207.60678391106626,0.02180782118282178,0.3822805502146142,0.2183085124982896,0.5174711206956552,-6.949525219079139,0.07104205305458458,0.39927852238302647,4.248091697692871,0.26371037110349926,60.55083406309302,0.11644391165979427,9.990384615384615,2.2027744407193377,12.039038461538462,7.069749685378212,7.960961538461539,7.069749685378211,10.009615384615385,2.2027744407193377,0.19103209227820397,10.791246503291688,20,gamma,62.0596116709515,0.2,3,256,1024,5e-05,256,20,0.2,1,0.33565091184977136
0.14625728365861085,0.10758247336483552,0.5,125.26060962108293,gamma_current_ppo,0.24679512021346733,0.19338039767856782,0.0010566800019329217,0.0006883584217119402,False,0.24679512021346733,-0.19338039767856782,0.6130261990804378,0.628018201911277,0.010288461538461538,39.85331850483702,6.332039509093788,0.27809782298667163,0.055,4.293691721670692,17.082262896874585,0.9991646409034729,1.0022696256637573,1.0002604722976685,0.48682420980140023,0.3614425312650737,59.858290029913434,82.248937916946,0.14625728365861085,-0.10758247336483552,0.2826852689204052,0.7124232067282383,3.900622394176382,0.06061176049963147,0.48682420980140023,4.258507251739502,0.2768633635610311,28.490724672933823,0.05478985514025735,9.979038461538462,2.2479355996245025,10.276923076923078,7.14712463390309,9.723076923076922,7.14712463390309,10.020961538461538,2.2479355996245025,-0.11004600001481503,11.019952345894009,20,gamma,93.26738377577152,0.2,3,256,1024,5e-05,256,20,0.2,2,0.3256155176436863
0.15722571197107474,0.1661920169130854,0.5,189.1762517066609,gamma_current_ppo,0.25661369055223004,0.28222590782034856,0.019937485818078034,0.0310338410559072,False,0.25661369055223004,0.28222590782034856,0.6171727951726113,0.616178584338232,0.009807692307692307,39.862891825459045,6.376673301496235,0.30692811982108803,0.029423076923076923,4.413300088378532,18.2609584685664,0.9999285936355591,0.9927306771278381,0.9948589205741882,0.43045103443059035,0.3621427244651387,71.37876401281552,205.90135927592365,0.15722571197107474,0.1661920169130854,0.23083920943925368,0.5926605068089871,0.26122345998308943,-0.0004530816155269362,0.43045103443059035,4.244293689727783,0.28527943042063236,28.07331247024292,0.05398713936585177,10.013653846153845,2.249616658665815,11.417115384615384,7.155071852710888,8.582884615384616,7.155071852710888,9.986346153846155,2.249616658665815,0.10896649855299081,10.966314885263373,20,gamma,49.304097304485296,0.2,3,256,1024,5e-05,256,20,0.2,3,0.3401697058520465
0.3425226253837732,0.22134914277246795,0.5,189.1266978812066,gamma_current_ppo,0.5093843993200705,0.3475534596408789,0.0009339685617274957,0.0008334905466715924,False,0.5093843993200705,0.3475534596408789,0.5741311409625763,0.6074890792763045,0.015096153846153846,40.133928533232165,6.449974597325085,0.3125185077163896,0.02519230769230769,4.672845245335724,19.350615459461302,0.9967319369316101,0.9942916631698608,0.9979423880577087,0.35859428382448816,0.3476675852367538,83.5919269090736,184.36401819683002,0.3425226253837732,0.22134914277246795,0.18967806617852953,0.4652401443169667,2.93532261030659,0.024283973318873324,0.35859428382448816,4.245757579803467,0.2646728402892261,51.62494866337638,0.09927874742956996,9.996538461538462,2.233139291373146,12.797307692307692,6.885776341735358,7.202692307692308,6.885776341735358,10.003461538461538,2.233139291373146,-0.03903080845587316,11.0568715125272,20,gamma,70.43391741992734,0.2,3,256,1024,5e-05,256,20,0.2,4,0.3435346674039595
0.08305991637521051,0.08132966412244759,0.5,68.95929497876612,unit_current_ppo,0.12507617292495873,0.1431333346836842,0.0032875539658252725,0.0021992095717412227,False,0.12507617292495873,0.1431333346836842,0.6260227590127179,0.6271744979357844,0.011826923076923077,20.0,0.0,0.3146874165812019,0.02423076923076923,2.172268688205584,8.881987983804157,0.9995032548904419,1.002048134803772,0.9943544268608093,0.46255769230769234,0.3622100916840273,37.59076018514173,86.71668270324162,0.08305991637521051,0.08132966412244759,0.09304312707539716,0.5214848655634201,-0.0500364164916541,0.009633741435926142,0.46255769230769234,4.252702713012695,0.1326470076718845,25.603563456855,0.04923762203241346,10.077884615384615,2.1889344409292826,10.748846153846154,7.244201833680546,9.251153846153846,7.244201833680546,9.922115384615385,2.1889344409292826,0.15576923076923077,4.377868881858565,20,unit,19.974557144514268,0.2,3,256,1024,5e-05,256,20,0.2,0,0.14854164372073428
0.12652053097429766,0.39670999434921006,0.5,48.50785760211821,unit_current_ppo,0.20017481398123962,0.6149982069432736,0.0017011576529073716,0.0005175051408186706,False,0.20017481398123962,0.6149982069432736,0.620901287977474,0.5543131659268815,0.017403846153846155,20.0,0.0,0.31126721420650605,0.0175,2.249739883951827,8.695695618345576,0.999805212020874,0.9931630492210388,0.9983564615249634,0.37072115384615384,0.35142287579131476,42.276470440339864,101.05905858735771,0.12652053097429766,0.39670999434921006,0.0906675448105564,0.513723419113801,-2.620689435421021,0.016302509991145745,0.37072115384615384,4.248115539550781,0.12377814484817878,25.694817214959432,0.04941311002876814,9.990384615384615,2.2027744407193377,12.585576923076923,7.028457515826296,7.414423076923077,7.028457515826296,10.009615384615385,2.2027744407193377,-0.019230769230769232,4.405548881438675,20,unit,28.01057445509531,0.2,3,256,1024,5e-05,256,20,0.2,1,0.15528189709940282
0.21815804864282165,0.036596016941106285,0.5,80.03220412677659,unit_current_ppo,0.3565375347951284,0.04519533240881104,0.0002585110963731335,0.00031833393097509483,False,0.3565375347951284,0.04519533240881104,0.6031032590514076,0.6313644072200651,0.010480769230769231,20.0,0.0,0.2966529354439952,0.033846153846153845,2.0690104284730224,8.30601884433402,1.0009530782699585,0.9979010820388794,1.0008516311645508,0.4299519230769231,0.3568256113557135,28.125231032408152,76.22273785137261,0.21815804864282165,0.036596016941106285,0.11146702207093356,0.651537586536545,1.5467098198157936,0.0012566607622241154,0.4299519230769231,4.256518363952637,0.12866639134969154,9.597135621310677,0.01845603004098207,9.979038461538462,2.2479355996245025,11.400961538461539,7.13651222711427,8.599038461538461,7.13651222711427,10.020961538461538,2.2479355996245025,-0.041923076923076924,4.495871199249005,20,unit,54.17666424211377,0.2,3,256,1024,5e-05,256,20,0.2,2,0.1527373245280643
0.11903818955821267,0.13200718955333846,0.5,106.5694928940189,unit_current_ppo,0.19464635011668388,0.22796236727959834,0.009869846871026502,0.0324744760725133,False,0.19464635011668388,0.22796236727959834,0.6225354802822443,0.6202894727989919,0.00951923076923077,20.0,0.0,0.3117777529255373,0.023076923076923078,2.359479132811494,9.84991846072978,1.003502368927002,0.9930359125137329,0.9945634007453918,0.44747115384615394,0.35885749412681395,39.27055205652832,90.94452328433798,0.11903818955821267,0.13200718955333846,0.08656289931136396,0.4512627001909109,0.29033872431540203,0.0072424030028256136,0.44747115384615394,4.2478718757629395,0.13513684440232174,29.024501008767363,0.05581634809378339,10.013653846153845,2.249616658665815,11.050576923076923,7.17714988253628,8.949423076923077,7.17714988253628,9.986346153846155,2.249616658665815,0.027307692307692307,4.49923331733163,20,unit,28.81041642873774,0.2,3,256,1024,5e-05,256,20,0.2,3,0.15307567596451688
0.7246672766458058,0.09674264588756509,0.5,206.1364302155808,unit_current_ppo,0.8883858822515378,0.16256035324472648,0.0025825907653463007,0.011721287629229119,False,0.8883858822515378,-0.16256035324472648,0.38584907521692835,0.6236152966723665,0.061153846153846156,20.0,0.0,0.30350444431376894,0.0325,3.394043167875828,9.586483952657993,0.9997258186340332,0.9977627992630005,0.9980824589729309,0.34304807692307693,0.3134044413253514,48.38930304413436,118.74138634181536,0.7246672766458058,-0.09674264588756509,0.11707052484777233,0.38811995555001955,10.32102369552216,-0.006389852414650746,0.34304807692307693,4.252382278442383,0.10144126206622588,-11.449939902022532,-0.022019115196197175,9.996538461538462,2.233139291373146,13.139038461538462,6.268088826507028,6.860961538461538,6.268088826507028,10.003461538461538,2.233139291373146,-0.006923076923076923,4.466278582746292,20,unit,82.60368377732365,0.2,3,256,1024,5e-05,256,20,0.2,4,0.14426505456288058
