type,step,feature,mean,std,p01,p50,p99,mean_abs_pre_activation,tanh_saturation_fraction
observation,20480,inventory,-3.4990470595323506,7.3042189463921074,-17.39887367248535,-3.6333969831466675,12.983378086090092,,
observation,20480,price,99.88206190451598,1.6080699961369718,96.68072570800781,99.78407669067383,103.49387466430665,,
observation,20480,total_pnl,0.03089371712651486,2.043050134670615,-6.1690898036956785,0.09558744356036186,5.9481810045242485,,
observation,20480,inventory_pnl,-0.07165477786243755,2.0435082018817607,-6.353703775405884,0.0,5.834420051574726,,
observation,20480,hedge_cost,0.09062126997323969,0.06947796791882226,0.0,0.07924162596464157,0.3035475325584412,,
actor_activation,20480,,,,,,,23.48927116394043,0.9692007303237915
observation,60416,inventory,-0.442487355777755,7.249662573899336,-15.512013893127442,-0.6919747292995453,15.241683883666994,,
observation,60416,price,99.88206190451598,1.6080699961369718,96.68072570800781,99.78407669067383,103.49387466430665,,
observation,60416,total_pnl,0.03507240952547783,1.8676241988638551,-5.3668820095062255,0.07861018180847168,5.05954502582551,,
observation,60416,inventory_pnl,-0.03916533086986209,1.8641526388889307,-5.456161160469055,-0.01577730756253004,5.006572260856638,,
observation,60416,hedge_cost,0.08466866284721525,0.06697946840854149,0.0,0.07257215306162834,0.2959948033094408,,
actor_activation,60416,,,,,,,23.519638061523438,0.9716246128082275
