approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,entropy_proxy,latent_sigma_ask,latent_sigma_bid,policy_loss,seed,training_step,value_loss
0.016547370672924444,0.0828125,-0.24035807981705054,0.031321324704413685,0.279931929287238,0.024928379101302002,4.25613043308258,0.9973372220993042,1.0006370544433594,0.006565782416146249,0,10240,2121.9123962402346
0.008539159246720374,0.01298828125,0.34047005833723604,0.016991471422339418,0.045210200538619974,0.008276471407334693,4.243602693080902,0.9886782765388489,1.0022722482681274,0.0009287258028052748,0,20480,923.7476577758789
0.011290533642750233,0.0388671875,0.5362862157515991,0.008761545178446066,0.10294914921888938,0.007020897047780813,4.239478921890258,0.9904101490974426,1.0043578147888184,-0.002741659269668162,0,39936,96.85978260040284
0.018803476967150345,0.08017578125,0.5904579919118148,0.015608860194752137,0.7698487524802868,0.005134370697366015,4.231291162967682,0.9896458983421326,1.000616431236267,-0.006762323679868132,0,60416,384.79758224487307
0.001177210605237633,0.0,0.7466234517403137,0.0002065075053056675,0.6621066018556937,8.097615651026741e-05,4.2189493656158445,0.9899536967277527,0.9939880967140198,-0.001971135335043073,0,100352,304.1646945953369
0.0024995838437462227,0.00283203125,0.743351864356261,0.0025509388472377743,0.6312711770717915,0.005946886975099274,4.215078175067902,0.9877147674560547,0.9896709322929382,-0.002004330151248723,0,149504,346.8987350463867
0.00039221831248141824,0.0,0.7316122889518738,0.002987566744439773,0.7783812801043193,0.003545918689387035,4.215348601341248,0.9864347577095032,0.9908246397972107,-0.0004065164481289685,0,199680,77.36912612915039
0.0035207498993258925,0.0099609375,0.7748300234476725,0.0051018482691927765,0.7387239838257814,0.002535862082627915,4.214924204349518,0.9840278029441833,0.9893599152565002,0.001069496711716056,0,204800,352.9325668334961
-0.00033505299361422656,0.0,0.011905428140576428,0.013728190142107011,-0.3756435433259377,0.012251305271244413,4.255239093303681,1.0005476474761963,0.9996849298477173,-0.0003362269839271903,1,10240,4647.4300537109375
0.0016116034181322902,0.0,-0.12577669389354876,0.013211341912482572,-0.3316381329909349,0.011565246489446675,4.252792835235596,1.002526879310608,0.9966167211532593,-0.0006637761602178216,1,20480,402.20951690673826
0.0001327492471318692,0.0,-0.4228762454711474,0.006452610093900642,-0.043206794454883304,0.0035192991888475236,4.2448490858078,1.0037363767623901,0.9931080341339111,-0.0005322631914168596,1,39936,541.2677474975586
-0.0002721603377722204,0.0,-0.1306964611586852,0.002859638821260393,-0.19553525868134622,0.0016303184457060508,4.244541144371032,1.0034992694854736,0.9888208508491516,-0.0008728581015020609,1,60416,594.297982788086
5.9236650122329594e-05,0.0,-0.2711669357923361,0.0007927919814384505,-0.16707483170888363,0.0001968518042197377,4.2509736776351925,1.0041459798812866,0.9875855445861816,-8.498855750076473e-05,1,100352,4438.819360351563
0.00010464479564689099,0.0,-0.10147221552637907,0.000756775811881742,0.16476815117475313,0.0001449648545451813,4.255475783348084,1.007480263710022,0.9890508651733398,-0.0001574608962982893,1,149504,16126.528857421876
9.843423031270504e-05,0.0,0.25123797013209415,2.636090848911738e-05,-0.29332633301233635,3.835046172204431e-05,4.257401728630066,1.0064774751663208,0.991159975528717,-2.587004564702511e-06,1,199680,38968.9658203125
-0.00011148708872497082,0.0,0.3036525743894088,4.1583423661387085e-05,-0.26341598736934174,5.188020848240641e-05,4.252779638767242,1.0052669048309326,0.9904052019119263,0.0006676555378362537,1,204800,130927.6484375
0.001987096917582676,0.0125,0.2400615400586946,0.05972653770786305,0.030704573288900205,0.030737912460925474,4.252686393260956,0.9979179501533508,0.9995828866958618,-0.0009661710471846163,2,10240,4851.929248046875
