seed,training_step,agent,evaluation_steps,market_share,captured_volume_per_step,spread_pnl_per_step,spread_pnl_per_captured_unit,normalized_spread_monetization,inventory_pnl_per_step,hedge_cost_per_step,total_pnl_per_step,mean_inventory,mean_abs_inventory,inventory_std,max_abs_inventory,mean_epsilon_bid,mean_epsilon_ask,mean_symmetric_quote_level,mean_quote_skew,mean_hedge_fraction,epsilon_near_bound_frequency,bid_clip_frequency,ask_clip_frequency,side_clip_frequency,approx_kl,clip_fraction,value_loss,latent_std_bid,latent_std_ask,latent_std_hedge
0,20480,PPO,5200,0.2749134615384615,5.498269230769231,0.13670487230498213,0.024863255429537514,1.1309915361500305,0.01688890000755381,0.057291783724266146,0.09630198858826981,-2.092395304837566,5.5832503316390705,6.898193081000593,31.295133245422676,0.12636403476798128,0.26171600619436225,0.19404002048117175,-0.13535197142638095,0.4672199897697339,0.0,0.0,0.0,0.0,0.009880275354953482,0.0498046875,326.7725601196289,0.9244685769081116,0.9963318705558777,0.9909082651138306
0,20480,A-S,5200,0.7250865384615385,14.50173076923077,0.2816806602121961,0.019423933921725787,0.885293111862753,-0.026328298033578952,0.0,0.2553523621786172,-1.4113461538461538,4.530576923076923,5.3857563317321455,18.0,-0.07017307721293316,0.07017307721293316,0.0,-0.14034615442586632,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
0,60416,PPO,5200,0.19253846153846155,3.850769230769231,0.07825645104806304,0.020322290523867748,0.9284769930945945,0.02901827503154672,0.02818193821903996,0.0790927878605698,-2.0962556945237414,3.744937217188596,5.22080081634863,35.468687742298954,0.40887656956861834,0.4803611043858109,0.4446188369772146,-0.07148453481719257,0.375715050811951,0.0,0.0,0.0,0.0,-0.00032324904459528624,0.00927734375,2714.3826538085937,0.8878684043884277,1.0480294227600098,0.9096783399581909
0,60416,A-S,5200,0.8074615384615385,16.14923076923077,0.33035136583645264,0.020456167266237422,0.9311841595822351,-0.010320681877809457,0.0,0.32003068395864315,0.02673076923076923,6.2675,7.737860025463671,30.0,0.0020673078463341182,-0.0020673078463341182,0.0,0.0041346156926682365,0.0,0.009038461538461539,0.005384615384615384,0.005384615384615384,0.005384615384615384,nan,nan,nan,nan,nan,nan
0,100352,PPO,5200,0.13826923076923076,2.7653846153846153,0.05857169443509848,0.021180306749826988,0.9700039638426692,0.0062134753862493,0.022175204642861324,0.042609965178486434,-2.601382341857524,3.7118207121818982,5.522023424293885,38.84445599222862,0.3611961276884148,0.6590506755134378,0.5101234016009263,-0.2978545478250229,0.40556786209917983,0.0,0.0,0.0,0.0,0.013491647763294168,0.0560546875,2167.1843444824217,0.857554018497467,0.8819607496261597,0.8846349716186523
0,100352,A-S,5200,0.8617307692307692,17.234615384615385,0.357643325774442,0.020751453849889516,0.9444807542490036,0.004604687618336492,0.0,0.3622480133927785,-2.791346153846154,7.124807692307693,8.230531931787734,28.0,-0.13752884617791725,0.13752884617791725,0.0,-0.2750576923558345,0.0,0.01730769230769231,0.012884615384615385,0.0125,0.012692307692307692,nan,nan,nan,nan,nan,nan
0,150528,PPO,5200,0.19577884615384616,3.915576923076923,0.08241872305136407,0.02104893472162925,0.9579274003387336,0.01949996852539254,0.018299932104860687,0.08361875947189593,-4.517983986000863,5.365946710869797,8.372220261825845,73.34948746676054,0.283708221342212,0.7033729230478415,0.4935405721950267,-0.4196647017056295,0.4421089290999449,0.0,0.0,0.0,0.0,0.008085233782185241,0.05625,301.4492691040039,0.8395191431045532,0.8519066572189331,0.7823094129562378
0,150528,A-S,5200,0.8042211538461539,16.084423076923077,0.32543012507572766,0.020232626530611125,0.9218697396933246,-0.01874178637344775,0.0,0.3066883387022799,-5.962692307692308,9.79923076923077,9.875618406222744,31.0,-0.29214423110493676,0.29214423110493676,0.0,-0.5842884622098735,0.0,0.06942307692307692,0.047692307692307694,0.04673076923076923,0.047211538461538465,nan,nan,nan,nan,nan,nan
0,204800,PPO,5200,0.21326923076923077,4.265384615384615,0.08954551765123674,0.020993538854212398,0.9541920409786294,0.0060553880417276796,0.014348037207117758,0.08125286848584663,-6.379448319364653,7.0473320962453725,9.779079602936534,73.41923479595602,0.20472424949576984,0.7317022604805131,0.4682132549881415,-0.5269780109847433,0.2757771768879432,0.0,0.0,0.0,0.0,0.007332787147606723,0.041796875,475.22314376831054,0.7612423300743103,0.7696334719657898,0.7943179607391357
0,204800,A-S,5200,0.7867307692307692,15.734615384615385,0.31697084890161836,0.020144810734397646,0.9182098988480722,-0.03064009537982978,0.0,0.2863307535217886,-7.203461538461538,10.911923076923078,10.433532642512164,30.0,-0.35024038466481633,0.35024038466481633,0.0,-0.7004807693296327,0.0,0.11038461538461539,0.0848076923076923,0.08365384615384615,0.08423076923076923,nan,nan,nan,nan,nan,nan
