seed,training_step,window_start,window_steps,ppo_market_share,ppo_spread_pnl_per_step,ppo_total_pnl_per_step,ppo_mean_abs_inventory,ppo_inventory_std,ppo_mean_hedge_fraction,ppo_mean_epsilon_bid,ppo_mean_epsilon_ask,adaptive_market_share,adaptive_mean_abs_inventory,adaptive_inventory_std,adaptive_mean_hedge_fraction,adaptive_mean_base_epsilon,adaptive_mean_epsilon_bid,adaptive_mean_epsilon_ask,adaptive_probe_steps,adaptive_probe_fraction,adaptive_base_epsilon_one_frequency,approx_kl,clip_fraction,value_loss
0,20480,1,20480,0.608447265625,0.23313539793587906,0.1709596081665927,5.517706526399539,7.052219315682184,0.4837855441990541,0.16106991204643178,0.004132959992818997,0.391552734375,3.8237232284527907,5.940003523405216,0.23302490226351438,0.48095703125,0.30384765622366106,0.23416992215934443,204,0.0099609375,0.37147366344446636,0.011194609478116036,0.063671875,2611.1584289550783
0,60416,39937,20480,0.5928125,0.17787950104342123,0.14047759430466963,5.765568514194338,7.265822097468949,0.4514054522936931,0.26675159012898175,0.0999205403981506,0.40718750000000004,3.7551506204985414,5.896787906912882,0.2322255859251527,0.62087890625,0.395214847176976,0.2887207062674861,205,0.010009765625,0.3799260172626387,0.016609009460080416,0.08125,588.3331069946289
0,100352,79873,20480,0.7756494140625,0.24664746226298692,0.2298471822555604,5.411869049923138,6.6106703125373825,0.3765145603712881,0.36138760613190185,0.20076056673422754,0.22435058593749999,2.039415898434277,4.248200632042623,0.10743701171886641,0.8107324218749999,0.6639160182930937,0.6254785181932675,205,0.010009765625,0.6496177558569667,-0.00023070829920470714,0.0,8138.320495605469
1,20480,1,20480,0.64881103515625,0.20141544723330074,0.13206000428044623,5.601492010864577,7.015521829561355,0.4472270214886521,0.09544087016488731,-0.013201598144220839,0.35118896484374995,3.425026159679091,5.531091895721573,0.1919453124752181,0.5249902343749999,0.3350683599150216,0.3035644536386826,204,0.0099609375,0.4182777668179128,0.0013904087245464325,0.00048828125,2662.229119873047
1,60416,39937,20480,0.87318115234375,0.24401762323298115,0.21723057991771233,7.565759517417845,8.42635147843227,0.2772758491395507,0.44366076189726583,0.33191256425185145,0.12681884765625,1.0231257100746092,3.003415046378112,0.0776733397939097,0.917529296875,0.855683595118171,0.8328417979500955,205,0.010009765625,0.8277188655980271,0.0007484011875931174,0.0,13241.542041015626
1,100352,79873,20480,0.8855615234374999,0.6139958728763361,0.5652128452400774,9.637178541239035,9.684151315340143,0.2209197241711081,0.5651140777796485,0.4474136719018773,0.11443847656250003,0.7993694584246696,2.5895090076973304,0.0733984375032378,0.9373144531250001,0.8820898446560023,0.8692089849231707,205,0.010009765625,0.8598273736128237,0.0004112674854695797,0.0,107960.9146484375
2,20480,1,20480,0.626015625,0.27269408399939876,0.20977716668448387,5.643108212020688,7.056339579534681,0.4869475825398695,0.05961816553823098,0.0843590996537003,0.373984375,3.7211683869692633,5.829563269033474,0.20110302720513573,0.5276171875,0.30684570391094895,0.29152343864843716,204,0.0099609375,0.3854310514894457,0.0026823669380974025,0.012109375,575.4917259216309
2,60416,39937,20480,0.5521728515625,0.16663080689053428,0.13493148430294613,6.390022095642372,7.482261418752639,0.33596491282078206,0.0636288504382776,0.028191590096643893,0.4478271484375,4.38132766054296,6.181092619727819,0.20169482413730294,0.472412109375,0.13888672235625563,0.14717773737720563,205,0.010009765625,0.23556103575832305,0.00046563956420868634,0.0,4280.186706542969
2,100352,79873,20480,0.52579345703125,0.29001224799553016,0.1651477730757976,6.287297330070514,7.306597958004396,0.3393147771450458,-0.014806030385921076,-0.028250514436489026,0.47420654296875,4.6555614452150405,6.31624934524691,0.19792626946982636,0.3376269531250001,0.00786132971115876,0.03308593880283297,205,0.010009765625,0.189691738594328,0.002560329798143357,0.005078125,1905.5781860351562
