entropy_grad_log_std,entropy_proxy,fixed_std,grad_ratio_log_std_to_actor_mean,latent_std_ask,latent_std_bid,latent_std_hedge,log_std_ask,log_std_bid,log_std_hedge,mean_abs_grad_actor_mean,mean_abs_grad_log_std,mean_grad_log_std_ask,mean_grad_log_std_bid,mean_grad_log_std_hedge,scenario,seed,std_setting,step
-0.003,4.256909644603729,,3.32794193474272,0.9998956918716431,1.0007833242416382,0.9994553923606873,-0.00010428929817862809,0.0007830676040612161,-0.0005447307485155761,0.01798730435721992,0.059860704466700554,0.007789681665599346,-0.032537415623664856,0.019795682281255722,random,0,learned,1024
-0.003,4.256514465808868,,3.3346762011792053,0.9981682300567627,1.0017051696777344,0.999401867389679,-0.0018334711203351617,0.001703682355582714,-0.0005983224837109447,0.019108689835732356,0.06372129323426634,0.07601670175790787,-0.031742144376039505,0.0010800367454066873,random,0,learned,2048
-0.003,4.256439340114594,,4.067388772822534,0.9980862140655518,1.0022521018981934,0.9997471570968628,-0.0019156079506501555,0.002249510493129492,-0.0002528805343899876,0.013028392978568216,0.05299153933301568,-0.01061074249446392,-0.008688687346875668,-0.008749510161578655,random,0,learned,3072
-0.003,4.256835675239563,,3.0548236787008536,0.9982653856277466,1.0017952919006348,0.99977046251297,-0.0017361018108204007,0.0017937306547537446,-0.00022954694577492774,0.022308339945846342,0.06814804510213435,-0.022850779816508293,0.0752597451210022,0.007441387977451086,random,0,learned,4096
-0.003,4.256550800800324,,1.9698048300349387,0.9982227087020874,1.001757264137268,0.9996980428695679,-0.001778854290023446,0.0017557560931891203,-0.00030197357409633696,0.03401343390495358,0.06699982639402151,0.03228219226002693,-0.027226397767663002,0.015159659087657928,random,0,learned,5120
-0.003,4.256296241283417,,3.743969427230148,0.9976842999458313,1.0017931461334229,0.9996734857559204,-0.0023183890152722597,0.0017915733624249697,-0.0003265771083533764,0.01814659528407702,0.06794029795564711,0.06333541870117188,-0.0054362257942557335,0.004270124714821577,random,0,learned,6144
-0.003,4.2554266333580015,,5.432028476873966,0.9975382089614868,1.0019136667251587,0.9984601736068726,-0.002464854624122381,0.0019118908094242215,-0.0015410409541800618,0.012103163496978899,0.0657447287812829,0.000824413844384253,-0.002081339480355382,0.05458298325538635,random,0,learned,7168
-0.003,4.254944694042206,,5.261393976702884,0.9967330694198608,1.001348614692688,1.0001778602600098,-0.003272293834015727,0.001347703393548727,0.0001779015437932685,0.014910741615315703,0.07845128612825647,0.03982848301529884,0.017717761918902397,-0.08355197310447693,random,0,learned,8192
-0.003,4.253016483783722,,5.223170663987316,0.9941229224205017,1.000602126121521,0.9990129470825195,-0.005894419737160206,0.000601976877078414,-0.0009875227697193623,0.011729599895552478,0.06126570207998157,0.05000591278076172,0.013989252038300037,0.02624753676354885,random,0,learned,9216
-0.003,4.250142991542816,,4.871411365300951,0.9939358830451965,1.0009056329727173,0.9988878965377808,-0.006082579493522644,0.0009051712695509195,-0.0011127397883683443,0.013332152097025735,0.06494639725424349,-0.02541317604482174,-0.041460178792476654,-0.009650923311710358,random,0,learned,10240
-0.003,4.250640165805817,,6.067415442700487,0.9944068789482117,1.0006513595581055,0.9986898303031921,-0.005608808249235153,0.00065109838033095,-0.001311030238866806,0.010922903824119253,0.06627379534766079,-0.05194423347711563,0.04666317254304886,0.029180729761719704,random,0,learned,11264
-0.003,4.250579357147217,,4.8735489036159585,0.9944191575050354,1.0010124444961548,0.9984543323516846,-0.005596484988927841,0.0010119155049324036,-0.0015468666097149253,0.013007701839285329,0.06339367104228585,0.011458278633654118,-0.04947789013385773,0.023176193237304688,random,0,learned,12288
-0.003,4.250596117973328,,3.759932869153921,0.9938119649887085,1.0016016960144043,0.9986633658409119,-0.0062072486616671085,0.0016004708595573902,-0.001337524619884789,0.01626478406092111,0.061154496204108,0.021231744438409805,-0.0196965541690588,-0.012379972264170647,random,0,learned,13312
-0.003,4.250929069519043,,2.5522488911148997,0.9938437938690186,1.001301646232605,0.9988107085227966,-0.0061752148903906345,0.0013008448295295238,-0.001190000562928617,0.027187665875870664,0.06938969008624554,-0.015501762740314007,0.04630601406097412,-0.0016889901598915458,random,0,learned,14336
-0.003,4.250391554832459,,1.8853576812508994,0.993735671043396,1.0008255243301392,0.9985921382904053,-0.006284057628363371,0.000825187424197793,-0.0014088593889027834,0.03287124771373552,0.06197405937127769,0.029896017163991928,0.0507216639816761,0.04078597202897072,random,0,learned,15360
-0.003,4.248807668685913,,1.9802517728609212,0.9933632612228394,0.9990158081054688,0.9982693195343018,-0.006658837664872408,-0.0009846534812822938,-0.0017321913037449121,0.040065927502980644,0.07934062397107482,0.017123829573392868,0.08263940364122391,0.011498039588332176,random,0,learned,16384
