fixed_std,optimal_deterministic_epsilon,optimal_expected_spread_factor,optimal_latent_mean,scenario
1.0,0.0,0.30285275480108026,0.0,random
0.5,0.0,0.4132419282838152,0.0,random
0.2,0.0,0.48144120639431637,0.0,random
0.1,0.0,0.4950972656222348,0.0,random
1.0,-0.055941534671146854,0.4845235764151262,-0.05600000000000005,persistent_spread_only
0.5,0.05594153467114675,0.7783854517640634,0.05599999999999994,persistent_spread_only
0.2,0.23171404039407664,1.1321337702971563,0.236,persistent_spread_only
0.1,0.3381480525025351,1.2981747946826354,0.3520000000000001,persistent_spread_only
