competitor_pnl_std,deterministic_evaluation,epsilon_ask_std,epsilon_bid_std,epsilon_near_bound_frequency,final_rollout_reward,fixed_std,hedge_fraction_std,hedge_near_bound_frequency,inventory_ask_slope,inventory_bid_slope,inventory_pnl_std,inventory_skew_slope,inventory_std,latent_std_ask,latent_std_bid,latent_std_hedge,max_abs_inventory,mean_competitor_pnl,mean_epsilon_ask,mean_epsilon_bid,mean_hedge_cost,mean_hedge_fraction,mean_inventory,mean_inventory_pnl,mean_market_share,mean_policy_entropy_proxy,mean_spread_pnl,mean_total_pnl,mode,pnl_std,scenario,seed,std_setting
135.64979044034496,True,0.003188973341397052,0.004351535415723327,0.0,201.43557582704653,,0.0019213741402959556,0.0,-0.00011878027696293804,0.00010588012223031296,4.378092756234152,0.00022466039919325113,17.348043957882894,0.9930190443992615,0.9967822432518005,0.9969732165336609,52.32963651043484,28.80362866251037,-0.09387222494213628,-0.18940504728028407,0.23153600108086433,0.6032229979909384,1.673622811961512,0.02138801487553683,0.5681104297064522,4.243556022644043,0.45711118536637774,128.4208635637462,deterministic,86.3563613264625,random,0,learned
122.43585784447167,False,0.6306749451574674,0.627090377276693,0.009326923076923076,201.43557582704653,,0.30735676301250797,0.022692307692307692,-0.00041377445793689446,0.0004497272321416001,4.610250682888316,0.0008635016900784932,18.545800157729083,0.9930190443992615,0.9967822432518005,0.9969732165336609,70.29279071579798,107.93147093749815,-0.054620586771556054,-0.1045808508551328,0.23907420056888964,0.5678730312505593,0.6966145468312825,0.024885911458918823,0.5402245945510573,4.243556022644043,0.2824897119421401,35.516739872728024,stochastic,89.78587428369629,random,0,learned
170.3755272745231,True,0.004488754006906386,0.003040516553700415,0.0,152.34552696655126,,0.001833617735781079,0.0,-6.639484493711992e-05,-0.00011890631961489904,3.870063258888925,-5.2511474677777884e-05,15.785816350016214,1.0005537271499634,0.9989995956420898,0.9999827742576599,64.88448189599625,163.55356428784768,0.3261899486527993,0.3351651816528577,0.17995594893611466,0.5576023797232371,-0.22113161932928166,0.017778646968431507,0.333830552873972,4.256350994110107,0.4121878345515312,130.00547694360108,deterministic,114.75601669796573,random,1,learned
156.62548113528547,False,0.6095586850239337,0.6138973047900678,0.012980769230769231,152.34552696655126,,0.31081924338471684,0.022307692307692306,-0.00022547639141695064,0.00017908965584535484,4.433548814004976,0.0004045660472623047,18.171392686665808,1.0005537271499634,0.9989995956420898,0.9999827742576599,75.39755740142209,163.7238004743678,0.19987860661624626,0.20160307208333017,0.21062506373333112,0.5417879575605575,-0.3066467984579458,0.052061822394213184,0.398926353718029,4.256350994110107,0.26990192245760813,57.896114181614884,stochastic,98.91632121755693,random,1,learned
182.65022270230705,True,0.0015974942162450291,0.0009660421952233159,0.0,39.81567374501965,,0.0006189286761070993,0.0,-5.742192077312296e-05,-2.4901212917944876e-06,5.180238032959834,5.493179948133051e-05,18.75651711127556,0.999000072479248,0.993135392665863,0.9973489046096802,61.178327222408996,107.45931325243433,0.17663867647544695,-0.22683539043538845,0.20069829106847517,0.4477024323321306,8.698327762805699,-0.09794839756028986,0.5089983528735418,4.246272087097168,0.44338528893321416,75.26407215831361,deterministic,140.3211030172879,random,2,learned
174.05524898032135,False,0.620023865254329,0.6192592049836773,0.008365384615384615,39.81567374501965,,0.31182347153198386,0.022307692307692306,-8.110703270628197e-05,0.00031038273403584117,5.115196915764643,0.0003914897667421213,20.236611706881604,0.999000072479248,0.993135392665863,0.9973489046096802,94.8306089884996,139.5006421120512,0.09747371402393373,-0.14336415255203835,0.2136159950476258,0.46635052198973986,4.532937029580815,-0.08134261289935539,0.5102668560870577,4.246272087097168,0.28207537565802054,-6.699280790259538,stochastic,164.95834043454906,random,2,learned
118.74479881064188,True,0.005306800089064236,0.006842962093891468,0.0,107.30125108351604,,0.0023647412780728764,0.0,-0.00010957461432284472,-3.535573154102253e-05,5.726851220149255,7.42188827818222e-05,23.58673526111105,0.996638834476471,0.9994820952415466,0.9945852756500244,80.91558738225682,68.60005629093205,0.006730646348951268,0.07527673220548492,0.11807944540113256,0.2484322827595931,-2.0736827621764813,-0.021501592511328056,0.48112323926884826,4.247501373291016,0.4603394675069759,166.79438338914798,deterministic,74.31801547458541,random,3,learned
162.8214426704622,False,0.6322853886600196,0.6317368121144892,0.008365384615384615,107.30125108351604,,0.290861385086247,0.03807692307692308,-0.0005473473730316142,0.0001907502871532567,5.470296466832486,0.000738097660184873,22.762486019302855,0.996638834476471,0.9994820952415466,0.9945852756500244,89.52580849596013,99.72864749437105,0.017492764096314204,0.04169861874601338,0.16434567155889104,0.33601856239713157,-0.07636247235941569,0.013264776498346294,0.4905795117142534,4.247501373291016,0.2855622143437739,69.93028602727915,stochastic,135.50197255836736,random,3,learned
107.01025154882497,True,0.015672773960847406,0.022051793381507156,0.0,37.45880131190516,,0.018205798411131437,0.0,-0.000559672518313294,0.0008910370993166512,4.204104629633539,0.0014507096176299434,15.381515496449328,0.9974400401115417,0.9983431100845337,0.9982380867004395,61.02083016068684,313.6233800754215,0.6455437379731582,0.3788572806635728,0.14063320660012066,0.41157610611273693,6.614219285052617,-0.031879030729752,0.24268112190307364,4.25083065032959,0.3358572043167722,84.93938283318774,deterministic,107.75433331129823,random,4,learned
131.27476551697453,False,0.5448639788338231,0.6078152828418599,0.022115384615384617,37.45880131190516,,0.31246301628416306,0.023269230769230768,-0.0007162706335475369,0.0007256616169735542,4.6001357101684635,0.0014419322505210923,17.523835246874416,0.9974400401115417,0.9983431100845337,0.9982380867004395,94.25602637299419,353.70699071789943,0.4478263468692659,0.2436287067109683,0.18099426300043872,0.45475288416903753,4.882709773847365,-0.09046719767164389,0.3248596850014108,4.25083065032959,0.24942163229740302,-11.460710754833404,stochastic,119.05126385257213,random,4,learned
