count,epsilon_ask,epsilon_bid,epsilon_skew,inventory,mode,scenario,std_setting
2600,0.1178311955035203,0.05752406652157123,-0.060307128981949065,-31.19133014972393,deterministic,random,learned
2600,0.16226735527036137,0.05565427409628263,-0.10661308117407875,-16.934082400248602,deterministic,random,learned
2600,0.20053719365270808,0.07223503168672324,-0.12830216196598485,-9.199183528606708,deterministic,random,learned
2600,0.23923003284690472,0.10146211674580208,-0.13776791610110264,-3.26632263726913,deterministic,random,learned
2600,0.2785220360533836,0.14368601235919273,-0.13483602369419084,0.9316895667019371,deterministic,random,learned
2600,0.24621747818703835,0.09806123204815846,-0.1481562461388799,5.183812619264309,deterministic,random,learned
2600,0.23774701782533578,0.08655217453264273,-0.15119484329269303,10.114842339845804,deterministic,random,learned
2600,0.22746769054407756,0.0676689574523614,-0.15979873309171616,15.772860164275537,deterministic,random,learned
2600,0.21190831032745056,0.045511775472416326,-0.16639653485503425,22.752314130342924,deterministic,random,learned
2600,0.2007332588056586,0.017761872697335025,-0.18297138610832359,35.15388680604788,deterministic,random,learned
2600,0.12630590714819845,0.03450128043956983,-0.09180462670862863,-32.46261451207675,stochastic,random,learned
2600,0.12758263097001382,0.0326465897550896,-0.09493604121492423,-18.89939838079306,stochastic,random,learned
2600,0.1369888931767603,0.0328270564131582,-0.1041618367636021,-11.3870757154318,stochastic,random,learned
2600,0.1627640895879505,0.03910435950186533,-0.12365973008608518,-4.397699104318252,stochastic,random,learned
2600,0.16842821291642254,0.08095333619609636,-0.08747487672032618,-0.15710792684119138,stochastic,random,learned
2600,0.16243584799381028,0.06862374367993862,-0.09381210431387164,3.3819462335568207,stochastic,random,learned
2600,0.12551485141473956,0.05204262938067236,-0.0734722220340672,9.208427293484027,stochastic,random,learned
2600,0.126857477901593,0.05859245907631703,-0.06826501882527597,15.659524042056157,stochastic,random,learned
2600,0.1411664589528384,0.022427395794836158,-0.11873906315800223,22.458562782727753,stochastic,random,learned
2600,0.13805731960608122,0.05625193802873792,-0.08180538157734331,36.06307481765747,stochastic,random,learned
2600,0.04140232393231529,0.10269770621107174,0.06129538227875645,-35.1487062894381,deterministic,random,1.0
2600,0.08491956358918777,0.08008541677433711,-0.00483414681485066,-20.331121965555045,deterministic,random,1.0
2600,0.11736637293002926,0.09613111559588175,-0.02123525733414751,-12.600589968607975,deterministic,random,1.0
2600,0.15146332734192794,0.1072032377983515,-0.04426008954357642,-6.592277953624725,deterministic,random,1.0
2600,0.16796549526974558,0.12669196943824107,-0.04127352583150451,-1.5084449697912967,deterministic,random,1.0
2600,0.14116550770659858,0.11866509064458884,-0.022500417062009757,2.951033535691408,deterministic,random,1.0
2600,0.1302389085966234,0.11567190871215784,-0.014566999884465566,8.019633761185867,deterministic,random,1.0
2600,0.1289535848223246,0.11437802619085861,-0.014575558631465986,13.844961804243235,deterministic,random,1.0
2600,0.12705887517390343,0.10135837722283143,-0.025700497951071995,20.986524203373836,deterministic,random,1.0
