approx_kl,clip_fraction,condition,deterministic_epsilon_ask_mean,deterministic_epsilon_bid_mean,ent_coef,latent_sigma_ask_mean,latent_sigma_ask_state_std,latent_sigma_bid_mean,latent_sigma_bid_state_std,n_epochs,policy_loss,seed,training_step,two_side_mae,value_loss
0.008285792505679032,0.025390625,epochs_3,0.002654924557860702,0.023604740312872217,0.003,0.9934450349746606,0.03605444317409737,0.9885754091617388,0.01604188409926937,3,-0.004771357635036111,0,20480,0.01312983243536646,323.5211995442708
0.006370056245941669,0.009765625,epochs_3,0.10999697424465409,-0.017580067249349296,0.003,1.0084438929191002,0.0768878828846501,0.9892918270367842,0.1014973938430642,3,-0.0022461545498420796,0,60416,0.0637885207470017,113.63571866353352
0.002061681298073381,0.0,epochs_3,0.11798950083485135,0.018188538127698196,0.003,0.9958973387877147,0.032165864601066435,0.9791591343207237,0.026887765713064782,3,-0.001257300532112519,0,100352,0.06808901948127477,517.5202102661133
0.010846524169513335,0.030598958333333332,epochs_3,-0.09130394976415958,0.1523905893907142,0.003,1.042196203653629,0.12359221333973482,1.0244224840249772,0.0791656058592282,3,-0.00461037162070473,1,20480,0.12184726957743688,65.87564659118652
0.011696023924741894,0.0517578125,epochs_3,0.06799185154496883,-0.05262133930690396,0.003,0.9761318235825269,0.1641938788184389,1.003593243085421,0.02951891590340085,3,-0.002523779597443839,1,60416,0.06030659542593639,221.71546936035156
0.0002950407797470689,0.0,epochs_3,-0.051673532627487126,0.010271976001408452,0.003,1.0081567227840424,0.026188602369314088,1.024659425020218,0.067724004791271,3,-0.0016452712782969077,1,100352,0.03097275431444779,2691.4423014322915
0.00012466678163036704,0.0,epochs_3,0.007617660616643918,0.1319563158059445,0.003,0.991537537635901,0.026434278197598627,1.0067026702257302,0.035661907259819665,3,0.00015619509698202214,2,20480,0.06978698821129421,2150.1351928710938
-7.781413539002338e-06,0.0026041666666666665,epochs_3,0.08721249994630806,0.10560304964295565,0.003,0.9856231875908681,0.026235151967422703,0.9803623868868901,0.05182431053341665,3,-0.0030052924218277135,2,60416,0.09640777479463186,1747.7465413411458
-0.00029012591888507205,0.0,epochs_3,0.0037271031202414096,0.20023299822798715,0.003,0.9875512590775123,0.0074703998267393506,0.9961025030185015,0.05886987392239635,3,0.0006029816965262095,2,100352,0.10198005067411428,10328.232503255209
0.003194172988878563,0.0400390625,entropy_0,0.021157843719881313,0.08401358239293003,0.0,0.9725403973689446,0.11175215774479495,0.9797651660748017,0.07092271380467667,10,-0.008045829902403056,0,20480,0.05258571305640567,622.1973281860352
0.007218861154979095,0.02822265625,entropy_0,0.13918332053730503,-0.07526472506884975,0.0,0.9760576277207106,0.058350458077841796,0.9624198957895621,0.27700049044028313,10,-0.006009288306813687,0,60416,0.10722402280307738,378.72578048706055
0.00795441834779922,0.026171875,entropy_0,0.2370856314979625,0.11671115530607028,0.0,0.9804045275235788,0.07877354318035816,0.9402810804354839,0.25889414246005404,10,-0.004632917931303382,0,100352,0.17689839340201638,565.9639091491699
0.009030181303387508,0.02919921875,entropy_0,-0.029715096755908468,0.038543541552439234,0.0,1.0247391705329603,0.14587232380484605,0.9794336895147959,0.02487510467788412,10,-0.004894498805515468,1,20480,0.03412931915417385,141.61901779174804
0.000743322994094342,9.765625e-05,entropy_0,-0.084226403110183,-0.1792524158465079,0.0,0.8882398104056334,0.06439803161743532,0.9800849144275372,0.06566884072245703,10,-0.0022666589124128223,1,60416,0.13173940947834545,340.1162727355957
0.0017174296808661893,0.0,entropy_0,-0.018697567857228793,-0.30634646403083865,0.0,0.8925198778128013,0.10281129278984262,0.9802581978149904,0.178903644868736,10,-0.001980842265766114,1,100352,0.16252201594403373,3245.099639892578
0.004831516195554286,0.01728515625,entropy_0,0.04938581637629212,0.1156844756927174,0.0,0.9643533897705567,0.07113671466599994,0.9683992624282837,0.031853245713068135,10,-0.005048615601845085,2,20480,0.08253514603450476,944.0023040771484
0.012530923378653825,0.015234375,entropy_0,-0.02875626079711275,0.10264381274180964,0.0,0.955035557349523,0.14868020422231304,0.8801635424296061,0.12260388292724823,10,-0.0009585898369550705,2,60416,0.06570003676946119,2748.346466064453
0.006877362140221522,0.000390625,entropy_0,-0.02818991345568345,0.04250554909186366,0.0,0.9243926890385457,0.1505629908465478,0.8735199876320667,0.08909696046591083,10,-0.0038945402950048445,2,100352,0.03534773127377355,23797.01015625
