condition,deterministic_epsilon_ask_mean,deterministic_epsilon_bid_mean,ent_coef,inventory_std,latent_sigma_ask_mean,latent_sigma_ask_state_std,latent_sigma_bid_mean,latent_sigma_bid_state_std,market_share,n_epochs,sampled_epsilon_ask_std,sampled_epsilon_bid_std,seed,spread_pnl_per_step,total_pnl_per_step,training_steps,two_side_mae
epochs_3,0.11015494127288827,0.015539937312854678,0.003,8.216234704769631,0.9954942918511538,0.03255756939852733,0.9797572710880866,0.026138734021442206,0.4830000000000001,3,0.6369032852608816,0.6736052243024349,0,0.12592792926396773,0.1395442634820938,100352,0.06284743929287148
epochs_3,-0.004919827571496941,-0.031023612018851475,0.003,11.317076132732485,1.0061254796729637,0.02592686444846488,1.0124041293676083,0.0667240755295413,0.5043076923076922,3,0.6489634097816803,0.6482741221462803,1,0.12467893048688683,0.07227277010679245,100352,0.01797171979517421
epochs_3,-0.01855229078666665,0.2258281710677413,0.003,7.471308853603538,0.9882655136860334,0.007758750315550999,0.9990790266944812,0.06126344212913499,0.4647596153846154,3,0.7245062314472752,0.6845652082499027,2,0.10674196089495336,0.03035840205848217,100352,0.12219023092720398
entropy_0,0.25342123401254446,0.10675865666460595,0.0,8.0111925966563,0.9778892519153082,0.08020573959299308,0.9434107024967671,0.2612197236698831,0.4342019230769231,10,0.6413373372435764,0.6409350050525913,0,0.12397045818699798,0.14921808242797852,100352,0.1800899453385752
entropy_0,-0.05335229393089741,-0.28946469167585465,0.0,7.523494718193589,0.8975355853369603,0.10544214677503187,0.9860738123150973,0.17995863095879341,0.5572307692307692,10,0.7482254560312035,0.6248244378275536,1,0.11123746682464605,0.05610160157084465,100352,0.17140849280337603
entropy_0,-0.05429686271156802,0.04627507979594296,0.0,9.181716147576923,0.9352760728047445,0.15697270870996485,0.8708802684224569,0.08389505092525718,0.4905096153846154,10,0.6584277565730091,0.5934863139834746,2,0.13424736855192979,0.028987586498260498,100352,0.05028597125375549
