seed,training_step,window_start,window_steps,ppo_market_share,ppo_spread_pnl_per_step,ppo_total_pnl_per_step,ppo_mean_abs_inventory,ppo_inventory_std,ppo_mean_hedge_fraction,ppo_mean_epsilon_bid,ppo_mean_epsilon_ask,adaptive_market_share,adaptive_mean_abs_inventory,adaptive_inventory_std,adaptive_mean_hedge_fraction,adaptive_mean_base_epsilon,adaptive_mean_epsilon_bid,adaptive_mean_epsilon_ask,adaptive_probe_steps,adaptive_probe_fraction,adaptive_base_epsilon_one_frequency,approx_kl,clip_fraction,value_loss
0,20480,1,20480,0.50712158203125,0.17134960615397582,0.10237732780470872,5.7795336817158995,7.3146567370474225,0.4829508605762385,0.041773617320437495,0.043579043486755606,0.49287841796875,4.865095955072479,6.652735647641566,0.2733334960472348,0.33119140625,0.04269531343597919,0.054345703472063175,409,0.019970703125,0.1860395595635494,0.014531129272654653,0.06162109375,438.23375778198243
0,60416,39937,20480,0.65313232421875,0.19580953506956944,0.14384092883247487,5.285698448243034,6.806624457829027,0.4579943869481212,0.11956182393781205,0.22454176258358416,0.34686767578125,3.2878211963956714,5.433216563098321,0.22580810541376195,0.6257617187500001,0.40065429982496426,0.46370117398400906,410,0.02001953125,0.4412556053811659,0.008732454641722143,0.053515625,231.72507820129394
0,100352,79873,20480,0.7498291015625,0.26622941082947904,0.24631355902915247,4.802514130027861,6.316296882141047,0.4588787650500308,0.45402515194219434,0.3587262100486058,0.2501708984375,2.1777813742769347,4.403348010525457,0.14799121093628856,0.8314648437500001,0.7138378935320361,0.6526660183109925,410,0.02001953125,0.6288490284005979,0.012290012330049649,0.07939453125,1705.0667266845703
1,20480,1,20480,0.5149658203125,0.13554894673368417,0.046503929520385914,5.898571114352611,7.490432630732388,0.46837510726763865,-0.00048246905340505465,-0.019626109239341362,0.4850341796875,4.805706396373513,6.655651991831345,0.27009082019994823,0.30160156250000003,0.021308594397851266,0.03703125035681296,409,0.019970703125,0.20123561357182004,0.007233918202109635,0.028515625,421.5855094909668
1,60416,39937,20480,0.562001953125,0.10246448784142222,0.06878016235792896,6.141431904477129,7.42104960386664,0.4267497696564533,0.12931298252276377,0.1283508664932967,0.43799804687499994,4.165618092358285,6.141981834666083,0.24201855460332808,0.5139746093750001,0.2312597687530797,0.2557812528270006,410,0.02001953125,0.2946686596910812,-0.00017965013103093952,0.00087890625,362.54334411621096
1,100352,79873,20480,0.6121240234375,0.29267043818531546,0.25080678504791615,6.48411179870852,7.41612084919493,0.37950150197575566,0.1562282742917162,0.26895319052829053,0.3878759765625,3.604298219825572,5.643191865248487,0.2132626953156432,0.6215234374999999,0.3384277387180191,0.4413574258782319,410,0.02001953125,0.3711011459890384,-0.00013594725460279732,0.0,30344.617578125
2,20480,1,20480,0.47314208984375006,0.17156367061464434,0.1022110917684477,6.0925749636691,7.715291229969333,0.4499295429472113,0.09365199263107513,0.04250824319275921,0.52685791015625,5.114105439984755,6.841778488378942,0.28718994131886577,0.340732421875,0.02102539183033514,0.007363282547885319,409,0.019970703125,0.15136266254795477,0.002982299926225096,0.0328125,517.8607391357422
2,60416,39937,20480,0.5428857421875,0.2011457950686324,0.1410463861596007,5.5394389770799055,6.994497369912296,0.39634552830975733,0.2117943580267024,0.1622802152797007,0.4571142578124999,4.340471021431465,6.138101865584644,0.21234228515049836,0.5442675781249999,0.19872070778219494,0.21128906698577338,410,0.02001953125,0.2469357249626308,0.0036354351323097944,0.00029296875,15308.516235351562
2,100352,79873,20480,0.53266357421875,0.36426275227159594,0.2348064757679622,5.639234162571869,7.095972189249061,0.39182211046572774,0.15967582660745308,0.08866591241259414,0.46733642578124995,4.621900905179627,6.321540612376541,0.23841796875167348,0.47433593749999997,0.16726562900439604,0.13172852028510534,410,0.02001953125,0.18500249128051818,0.0063646574330050495,0.027734375,1026.423161315918
