analytical_epsilon,competitor_pnl_std,deterministic_evaluation,deterministic_mean_epsilon_ask,deterministic_mean_epsilon_bid,deterministic_mean_hedge_fraction,deterministic_mean_total_pnl,epsilon_ask_std,epsilon_bid_std,epsilon_near_bound_frequency,hedge_fraction_std,hedge_near_bound_frequency,inventory_pnl_std,inventory_std,latent_std_ask,latent_std_bid,latent_std_hedge,max_abs_inventory,mean_competitor_pnl,mean_epsilon_ask,mean_epsilon_bid,mean_hedge_cost,mean_hedge_fraction,mean_inventory,mean_inventory_pnl,mean_market_share,mean_policy_entropy_proxy,mean_spread_pnl,mean_total_pnl,pnl_std,scenario,seed
0.0,163.02223079634348,False,0.26469096635396666,0.14870635005717095,0.5908919772505761,119.58463298092431,0.6201163895297259,0.6305268513464745,0.010096153846153847,0.30882904262149385,0.022115384615384617,4.299837967081266,18.16595785068746,0.9930824041366577,1.0030988454818726,1.0018060207366943,67.32001705338574,161.54045863727782,0.1637634169788026,0.09961060816973959,0.21673742601554885,0.5597651184464877,1.117560118693527,0.031105479600072917,0.42805489577498046,4.254772186279297,0.2634172391999579,40.44835224793063,77.27418239507477,random,0
0.0,138.2446894954419,False,-0.01372247111964008,0.3685918828386527,0.4056892833342919,146.19852161998654,0.6252820255261915,0.6077824923150561,0.01125,0.3095045677368446,0.022884615384615385,4.87933977940318,19.49441995802257,0.9966102838516235,0.9922035336494446,0.999413788318634,83.0123429002245,88.41123345630272,-0.011833831551272081,0.22485074643472708,0.19528588840278963,0.4482150186369052,-5.123607966775509,0.05422284709246118,0.43540647026863966,4.245006561279297,0.26413647578397864,63.99818592629809,126.41599646378816,random,1
0.0,147.33535321554072,False,0.11124158324673772,-0.2695735166680354,0.8104970260079091,47.1748321170968,0.6233341592733177,0.6142800319446448,0.008653846153846154,0.27941355562536746,0.05576923076923077,4.3704529725580255,17.28914204876115,1.0021556615829468,0.9876633286476135,1.0022863149642944,57.59688063551561,141.29964376560213,0.05663934190627725,-0.17091824536704314,0.28202114475877105,0.7072546241604365,3.1164658474996054,-0.011441729864360468,0.5258736454496586,4.248839378356934,0.28107108569941114,-6.4437302403346255,99.21377457785101,random,2
0.0,171.62048605199524,False,-0.08626952998071478,0.26710123884849823,0.3508064084786635,153.7465670456942,0.6342129977548316,0.6207906933234971,0.010096153846153847,0.3051750338421075,0.025961538461538463,5.168249513850792,21.186810654864882,1.005602240562439,0.9965106248855591,0.9937268495559692,105.64602177317425,37.51441325105482,-0.03613502489077711,0.160333252284696,0.19215578572123723,0.40280625173678763,-4.02019280991326,0.07783481391429273,0.47619377143262465,4.2526140213012695,0.27836864494787567,85.3047900332842,108.86548816427472,random,3
0.0,241.43036897015884,False,0.6758142185096557,0.0656329603299785,0.4127569951632848,136.64841731815406,0.5340951842182544,0.6298377601326032,0.021826923076923077,0.31218078566535534,0.022884615384615385,5.2030651638751815,18.949936923294107,0.9961326122283936,0.9952638745307922,0.9986832141876221,92.31457832369853,36.70586452255152,0.47279074923274145,0.05026601941100335,0.2099261849652244,0.45391498704369254,9.053300846657706,0.09671528628217096,0.3654021273243643,4.246875762939453,0.25558275665932717,74.03336614766238,105.79595889136424,random,4
0.5,865.7597813049781,False,-0.019614522048773675,0.008223474668965747,0.43084159842477393,389.8828570468993,0.6313075708993955,0.6318761996865554,0.008557692307692308,0.30920681791504107,0.02173076923076923,4.751460737941209,19.811680020641326,0.9916098117828369,0.9955613613128662,0.9989895224571228,79.43922411151313,80.72646572435069,-0.009859264379741104,0.015162532299324924,0.19520567314129877,0.46122786364876306,-0.8474863410476592,-0.022030969128298054,0.701202646312232,4.2429304122924805,0.43324989675136655,112.32689233052027,72.41763165439006,persistent,0
0.5,1077.7001424133682,False,0.1638972979096266,0.22853845820117455,0.5976477007338634,516.7752082751739,0.6200773117321353,0.6210002147627786,0.009134615384615385,0.3070491150427275,0.023653846153846154,4.56072123685376,18.599292966612868,0.9930424094200134,0.9903499484062195,0.9884555339813232,73.23247813493296,-592.7398023197827,0.09732467066169752,0.13421159175801642,0.23311444631928163,0.5669366885033937,-1.1667078950230179,0.03861952615119731,0.6380800926457415,4.228525161743164,0.4340808828423217,124.5847005906035,65.4205523787995,persistent,1
0.5,1986.0752995560179,False,-0.080281684209521,-0.41265701531217647,0.8238517272013884,288.85094581752327,0.6208196024111878,0.6014915757896594,0.010673076923076922,0.2740143788479798,0.06,4.1349154897719815,16.257660343822245,0.9959943294525146,0.9993828535079956,0.9951238632202148,68.03194610140423,-919.8919181477846,-0.06067419567651926,-0.2639588829818352,0.2687985266386772,0.719482153722873,2.541116188875741,0.04093786751062908,0.7904080408952823,4.247296333312988,0.4454651536825232,113.15433716832702,77.448280104121,persistent,2
0.5,3826.567584470125,False,-0.16963620085555772,0.07382178710487027,0.3839333061587352,428.04527415058476,0.6287362167161172,0.6302047318784781,0.008846153846153846,0.3087182623511296,0.02346153846153846,4.9786894101640495,20.522314789978154,0.9969434142112732,0.9940446615219116,0.9963501691818237,95.18756907848402,-1252.3301352991875,-0.08908150766325819,0.04127631516245646,0.19434764338960545,0.42788865151886757,-3.9030916005467926,0.09991315745459702,0.7172189348330338,4.244124412536621,0.4339698637205603,176.55839644848692,79.61490507628181,persistent,3
0.5,3390.6066130931567,False,0.4987181038581408,0.31399587336641094,0.4123277487261937,650.345326154261,0.5843120398611874,0.6150436485018851,0.014807692307692308,0.31217255859159637,0.022884615384615385,5.096493227536717,20.17570228392795,0.9978171586990356,0.9983583688735962,0.9992098212242126,90.46205243231404,-543.3487280162102,0.3296973116705172,0.20327717031909112,0.20918813348190476,0.4530455989791797,2.673920439796175,0.06335126166415665,0.536735510253616,4.252196788787842,0.40699615415484425,135.80282681528996,123.51194704381872,persistent,4
0.5,10.19099009290183,False,-0.15513274623510928,-0.03623429988869108,0.5590715326712682,366.90121748579503,0.6231745777603935,0.6240779164256567,0.007692307692307693,0.30976018914314024,0.020576923076923076,0.0,18.2739677739154,0.9751883745193481,0.9698379039764404,0.998916745185852,73.61658254599848,192.83043489208444,-0.0927919469963392,-0.012065365801407517,0.2175834203355793,0.5402341567209133,-1.4065825377060253,0.0,0.7348552345476904,4.199980735778809,0.44842562731588637,120.03794762975967,12.559740416713849,persistent_spread_only,0
0.5,9.453484296749796,False,-0.05466680978639768,0.0029887780412816657,0.7329589340205376,382.752678165063,0.6173662403796718,0.6222676844922264,0.006730769230769231,0.2931944816834727,0.036923076923076927,0.0,17.24291815983792,0.9712725877761841,0.9684932827949524,1.0030813217163086,59.04274195197506,201.04618612470858,-0.03712572051803783,-0.003926406319134493,0.2573823443048416,0.6557840029322184,-0.7614846966410942,0.0,0.7267433223171825,4.19873046875,0.4666055872415053,108.79608632706513,13.930677474957239,persistent_spread_only,1
0.5,10.090947228143863,False,-0.13682566545617122,-0.05727906654230677,0.7622713782351751,346.27540464978716,0.6117820840043997,0.6208114689181488,0.006634615384615385,0.29085205411419035,0.04115384615384615,0.0,17.189969994175723,0.9739285111427307,0.9732635617256165,0.9994786381721497,62.58133673161904,180.40485934380814,-0.09662120877694598,-0.03933879111060098,0.25858123782436104,0.6692255539332445,-1.0339783805235077,0.0,0.7541603862444702,4.2027764320373535,0.46847450292802967,109.14449785390772,5.816889649973974,persistent_spread_only,2
0.5,8.482745470329444,False,-0.10465062270227533,-0.18076663936846532,0.5128919183634795,348.28279040095566,0.6232390468990571,0.619032858851038,0.00798076923076923,0.3131110196188676,0.01942307692307692,0.0,18.853169679742173,0.9704529643058777,0.971271812915802,1.000319480895996,83.3901744974979,178.0894986811374,-0.0506700916180461,-0.1143212018927331,0.21511298842744658,0.5072484804231386,1.3147377700327054,0.0,0.7558325936065317,4.197993755340576,0.456059643427422,125.2922605999872,8.325085943574384,persistent_spread_only,3
0.5,10.398369893117847,False,-0.013514042487009787,0.007589506847300352,0.2597405941497821,442.1396685485688,0.6239579277863111,0.6237231816062501,0.006153846153846154,0.2949816459327336,0.03480769230769231,0.0,22.22677058046987,0.9731504917144775,0.972038209438324,0.9959944486618042,96.02947585115452,214.22206362048388,0.001566641678157164,0.014841561872341957,0.17292588108047577,0.3513508490186471,-1.4235303771695087,0.0,0.7054259977069887,4.197225570678711,0.4558967489779976,147.14485130671133,13.29295835218061,persistent_spread_only,4
