latent_std,optimal_latent_mean,optimal_deterministic_epsilon,expected_spread_factor
0.03,0.47250000000000003,0.44021705360098295,1.432015228033873
0.033334534694115174,0.46499999999999997,0.434150570985945,1.4251375610520778
0.03703970677577228,0.4575,0.4280444535546033,1.417614146790463
0.041156713019227804,0.45000000000000007,0.42189900525000795,1.4093629474927256
0.0457313292678397,0.4425,0.41571454284896264,1.4002486546490704
0.050814419402893586,0.4325,0.4074084759995413,1.3902543745806124
0.0564625008849025,0.4225,0.39903445532485493,1.3792565009407183
0.06273837315547638,0.41000000000000003,0.388472680216061,1.367177470335423
0.06971181588678572,0.4,0.3799489622552249,1.353927327663245
0.07746036484226095,0.38750000000000007,0.3692030006468615,1.3393920864900117
0.08607017397510557,0.37250000000000005,0.35617649910325505,1.3234736447199942
0.0956369733500562,0.36,0.3452140341355209,1.306025457025579
0.1062671335392539,0.3425,0.32970746081194724,1.2869658237035653
0.11807884832694768,0.3275,0.3162726300960363,1.2661646774526552
0.13120344887319335,0.31000000000000005,0.30043709714765415,1.2434853342811123
0.14578686394836768,0.2925,0.28443418591487535,1.2188359638359811
0.16199124247443708,0.275,0.2682711820216014,1.1921115952683006
0.17999675641356488,0.255,0.2496129489368586,1.1632264236957943
0.2000036040498726,0.235,0.23076751278236432,1.1321254694660567
0.22223423593828506,0.21499999999999997,0.21174733686352112,1.0987858811839508
0.24693582827016472,0.19500000000000006,0.19256539859357572,1.063218447631419
0.2743830311563958,0.17500000000000004,0.17323515783466015,1.0254817564513001
0.30488102238531206,0.15249999999999997,0.15132870208509883,0.9857028168453101
0.3387689006093497,0.13250000000000006,0.13173000579096336,0.9440446272211751
0.3764234556883208,0.10999999999999999,0.10955847021442952,0.9007501462876206
0.4182633581107019,0.08999999999999997,0.08975778474716008,0.8561034730057027
0.46475381407394384,0.07000000000000006,0.06988589031642906,0.8104461930645315
0.516411737982341,0.050000000000000044,0.04995837495788001,0.7641582600902473
0.573811499874022,0.030000000000000027,0.02999100323882017,0.7176424726020769
0.6375913116810952,0.012499999999999956,0.01249934899902082,0.6713102626204013
0.7084603233299958,-0.0050000000000000044,-0.00499995833375,0.6255685101467341
0.7872065075815934,-0.022499999999999964,-0.022496203893709633,0.5807991098150905
0.8747054212803956,-0.03749999999999998,-0.03748243175707046,0.5373478399701526
0.9719299404267328,-0.05249999999999999,-0.052451818744137464,0.4955137452123539
1.079961077313474,-0.065,-0.0649086127746375,0.4555428466764722
1.2,-0.07500000000000001,-0.0748596906874991,0.41762296005118993
