actor_first_layer_saturation,approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,entropy_proxy,latent_sigma_ask,latent_sigma_bid,policy_loss,relative_price,seed,training_step,value_loss
,0.004207424185005948,0.026171875,0.22909551344764156,0.3559255896728782,0.4826885828748345,0.22832732234789793,4.246393799781799,0.9955612421035767,0.9940263628959656,-0.006799335917457938,True,0,10240,1995.4404296875
0.24515224993228912,0.011601303901989013,0.0703125,0.33164177745885143,0.35566841080421785,0.6043578538431739,0.2710822728330803,4.237456560134888,0.989892840385437,0.9906873106956482,-0.0058224901091307405,True,0,20480,379.9953498840332
,0.0030392842832952737,0.045703125,0.49407814126819943,0.40349484674487435,0.60925934899073,0.24969691665732224,4.235626637935638,0.9882718324661255,0.9917276501655579,-0.008246816252358258,True,0,39936,221.7770202636719
0.3854667544364929,0.0060722443915437905,0.02138671875,0.4708129746469263,0.36770753226063757,0.594452108648749,0.24815314766487193,4.232777750492096,0.9876909255981445,0.9891017079353333,-0.005134663823992014,True,0,60416,651.2477233886718
,0.00916390783386305,0.037109375,0.49209339912407674,0.3499072881829378,0.658928220678503,0.3200587968883492,4.2244582056999205,0.9839277863502502,0.9883047342300415,-0.00713668450480327,True,0,100352,191.03436775207518
,0.0016693495039362461,0.00087890625,0.17921806404976032,0.14470425163961173,0.37431022743336284,0.3580435572974521,4.201940548419953,0.9743375182151794,0.984156608581543,-0.002982404176145792,True,0,149504,1461.1815032958984
,0.01012561985407956,0.0751953125,-0.23765622522705832,0.2240567271482479,-0.06613490199431395,0.5092875503932083,4.198574960231781,0.9697735905647278,0.9781419634819031,-0.008691500010900199,True,0,199680,153.72851791381837
,0.003317430539755151,0.01181640625,-0.1398994384975268,0.21015140644398123,0.04499429471668405,0.5463113492546666,4.19732426404953,0.9695444703102112,0.9782911539077759,-0.0047755221836268905,True,0,204800,1596.004443359375
,0.004608727025333792,0.0076171875,-0.01141978434454172,0.2927004459029087,-0.08002518532702174,0.22190273289694246,4.253941750526428,0.9990494847297668,0.9994333982467651,-0.0034746479359455407,True,1,10240,1963.8527587890626
0.3713541626930237,0.013155253126751632,0.0595703125,0.1200580136390785,0.3344197497847666,0.024831389562967113,0.2364899296902516,4.251920413970947,0.9982295036315918,0.99895840883255,-0.008838670351542533,True,1,20480,605.944692993164
,0.0009058287716470659,0.00078125,0.0021252014195152487,0.3082885005683712,-0.028838707115471315,0.08333937555649094,4.242134249210357,0.9956170916557312,0.9974063634872437,-0.003561379364691675,True,1,39936,1085.393328857422
0.39765626192092896,-0.0013736367225646972,0.01064453125,0.060611267199065205,0.4148161149922837,0.010205501669537253,0.09076380661179914,4.2387049198150635,0.9937662482261658,0.9965009689331055,-0.003180316463112831,True,1,60416,259.21755599975586
,0.014029027824290097,0.06875,0.1288003764927196,0.6861110677325518,-0.08273123795680033,0.2673873291036253,4.236491215229035,0.9930958151817322,0.9955872893333435,-0.012336427764967083,True,1,100352,507.001611328125
,0.01232360503054224,0.03564453125,0.16944452822686007,0.7932621737632859,-0.0741173076558297,0.2788621223052042,4.235113596916198,0.9909430742263794,0.9950340986251831,-0.008751910575665534,True,1,149504,3785.9525817871095
,0.003884037968236953,0.0029296875,0.06625202397744243,0.8807400878754721,-0.1701405378512274,0.6049540645690592,4.207794737815857,0.9871289730072021,0.9863783121109009,-0.004031926393508911,True,1,199680,3628.5814514160156
,0.01550015180837363,0.088671875,0.023908934952356877,0.8995645170746063,-0.11349963169688215,0.6450016757665599,4.205926907062531,0.9876496195793152,0.9846945405006409,-0.013212994881905615,True,1,204800,2593.3290283203123
,0.009768423909554258,0.040625,0.06536801140598703,0.1329724592585468,-0.1372130418721682,0.3144255565782724,4.247269546985626,0.9952823519706726,1.0003961324691772,-0.007150934799574316,True,2,10240,744.180680847168
0.302363783121109,0.0023046960239298643,0.012890625,0.09513620019126205,0.24801618896413447,-0.007975820682417506,0.16438837743046023,4.242877340316772,0.9929724335670471,1.000403642654419,-0.006005671585444361,True,2,20480,1874.544125366211
,0.006349775759736076,0.02841796875,0.2085908831204646,0.4098782518206971,-0.0029447438169975214,0.35097814906790703,4.229956066608429,0.990243136882782,0.9961329698562622,-0.005182060552760959,True,2,39936,295.5021171569824
0.31418269872665405,0.006404293002560735,0.00419921875,0.173386149870184,0.23438364480671192,-0.027950732987553167,0.2120562736774771,4.205304419994354,0.9817782640457153,0.9863246083259583,-0.0027465402730740608,True,2,60416,527.372590637207
,0.0029254078690428287,0.00888671875,0.1566438140741621,0.31384638884684957,-0.0022098767189070202,0.25879073796921753,4.205165922641754,0.9808555841445923,0.9868773818016052,-0.007269627507776022,True,2,100352,3832.8195251464845
,0.009138543088920415,0.0400390625,0.24236987070777477,0.6301983456984602,0.015272031620276185,0.18138567524910332,4.1886467099189755,0.9695168733596802,0.9842521548271179,-0.008554219105280935,True,2,149504,1735.9982971191407
,0.0030027744127437473,0.02099609375,0.18958719223737716,0.7095856085218923,0.11285125399724795,0.6902789682980391,4.175710964202881,0.9630752801895142,0.9832320809364319,-0.007650960679166019,True,2,199680,3517.1858642578127
,0.0009117103007156401,0.0,0.2014389114263348,0.6376228903457482,0.13973553863306268,0.7097709560197634,4.175434672832489,0.9630283117294312,0.9829320907592773,-0.0022954401443712412,True,2,204800,18014.056274414062
,0.00785048056859523,0.0193359375,0.03636942764248651,0.1953901330329376,0.08893292205026135,0.5776659388270714,4.241978716850281,0.9946269989013672,0.9948092699050903,-0.00534402442863211,True,3,10240,313.1101440429687
0.28860175609588623,0.003275069536175579,0.01962890625,-0.0007150794225685203,0.1829210747168812,0.1280112047226001,0.6852474067058102,4.234694039821624,0.9925479888916016,0.9916260242462158,-0.0038940252154134212,True,3,20480,433.59091567993164
,0.0033415117883123457,0.0087890625,0.07236358227047067,0.17276993719058362,0.20203348559757264,0.8073274306158367,4.229106807708741,0.9847648739814758,0.9911594986915588,-0.004830317932646722,True,3,39936,610.010140991211
