analytic_kl,approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,entropy_proxy,kl_coef,latent_sigma_ask,latent_sigma_bid,policy_loss,seed,training_step,value_loss
0.005338045684038661,0.0042677285149693486,0.01826171875,0.18576210650722855,0.2824390838391481,0.3534223456461078,0.21657904804386469,4.247935688495636,0.2,0.995597243309021,0.9944246411323547,-0.00794609347358346,0,10240,1257.491925048828
0.005036847002338618,0.002046736452030018,0.01787109375,0.20875321351624548,0.30476845368146793,0.3702816794845813,0.2051960119008708,4.241831684112549,0.2,0.9933770895004272,0.9916524291038513,-0.006347011215984822,0,20480,207.49818077087403
0.0047473308397457,0.0014332887541968376,0.01591796875,0.40687452589149753,0.26116974396837894,0.4126577468562083,0.3188827759984422,4.232650315761566,0.2,0.986727774143219,0.9931429624557495,-0.005185770534444601,0,39936,358.90022201538085
0.009499289555242285,0.011603841237956658,0.0373046875,0.354413645922278,0.3746395527496966,0.47092307327861466,0.3264748990587646,4.228336191177368,0.2,0.9857978820800781,0.9895868301391602,-0.01283786294516176,0,60416,138.65057640075685
0.006821467450936325,0.007175060961162672,0.027734375,0.35118278125121904,0.4490776398867726,0.45519738503469104,0.39007059669699873,4.2027004837989805,0.2,0.9740629196166992,0.9804521203041077,-0.005865779751911759,0,100352,105.53222599029542
0.00013999821967445314,0.0001318231225013733,0.0,0.2147410252555393,0.33975427628654004,0.4709601714884719,0.41174434827091055,4.189659595489502,0.2,0.9754711985588074,0.9737803936004639,-0.0003355827298946679,0,149504,1069.2695220947267
0.002811336741433479,0.004857858223840594,0.00595703125,0.1949006812897726,0.2710285217925064,0.29962674068907896,0.6065867326627943,4.1907402038574215,0.2,0.9708825349807739,0.9681528210639954,-0.004025041882414371,0,199680,106.2119297027588
0.0003853726520901546,0.00028866506181657314,0.0,0.2540695348838852,0.25716863696189596,0.38774007624970414,0.5496814763073271,4.190244746208191,0.2,0.9709014892578125,0.968325674533844,-0.0010811647167429327,0,204800,344.01206436157224
0.0036314754717750473,0.001559593400452286,0.01171875,0.029876271684248095,0.2979632822414634,0.0035255536432557094,0.18684022606368358,4.255538308620453,0.2,1.0009281635284424,0.9976259469985962,-0.0047553522395901385,1,10240,2361.532855224609
0.007620426654466428,0.011280416953377425,0.03173828125,0.11948199010072037,0.35324993500521856,0.06856682222479811,0.24036953454014026,4.254018568992615,0.2,1.0003384351730347,0.9970937967300415,-0.008338042872492225,1,20480,845.6112380981446
0.0021246845048153774,0.00405085226520896,0.00224609375,0.1464278724620668,0.18895347318525885,0.2809976320128697,0.3154225465357936,4.251010084152222,0.2,0.9976291060447693,0.9994238615036011,-0.004488057538401336,1,39936,1746.0827331542969
0.004660585895180702,-0.0010459114564582705,0.01171875,0.08003012112861213,0.2062037498346336,0.2504815451024721,0.17000721738547545,4.2453383803367615,0.2,0.995027482509613,0.9990085363388062,-0.00471625248901546,1,60416,350.03241271972655
0.00275174971902743,0.005834055470768362,0.0037109375,0.08468162146970057,0.38204447491473426,0.002653674309094174,0.49280123176895246,4.24369707107544,0.2,0.9930039644241333,0.9974499940872192,-0.005586811201646924,1,100352,5250.69755859375
0.002303677360760048,0.002721549611305818,0.003515625,0.23020239003563825,0.6532140343647521,0.08836665798832352,0.2326836604648493,4.237872123718262,0.2,0.9896285533905029,0.9982459545135498,-0.006146755372174084,1,149504,10658.174389648437
0.0019837887404719366,0.0013216569263022394,0.00205078125,0.30724947226938243,0.7269286170449537,0.06609230472897298,0.16082153730085363,4.218778336048127,0.2,0.9844099283218384,0.9882644414901733,-0.0025655233301222326,1,199680,3602.7937194824217
0.0066987674596020955,0.012544124311534687,0.02509765625,0.2817025176034524,0.7398102446807135,0.05861851942474739,0.19878903063392955,4.218068635463714,0.2,0.9843540191650391,0.9868394136428833,-0.008202050835825503,1,204800,3392.981365966797
0.005733388551743701,0.006977064796956256,0.01728515625,-0.00794444858478621,0.23593072068755866,-0.19606372428317673,0.33638248866169185,4.251529026031494,0.2,0.9985642433166504,1.000196099281311,-0.006266032566782087,2,10240,1045.6385711669923
0.008662787088542245,2.520228154025972e-05,0.04033203125,0.08866977118857157,0.2929693660708613,0.006477235067256679,0.20053124343406972,4.249513065814972,0.2,0.995155930519104,1.0023109912872314,-0.010602768964599819,2,20480,834.1630767822265
0.004904461489059031,0.001968453690642491,0.012890625,0.2755817430272985,0.5739036528616339,0.12812292054549265,0.19473436637427294,4.242541420459747,0.2,0.9925216436386108,0.9989821314811707,-0.004981443821452558,2,39936,406.69102935791017
0.006173270824365318,0.008777691517025232,0.0244140625,0.34580961301182517,0.2968486504449283,0.2144849569321825,0.38718203148662617,4.249509572982788,0.2,0.9976125359535217,1.0018194913864136,-0.007946519763208926,2,60416,486.3371955871582
0.00463415656122379,0.008462712645996361,0.021484375,0.31093840225575825,0.3125865146094178,0.2777841349896521,0.2913598855039793,4.246597445011139,0.2,0.9931957125663757,1.000941514968872,-0.00922468185890466,2,100352,1194.129327392578
0.004148128116503358,0.002409320289734751,0.00732421875,0.4016864737036089,0.5371544109923216,0.32203896317798164,0.3527675808343897,4.240940403938294,0.2,0.9876565337181091,0.9964341521263123,-0.0003343088086694479,2,149504,3702.0518798828125
0.007090498867910355,0.004804847209015861,0.0326171875,0.2718632331261268,0.6621694028856715,0.3783213104969129,0.4111656940608512,4.228974175453186,0.2,0.980414628982544,0.9924366474151611,-0.007032349915243685,2,199680,2364.042141723633
0.0005265597952529788,0.0005532193812541663,0.0,0.2614758375650033,0.6542151459877279,0.38475203056198853,0.40091699588808716,4.22895096540451,0.2,0.980822741985321,0.9912723898887634,-0.0026494018733501435,2,204800,31554.9869140625
0.0034451246028766036,0.0030728157085832208,0.00634765625,0.050532903130619956,0.16389486056065816,0.08693139872107751,0.5347855576640327,4.251467740535736,0.2,0.9996692538261414,0.9959917664527893,-0.003732863231562078,3,10240,233.63588943481446
0.0058767820184584705,0.005035533080808818,0.017578125,0.01755871831675251,0.07114840701430825,0.10128027291443104,0.5956208230718708,4.249210286140442,0.2,0.9989535808563232,0.9942463636398315,-0.006718670832924545,3,20480,94.50869865417481
0.0004186885344097391,0.000896178703987971,0.0,0.05584164959414361,0.08563922667246672,0.23851060094073032,0.7514802385291761,4.241177260875702,0.2,0.9894035458564758,0.9922729134559631,-0.0016918124863877892,3,39936,3128.8548950195313
0.0053013278869912025,0.0036075234587769956,0.022265625,-0.00997953831922645,0.19703007625545121,0.25464471547553935,0.765760263893572,4.236764848232269,0.2,0.9864174723625183,0.993947446346283,-0.0070469828322529795,3,60416,470.1814598083496
0.005856402145582251,0.011008434853283688,0.02138671875,-0.04834153710816724,0.19150182468784627,0.16894446308515632,0.8424406772880095,4.230686700344085,0.2,0.9831170439720154,0.9926087260246277,-0.0078054301673546435,3,100352,1770.008447265625
0.009115521199419163,0.0050767248379997906,0.04052734375,0.07012654828297225,0.28980092809216373,0.26161008519001117,0.7556002157627566,4.2213174700737,0.2,0.9810333251953125,0.9883559346199036,-0.009230832429602742,3,149504,560.6396957397461
0.007174854149343446,0.0015734982705907896,0.03173828125,0.1952795783105569,0.4987635681845221,0.311986749430593,0.7827456599047594,4.222897481918335,0.2,0.9807700514793396,0.9885969758033752,-0.010364873078651726,3,199680,687.2817321777344
0.0018376706837443634,0.0014002825075294823,0.0009765625,0.14203986265653304,0.604488252321912,0.20767724411323285,0.8495586809720432,4.216463124752044,0.2,0.977655291557312,0.9884275197982788,-0.0028591420501470565,3,204800,5192.728527832031
0.006432853330625221,0.004138982680160552,0.0275390625,-0.03947759378188027,0.19718636182541185,0.15932047161779617,0.09666891160127676,4.251891672611237,0.2,0.9997458457946777,1.0003079175949097,-0.006336174625903368,4,10240,1801.2275268554688
0.00597381179977674,0.0008061567437835038,0.02294921875,-0.07343612408402782,0.23608705109191566,0.1865067764203279,0.08934117184474223,4.2484366536140445,0.2,0.9969592094421387,0.9998159408569336,-0.004941483912989497,4,20480,524.6787452697754
0.003076767362654209,0.0011559835402294993,0.0033203125,0.13250467290083925,0.4006909581140713,0.171109908966658,0.1280013616500572,4.2442913293838505,0.2,0.9946585297584534,1.000201940536499,-0.0032407904509454966,4,39936,126.6452507019043
0.005347047047689557,0.0026226530550047754,0.01357421875,0.21419371002031348,0.49676822974012297,0.2563430167280902,0.3026130566592636,4.236743700504303,0.2,0.9933516979217529,0.9946393370628357,-0.005995961942244321,4,60416,114.87719860076905
0.0005814625445054844,0.00030795560451224446,0.0,0.10090529263401643,0.5248777140568968,0.2061374101954966,0.4356425183572222,4.230322182178497,0.2,0.9919902086257935,0.98929363489151,-0.0016967996023595333,4,100352,1709.5026947021483
0.08320479283574969,0.07992293076240457,0.33515625,0.042335271367277855,0.7353875033402011,0.09936909231190116,0.5567610144566434,4.231215071678162,0.2,0.9930722117424011,0.9909603595733643,0.03849311373196542,4,149504,163.0756649017334
0.0007215653633465991,0.0014787702588364483,9.765625e-05,0.023427117785337404,0.7997284358168383,0.1135799034522512,0.49488188082255885,4.224332726001739,0.2,0.9986545443534851,0.9815967082977295,-0.0022289818967692553,4,199680,149.8647888183594
0.002272613628883846,0.002186052146134898,0.00166015625,-0.01015394893116676,0.7815134210217975,0.08224669548515708,0.5777290885550654,4.224106979370117,0.2,0.9983372092247009,0.9815173745155334,-0.005318841524422168,4,204800,61.242423343658444
