count,inventory_bin,inventory_mean,seed,sigma_ask_mean,sigma_bid_mean,sigma_bid_minus_ask
2494,Q1,-15.994018842051673,0,1.4014648690807792,0.27415129578797076,-1.1273135732928083
1064,Q2,-4.237187826431784,0,1.0437795642231191,0.31011497649483216,-0.733664587728287
828,Q3,0.3190087398597386,0,0.5839030039519215,0.6351931421581097,0.05129013820618822
569,Q4,4.795059711526693,0,0.5022844788217377,1.528453988224425,1.0261695094026875
245,Q5,10.999385343279158,0,0.5680349809782845,2.1134204480112815,1.545385467032997
890,Q1,-9.850254474597032,1,0.7887455555160394,0.41198851261915787,-0.37675704289688156
1236,Q2,-4.254792600291447,1,0.7310569486475299,0.46890399400084537,-0.26215295464668453
1108,Q3,0.40548033159249713,1,0.742735520596969,1.002356631607355,0.2596211110103861
1223,Q4,5.02349360069094,1,0.8723281937745001,1.7118397758129866,0.8395115820384865
743,Q5,11.92001879295462,1,0.9199785187459409,1.913158695919196,0.993180177173255
306,Q1,-9.47311830676459,2,2.2735493502585715,0.8253597576244205,-1.448189592634151
652,Q2,-3.738908893491593,2,1.7608211737103256,0.8003714754720407,-0.960449698238285
1034,Q3,0.49390546684706677,2,0.7819773203457347,0.8771448681271514,0.09516754778141667
1275,Q4,5.570098180957869,2,0.4169155544626947,1.0132401306488934,0.5963245761861987
1933,Q5,13.242934585666015,2,0.3855963738638073,1.0585030169297054,0.6729066430658981
321,Q1,-9.65844253141932,3,1.8049851325442114,0.9269633504831902,-0.8780217820610212
799,Q2,-3.639723229020349,3,1.2964418323824791,0.8688215841638282,-0.42762024821865097
964,Q3,0.654653281318633,3,0.604376827563735,0.7614439836552529,0.1570671560915179
1256,Q4,5.333786616279821,3,0.4184564885440146,0.8094249114299276,0.39096842288591294
1860,Q5,17.02105895037292,3,0.42647671274920945,0.8906528673825725,0.4641761546333631
1189,Q1,-11.369984014782212,4,0.638294738014773,0.7219922923560499,0.0836975543412769
1449,Q2,-3.9507237809374054,4,0.5910073917762751,0.6608424260338229,0.06983503425754778
1266,Q3,0.5444758421819175,4,0.5261476704671296,0.6092080703655502,0.08306039989842062
877,Q4,4.856312848822965,4,0.651303550672368,0.7161398530006409,0.06483630232827287
419,Q5,10.171217376690775,4,0.8095369546680861,0.8319168987023802,0.022379944034294108
