seed,training_steps,adaptive_cold_start_steps,environment_reset_calls,adaptive_table_complete,adaptive_probe_interval,adaptive_probe_steps_total,adaptive_probe_fraction_total,training_step,window_start,window_steps,ppo_market_share,ppo_spread_pnl_per_step,ppo_total_pnl_per_step,ppo_mean_abs_inventory,ppo_inventory_std,ppo_mean_hedge_fraction,ppo_mean_epsilon_bid,ppo_mean_epsilon_ask,adaptive_market_share,adaptive_mean_abs_inventory,adaptive_inventory_std,adaptive_mean_hedge_fraction,adaptive_mean_base_epsilon,adaptive_mean_epsilon_bid,adaptive_mean_epsilon_ask,adaptive_probe_steps,adaptive_probe_fraction,adaptive_base_epsilon_one_frequency,approx_kl,clip_fraction,value_loss,learning_rate,ppo_clip,gamma,gae_lambda,minibatch_size,n_epochs,ent_coef,vf_coef,max_grad_norm,state_dependent_std,market_sigma,order_size_mode
0,100352,121,3,True,100,1002,0.009984853316326531,100352,79873,20480,0.75615478515625,0.265077396812197,0.25434369104056576,7.899305656869903,8.0607744083294,0.2724586266616825,0.46392479370899337,0.348827103781926,0.24384521484375,2.09584417765963,4.281837100018484,0.13315917967629504,0.8603320312499999,0.6990136743355834,0.6758691432129126,205,0.010009765625,0.6405425400739827,0.004956728057004511,0.038671875,4075.6054931640624,5e-05,0.3,0.999,0.95,256,10,0.003,0.5,0.5,True,0.2,unit
1,100352,121,3,True,100,1002,0.009984853316326531,100352,79873,20480,0.7411181640625001,0.3621694674625349,0.3171448526735111,5.544913554311133,6.671302978992729,0.4034571008523926,0.18596161680160322,0.1410454873272812,0.25888183593749997,2.410074721585352,4.616704034528045,0.14354833977304224,0.739384765625,0.5560546901491762,0.6265820342305233,205,0.010009765625,0.5845129469790382,0.019565002733725124,0.103125,207.1943786621094,5e-05,0.3,0.999,0.95,256,10,0.003,0.5,0.5,True,0.2,unit
2,100352,121,3,True,100,1002,0.009984853316326531,100352,79873,20480,0.55243896484375,0.3950512814310122,0.2798392897133251,5.526621217660987,6.855019962524235,0.4248135474539595,0.10079168208603448,0.16662197276872776,0.44756103515625006,4.306540490014404,6.114641448949638,0.2160517577626706,0.48787109375000004,0.20774414364350377,0.20147461271408246,205,0.010009765625,0.25223181257706534,0.010814169398508966,0.0404296875,1065.7921783447266,5e-05,0.3,0.999,0.95,256,10,0.003,0.5,0.5,True,0.2,unit
